Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,78.83,82.6,78.18,80.93,22648615.0,,,,,4.42,,,4.42,,,78.18,82.6,82.6,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,81.08,81.73,79.985,80.6,9767265.0,,,,,1.75,0.8,0.95,1.75,,,78.4,82.6,82.6,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,80.47,82.13,79.85,82.08,8861395.0,,,,,2.28,1.53,0.75,2.28,,,78.61,82.6,82.6,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,81.33,82.47,81.18,81.83,6665730.0,,,,,1.29,0.39,0.9,1.29,,,78.81,82.6,82.6,0.05,1,0.62,31.59,80.89,80.89,,,,,,,,,,,80.6,82.08,
2025-01-27,81.39,82.56,80.73,82.53,6983917.0,,,,,1.83,0.73,1.1,1.83,2.31,,79.0,82.6,82.6,0.05,1,0.22,12.68,81.92,81.92,,,,,,,,,,,80.6,82.53,
2025-01-28,82.28,83.0,81.59,81.7,9057224.0,,,,,1.41,0.47,0.94,1.41,1.71,,79.18,82.6,83.0,0.1,1,-0.07,-3.72,82.08,82.08,0.27,14.84,81.22,81.48,,,,,,,81.7,82.53,
2025-01-29,82.3,82.65,81.4,82.06,8718044.0,,,,,1.25,0.95,0.3,1.25,1.61,,79.56,82.6,83.0,0.1,1,-0.23,-13.22,82.33,82.33,-0.02,-0.97,82.07,82.06,,,,,,,81.7,82.53,
2025-01-30,82.5,83.84,82.07,83.6,7192611.0,,,,,1.77,1.78,0.01,1.78,1.51,,79.9,82.6,83.84,0.15,1,0.95,43.53,81.5,81.5,0.31,17.07,81.73,82.04,,,,,,,81.7,83.6,
2025-01-31,83.23,83.73,82.28,82.72,7664075.0,,,,,1.45,0.13,1.32,1.45,1.54,,80.49,82.6,83.84,0.15,1,0.33,18.26,82.46,82.46,0.23,12.84,82.07,82.29,,,,83.07,,,81.7,83.6,
2025-02-03,81.29,83.22,80.79,82.75,6524759.0,,,,,2.43,0.5,1.93,2.43,1.66,,80.79,83.84,80.79,0.05,0,-0.43,-23.03,83.45,83.45,0.28,15.43,82.01,82.29,,,,82.94,,,82.06,83.6,
2025-02-04,82.6,82.75,81.75,81.8,5225915.0,,,,,1.0,0.0,1.0,1.0,1.58,,80.79,83.69,80.79,0.05,0,-0.46,-24.7,82.88,82.88,-0.14,-7.8,82.86,82.72,,,,82.6,,,81.8,83.6,
2025-02-05,82.24,82.24,81.04,81.87,6475249.0,,,,,1.2,0.44,0.76,1.2,1.57,,80.79,83.54,80.79,0.05,0,-0.44,-23.75,82.58,82.58,-0.44,-23.65,83.42,82.99,,,,82.26,,,81.8,82.75,
2025-02-06,82.53,83.94,82.33,83.64,5837604.0,,,,,1.61,2.07,0.46,2.07,1.63,,80.79,83.94,83.94,0.05,1,0.92,42.61,81.52,81.52,0.1,5.48,82.36,82.46,,,,82.82,,,81.8,83.64,
2025-02-07,83.8,84.04,83.03,83.18,4133689.0,,,,,1.01,0.4,0.61,1.01,1.54,,80.95,83.94,84.04,0.1,1,0.65,33.22,82.24,82.24,0.27,15.11,82.11,82.38,,,,82.89,,,81.8,83.64,
2025-02-10,81.55,81.76,80.26,81.17,17849285.0,,,,,1.5,1.42,2.92,2.92,1.64,,80.26,84.04,80.26,0.05,0,-1.23,-51.0,83.9,83.9,0.0,0.29,82.32,82.33,,,,82.09,,,81.17,83.64,
2025-02-11,82.05,84.5,81.7,83.2,59327309.0,,,,,2.8,3.33,0.53,3.33,2.11,,80.26,84.5,84.5,0.05,1,0.01,0.57,82.51,82.51,0.02,1.09,82.57,82.59,,,,82.6,,,81.17,83.64,
2025-02-12,83.09,83.16,81.26,82.28,60764970.0,,,,,1.9,0.04,1.94,1.94,2.25,1.74,80.47,84.5,84.5,0.05,1,0.55,29.03,81.66,81.66,-0.27,-15.11,83.23,82.96,,,,82.53,,,81.17,83.2,
2025-02-13,82.26,82.47,79.94,81.57,27501384.0,,,,,2.53,0.19,2.34,2.53,2.35,1.75,79.94,84.5,79.94,0.05,0,-0.82,-39.18,83.16,83.16,-0.21,-11.91,82.7,82.49,,,,82.22,,,81.17,83.2,
2025-02-14,81.55,81.745,80.05,80.34,9583472.0,,,,,1.7,0.18,1.52,1.7,2.48,1.81,79.94,84.27,79.94,0.05,0,-0.97,-44.13,82.37,82.37,-0.33,-18.21,82.37,82.04,,,,81.25,,,80.34,83.2,
2025-02-18,81.0,81.76,80.885,81.48,9765967.0,,,,,0.88,1.42,0.55,1.42,2.18,1.85,79.94,84.05,79.94,0.05,0,-0.04,-2.58,81.18,81.18,-0.54,-28.28,82.85,82.31,,,,80.9,,,80.34,82.28,
2025-02-19,81.1,82.215,80.87,82.01,8908257.0,,,,,1.34,0.73,0.61,1.34,1.79,1.87,79.94,83.84,79.94,0.05,0,0.84,39.86,80.44,80.44,-0.06,-3.6,81.66,81.6,,,,81.24,,,80.34,82.01,
2025-02-20,82.02,82.17,80.7598,81.83,9361841.0,,,,,1.41,0.16,1.25,1.41,1.68,1.88,79.94,83.65,79.94,0.05,0,0.17,9.93,81.6,81.6,0.22,12.35,81.01,81.23,,,,81.53,,,80.34,82.01,
2025-02-21,81.99,82.56,80.42,80.44,9856821.0,,,,,2.14,0.73,1.41,2.14,1.6,1.88,79.94,83.46,79.94,0.05,0,-0.79,-38.13,82.21,82.21,0.05,3.15,81.11,81.16,,,,80.85,,,80.44,82.01,
2025-02-24,80.98,81.1,79.39,80.12,7489430.0,,,,,1.71,0.66,1.05,1.71,1.6,1.88,79.94,83.28,79.39,0.1,0,-0.85,-40.53,81.65,81.65,-0.43,-23.22,82.03,81.6,,,,80.6,,,80.12,82.01,
2025-02-25,80.23,80.66,78.49,79.0,16317825.0,81.79,1.13,84.05,79.53,2.17,0.54,1.63,2.17,1.75,1.89,79.94,82.89,78.49,0.15,0,-0.72,-35.75,80.57,80.57,-0.77,-37.7,82.23,81.45,,,,79.92,,,79.0,81.83,
2025-02-26,79.39,80.12,78.38,78.7,7544985.0,81.7,1.28,84.26,79.14,1.74,1.12,0.62,1.74,1.83,1.91,79.94,82.23,78.38,0.2,0,-0.71,-35.37,79.98,79.98,-0.77,-37.6,81.56,80.79,,,,79.2,,,78.7,80.44,
2025-02-27,79.0,79.535411,78.195,78.43,7218242.0,81.61,1.42,84.45,78.77,1.34,0.84,0.51,1.34,1.82,1.93,79.94,81.46,78.19,0.21,0,-0.28,-15.91,78.99,78.99,-0.54,-28.55,80.43,79.88,,,,78.3,,,78.43,80.12,
2025-02-28,78.81,80.13,77.96,79.53,12686630.0,81.51,1.48,84.47,78.55,2.17,1.7,0.47,2.17,1.83,1.94,79.94,80.77,77.96,0.21,0,0.41,22.54,78.47,78.47,-0.18,-9.93,79.51,79.33,,,,78.31,,,78.43,79.53,
2025-03-03,79.895,79.95,77.65,78.12,9984263.0,81.36,1.62,84.6,78.12,2.3,0.42,1.88,2.3,1.94,1.93,79.94,80.18,77.65,0.21,0,-0.16,-8.81,78.85,78.85,-0.09,-5.31,78.94,78.85,,,,78.03,,,78.12,79.53,
2025-03-04,77.64,77.67,73.97,75.15,15423569.0,81.07,2.02,85.11,77.03,3.7,0.45,4.15,4.15,2.34,1.94,79.94,79.95,73.97,0.21,0,-2.19,-65.46,79.79,79.79,-0.74,-36.54,79.47,78.73,,,,76.78,,,75.15,79.53,
2025-03-05,75.12,77.1,74.97,76.74,10891995.0,80.87,2.19,85.25,76.49,2.13,1.95,0.18,2.13,2.42,1.94,79.94,78.69,73.97,0.21,0,-0.69,-34.61,77.36,77.36,-0.78,-37.81,79.15,78.37,,,,76.41,,,75.15,79.53,
2025-03-06,75.69,76.98,74.7353,75.56,10412244.0,80.61,2.42,85.45,75.77,2.24,0.24,2.0,2.24,2.6,1.95,79.94,77.7,73.97,0.21,0,0.2,11.59,75.61,75.61,-0.93,-42.98,78.88,77.95,,,,75.77,,,75.15,78.12,
