Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,351.37,355.88,351.37,354.18,421197.0,,,,,4.51,,,4.51,,,351.37,355.88,355.88,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,353.41,353.7,349.93,351.6,304713.0,,,,,3.77,0.48,4.25,4.25,,,349.93,355.88,349.93,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,351.31,351.91,348.11,350.81,270724.0,,,,,3.8,0.31,3.49,3.8,,,349.93,355.58,348.11,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,349.78,350.74,347.46,350.48,224596.0,,,,,3.28,0.07,3.35,3.35,,,349.93,354.83,347.46,0.15,0,-0.56,-29.25,351.52,351.52,,,,,,,,,,,350.48,354.18,
2025-01-27,349.35,353.835,349.35,352.66,292955.0,,,,,4.48,3.35,1.13,4.48,4.08,,347.46,353.84,353.84,0.05,1,0.93,42.77,350.39,350.39,,,,,,,,,,,350.48,352.66,
2025-01-28,351.44,354.61,350.5022,352.59,202020.0,,,,,4.11,1.95,2.16,4.11,4.0,,347.78,353.84,354.61,0.1,1,1.05,46.53,350.85,350.85,0.38,20.96,350.86,351.25,,,,,,,350.48,352.66,
2025-01-29,352.84,356.18,351.4,353.04,264872.0,,,,,4.78,3.59,1.19,4.78,4.1,,348.46,353.84,356.18,0.15,1,0.19,10.76,352.57,352.57,0.66,33.3,350.6,351.26,,,,,,,350.48,353.04,
2025-01-30,356.97,360.58,355.35,358.62,290774.0,,,,,5.23,7.54,2.31,7.54,4.85,,349.62,353.84,360.58,0.2,1,3.01,71.65,351.74,351.74,1.67,59.03,350.15,351.81,,,,,,,352.59,358.62,
2025-01-31,362.56,365.78,354.433,355.15,394316.0,,,,,11.35,7.16,4.19,11.35,6.45,,351.81,353.84,365.78,0.21,1,1.05,46.53,354.55,354.55,1.1,47.75,352.21,353.31,,,,356.1,,,352.59,358.62,
2025-02-03,349.44,355.555,347.44,352.05,421513.0,,,,,8.12,0.41,7.71,8.12,7.18,,347.44,365.78,347.44,0.05,0,-3.29,-73.07,358.56,358.56,0.1,5.88,354.08,354.19,,,,355.27,,,352.05,358.62,
2025-02-04,351.01,357.68,351.01,355.75,397165.0,,,,,6.67,5.63,1.04,6.67,7.69,,347.44,364.86,347.44,0.05,0,0.3,16.7,354.02,354.02,-0.12,-6.56,355.15,355.04,,,,355.75,,,352.05,358.62,
2025-02-05,355.38,358.63,352.655,356.1,629263.0,,,,,5.98,2.88,3.1,5.98,7.93,,347.44,363.99,347.44,0.05,0,2.03,63.72,352.61,352.61,-0.44,-23.94,356.42,355.98,,,,355.89,,,352.05,356.1,
2025-02-06,346.26,346.26,330.49,339.84,697934.0,,,,,15.77,9.84,25.61,25.61,11.55,,347.44,363.16,330.49,0.1,0,-7.96,-82.84,358.52,358.52,-2.66,-69.38,357.09,354.44,,,,349.32,,,339.84,356.1,
2025-02-07,341.08,342.71,335.86,338.52,450390.0,,,,,6.85,2.87,3.98,6.85,10.65,,347.44,359.89,330.49,0.1,0,-8.79,-83.51,353.61,353.61,-4.3,-76.9,357.05,352.75,,,,343.26,,,338.52,356.1,
2025-02-10,340.86,341.9,336.11,340.61,333669.0,,,,,5.79,3.38,2.41,5.79,10.18,,347.44,356.95,330.49,0.1,0,0.38,21.06,339.27,339.27,-4.79,-78.2,355.74,350.95,,,,339.35,,,338.52,356.1,
2025-02-11,340.15,341.48,336.54,337.34,424152.0,,,,,4.94,0.87,4.07,4.94,9.83,,347.44,354.3,330.49,0.1,0,-0.59,-30.54,339.41,339.41,-3.68,-74.78,349.83,346.16,,,,336.51,,,337.34,340.61,
2025-02-12,333.47,336.58,331.67,334.89,353390.0,,,,,4.91,0.76,5.67,5.67,9.77,7.56,347.44,351.92,330.49,0.1,0,-2.86,-70.73,340.47,340.47,-1.11,-47.93,340.46,339.35,,,,333.56,,,334.89,340.61,
2025-02-13,335.67,340.2525,333.24,339.73,294503.0,,,,,7.01,5.36,1.65,7.01,6.05,7.71,347.44,349.78,330.49,0.1,0,1.19,50.08,336.12,336.12,-0.33,-18.26,338.88,338.55,,,,333.53,,,334.89,340.61,
2025-02-14,340.75,341.9775,336.53,338.92,330511.0,,,,,5.45,2.25,3.2,5.45,5.77,7.85,347.44,347.85,330.49,0.1,0,2.02,63.61,335.83,335.83,-0.1,-5.65,338.5,338.4,,,,335.12,,,334.89,339.73,
2025-02-18,339.38,342.87,335.71,342.84,342849.0,,,,,7.16,3.95,3.21,7.16,6.05,8.0,347.44,346.11,330.49,0.1,0,1.56,57.26,338.94,338.94,1.5,56.36,335.74,337.24,,,,339.83,,,334.89,342.84,
2025-02-19,342.43,342.83,339.2636,342.34,459017.0,,,,,3.57,0.01,3.58,3.58,5.77,8.07,347.44,344.55,330.49,0.1,0,1.71,59.68,339.66,339.66,1.8,60.96,336.14,337.94,,,,341.38,,,338.92,342.84,
2025-02-20,340.58,341.97,337.35,338.49,263330.0,,,,,4.62,0.37,4.99,4.99,5.64,8.0,347.44,343.14,330.49,0.1,0,-2.18,-65.31,343.4,343.4,0.09,5.37,340.28,340.37,,,,340.78,,,338.49,342.84,
2025-02-21,339.25,341.54,333.583377,335.88,315566.0,,,,,7.96,3.05,4.91,7.96,5.83,7.9,347.44,341.97,330.49,0.1,0,-3.23,-72.8,342.13,342.13,-1.04,-46.21,341.78,340.74,,,,339.62,,,335.88,342.84,
2025-02-24,334.65,338.26,332.7,335.98,293186.0,,,,,5.56,2.38,3.18,5.56,5.85,7.76,347.44,341.54,330.49,0.1,0,-1.26,-51.45,338.04,338.04,-2.02,-63.64,343.14,341.12,,,,338.08,,,335.88,342.34,
2025-02-25,336.05,342.145,334.195,341.52,467359.0,346.0,7.82,361.64,330.36,7.95,6.16,1.79,7.95,6.01,7.61,330.49,342.14,342.14,0.05,1,2.82,70.47,334.97,334.97,-0.42,-22.54,339.67,339.26,,,,338.34,,,335.88,341.52,
2025-02-26,341.24,345.895,338.54,339.06,305276.0,345.39,7.75,360.89,329.89,7.35,4.38,2.98,7.35,6.76,7.24,331.07,342.14,345.9,0.1,1,1.54,57.0,337.31,337.31,0.68,34.14,336.83,337.51,,,,338.24,,,335.88,341.52,
2025-02-27,338.69,341.88,335.425,336.92,449749.0,344.81,7.81,360.43,329.19,6.45,2.82,3.63,6.45,7.05,6.97,332.55,342.14,345.9,0.1,1,-2.3,-66.5,341.47,341.47,0.52,27.29,336.84,337.36,,,,337.1,,,335.98,341.52,
2025-02-28,338.59,341.22,334.78,341.17,370264.0,344.42,7.74,359.9,328.94,6.44,4.3,2.14,6.44,6.75,6.7,333.88,342.14,345.9,0.1,1,1.06,46.53,337.99,337.99,0.58,30.03,337.77,338.35,,,,338.88,,,336.92,341.52,
2025-03-03,342.31,343.74,332.28,334.08,395227.0,343.76,7.9,359.56,327.96,11.46,2.57,8.89,11.46,7.93,6.56,332.28,345.9,332.28,0.05,0,-1.42,-54.85,338.81,338.81,-1.28,-51.94,341.1,339.83,,,,337.72,,,334.08,341.17,
2025-03-04,330.87,333.84,324.825,329.43,390951.0,342.83,8.17,359.17,326.49,9.01,0.24,9.25,9.25,8.19,6.43,332.28,345.22,324.82,0.1,0,-5.87,-80.33,340.76,340.76,-2.21,-65.65,340.55,338.34,,,,334.34,,,329.43,341.17,
2025-03-05,329.43,335.54,329.33,333.82,326708.0,342.08,8.1,358.28,325.88,6.21,6.11,0.1,6.21,7.96,6.58,332.28,343.18,324.82,0.1,0,-0.13,-7.41,332.57,332.57,-1.79,-60.86,338.67,336.88,,,,332.9,,,329.43,341.17,
2025-03-06,332.11,334.775,329.0,334.34,261055.0,341.34,7.91,357.16,325.52,5.77,0.95,4.82,5.77,7.83,6.74,332.28,341.34,324.82,0.1,0,2.46,67.84,330.07,330.07,-1.39,-54.31,337.35,335.96,,,,331.88,,,329.43,334.34,
2025-03-07,333.78,342.99,329.5037,342.05,361966.0,340.67,7.05,354.77,326.57,13.49,8.65,4.84,13.49,9.24,6.99,324.82,342.99,342.99,0.05,1,4.12,76.34,332.62,332.62,2.08,64.38,330.57,332.66,,,,335.58,,,329.43,342.05,
2025-03-10,339.32,347.84,336.14,339.45,414094.0,340.04,6.37,352.78,327.3,11.7,5.79,5.91,11.7,9.28,7.26,325.73,342.99,347.84,0.1,1,2.55,68.63,336.06,336.06,2.83,70.52,330.16,332.99,,,,337.54,,,333.82,342.05,
2025-03-11,339.16,340.74,332.14,335.73,459710.0,339.39,5.91,351.21,327.57,8.6,1.29,7.31,8.6,9.15,7.53,327.94,342.99,347.84,0.1,1,-3.16,-72.44,342.24,342.24,0.89,41.76,335.29,336.18,-6.24,,,337.39,,,334.34,342.05,
2025-03-12,337.76,337.76,324.54,325.61,554580.0,338.19,5.49,349.17,327.21,13.22,2.03,11.19,13.22,10.56,7.89,324.54,347.84,324.54,0.05,0,-6.92,-81.78,340.52,340.52,-2.38,-67.19,340.19,337.81,-7.06,,,334.18,,,325.61,342.05,
2025-03-13,326.12,329.63,322.95,324.09,366591.0,336.91,4.83,346.57,327.25,6.68,4.02,2.66,6.68,10.74,8.27,324.54,346.67,322.95,0.1,0,-5.82,-80.25,334.3,334.3,-4.98,-78.64,343.34,338.36,-8.33,,,329.86,,,324.09,339.45,
2025-03-14,327.21,332.67,325.0,331.84,357698.0,336.59,4.9,346.39,326.79,7.67,8.58,0.91,8.58,9.76,8.55,324.54,344.3,322.95,0.1,0,3.11,72.2,324.06,324.06,-2.69,-69.58,336.72,334.03,-9.83,-3.59,,328.44,,,324.09,335.73,
2025-03-17,330.15,332.519,328.01,329.24,363194.0,336.21,5.09,346.39,326.03,4.51,0.68,3.83,4.51,8.32,8.67,324.54,342.16,322.95,0.1,0,2.58,68.78,325.81,325.81,-0.68,-34.02,330.65,329.98,-11.26,-4.2,,326.84,,,324.09,331.84,
2025-03-18,328.22,330.98,326.46,329.26,391014.0,335.76,5.19,346.14,325.38,4.52,1.74,2.78,4.52,7.5,8.71,324.54,340.24,322.95,0.1,0,-1.29,-52.22,331.4,331.4,1.24,51.23,325.52,326.76,-11.89,-3.56,,325.75,,,324.09,331.84,
2025-03-19,329.1,334.19,327.95,332.78,343222.0,335.58,5.21,346.0,325.16,6.24,4.93,1.31,6.24,6.11,8.66,324.54,338.51,322.95,0.1,0,1.77,60.53,328.66,328.66,1.48,55.95,326.48,327.96,-9.89,-0.06,,328.48,,,329.24,332.78,
2025-03-20,330.26,333.391,328.78,329.87,427410.0,335.38,5.33,346.04,324.72,4.61,0.61,4.0,4.61,5.69,8.49,324.54,336.95,322.95,0.1,0,0.3,16.96,330.33,330.33,-0.04,-2.29,330.68,330.64,-8.07,3.19,,330.12,,,329.24,332.78,
2025-03-21,327.3,327.97,322.25,327.97,1763849.0,334.91,5.45,345.81,324.01,5.72,1.9,7.62,7.62,5.5,8.28,324.54,335.55,322.25,0.15,0,-2.41,-67.42,332.61,332.61,-0.19,-10.92,330.21,330.02,-7.97,3.92,,330.84,,,327.97,332.78,
2025-03-24,330.95,337.8,330.86,337.36,411799.0,334.84,5.41,345.66,324.02,6.94,9.83,2.89,9.83,6.56,8.17,322.25,337.8,337.8,0.05,1,3.74,75.05,327.99,327.99,1.14,48.72,329.17,330.31,-5.83,4.06,,333.59,,,327.97,337.36,
2025-03-25,337.53,337.87,333.13,335.92,289675.0,334.57,5.16,344.89,324.25,4.74,0.51,4.23,4.74,6.61,8.08,323.03,337.8,337.87,0.1,1,3.97,75.88,329.78,329.78,1.38,54.01,330.03,331.4,-4.04,4.03,,334.38,,,327.97,337.36,
2025-03-26,337.37,340.835,336.11,337.45,238250.0,334.37,4.94,344.25,324.49,4.72,4.91,0.19,4.91,6.34,7.86,324.51,337.8,340.84,0.15,1,0.04,2.58,336.86,336.86,2.31,66.6,329.09,331.4,-2.58,5.39,6.52,336.76,,,327.97,337.45,
2025-03-27,338.06,338.06,332.3755,335.29,308276.0,334.24,4.87,343.98,324.5,5.68,0.61,5.07,5.68,6.56,7.65,326.96,337.8,340.84,0.15,1,-0.32,-17.48,336.54,336.54,1.47,55.83,331.85,333.33,-0.91,4.92,6.46,337.12,,,335.29,337.45,
2025-03-28,335.4,337.77,327.66,329.31,280031.0,333.98,4.95,343.88,324.08,10.11,2.48,7.63,10.11,7.05,7.48,327.66,340.84,327.66,0.05,0,-4.07,-76.2,338.09,338.09,-1.67,-59.13,338.41,336.74,-0.34,3.7,5.28,334.49,,,329.31,337.45,
2025-03-31,330.69,339.93,328.11,337.01,414963.0,334.02,4.97,343.96,324.08,11.82,10.62,1.2,11.82,7.45,7.25,327.66,340.18,327.66,0.05,0,0.86,40.7,333.01,333.01,-0.6,-30.79,336.19,335.59,-0.36,2.22,3.76,335.94,6.52,,329.31,337.45,
2025-04-01,334.79,339.58,332.095,339.58,358852.0,333.95,4.86,343.67,324.23,7.48,2.57,4.91,7.48,8.0,7.03,327.66,339.93,327.66,0.05,0,5.13,78.98,330.16,330.16,0.6,30.88,334.53,335.13,0.4,1.31,2.49,337.38,5.24,,329.31,339.58,
2025-04-02,336.16,343.43,336.045,342.2,302415.0,334.07,5.04,344.15,323.99,7.38,3.85,3.53,7.38,8.49,6.94,327.66,343.43,343.43,0.05,1,2.6,68.93,337.0,337.0,2.41,67.46,331.86,334.27,1.21,1.55,1.65,338.63,3.69,5.17,329.31,342.2,
2025-04-03,331.44,336.57,324.92,327.45,571446.0,333.69,5.17,344.03,323.35,11.65,5.63,17.28,17.28,10.81,7.13,324.92,343.43,324.92,0.05,0,-6.07,-80.64,342.47,342.47,0.15,8.36,334.82,334.96,-0.15,0.21,0.49,334.9,2.54,3.9,327.45,342.2,
