Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,66.58,67.5,66.2846,66.83,1798749.0,,,,,1.22,,,1.22,,,66.2846,67.5,67.5,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,66.61,67.08,66.01,66.63,823212.0,,,,,1.07,0.25,0.82,1.07,,,66.01,67.5,66.01,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,66.29,66.7,65.85,66.56,252375.0,,,,,0.85,0.07,0.78,0.85,,,66.01,67.43,65.85,0.1,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,66.22,67.19,65.86,66.94,505004.0,,,,,1.33,0.63,0.7,1.33,,,66.01,67.27,65.85,0.1,0,0.16,8.81,66.55,66.55,,,,,,,,,,,66.56,66.94
2024-12-27 05:00:00,66.5,67.095,66.16,66.74,460337.0,,,,,0.94,0.16,0.78,0.94,1.08,,66.01,67.19,65.85,0.1,0,0.09,5.14,66.66,66.66,,,,,,,,,,,66.56,66.94
2024-12-30 05:00:00,66.17,66.65,65.5508,66.05,686423.0,,,,,1.1,0.09,1.19,1.19,1.08,,66.01,67.1,65.55,0.15,0,-0.45,-23.99,67.02,67.02,-0.1,-5.6,66.78,66.68,,,,,,,66.05,66.94
2024-12-31 05:00:00,66.24,66.75,65.85,66.06,541058.0,,,,,0.9,0.7,0.2,0.9,1.04,,66.01,66.87,65.55,0.15,0,-0.34,-18.78,66.62,66.62,-0.19,-10.7,66.85,66.66,,,,,,,66.05,66.94
2025-01-02 05:00:00,66.07,66.74,65.425,65.93,561809.0,,,,,1.31,0.68,0.64,1.31,1.13,,66.01,66.75,65.42,0.2,0,-0.06,-3.43,66.07,66.07,-0.27,-15.11,66.88,66.61,,,,,,,65.93,66.74
2025-01-03 05:00:00,65.93,67.3299,65.625,67.12,747287.0,,,,,1.7,1.4,0.31,1.7,1.21,,65.42,67.33,67.33,0.05,1,0.53,27.92,65.84,65.84,0.06,3.66,66.25,66.32,,,,66.38,,,65.93,67.12
2025-01-06 05:00:00,67.12,68.55,66.98,68.47,1002150.0,,,,,1.57,1.43,0.14,1.57,1.33,,65.52,67.33,68.55,0.1,1,1.27,51.78,65.9,65.9,0.59,30.54,65.55,66.14,,,,67.23,,,65.93,68.47
2025-01-07 05:00:00,68.58,69.75,68.38,69.41,840672.0,,,,,1.37,1.28,0.09,1.37,1.37,,65.82,67.33,69.75,0.15,1,1.14,48.87,67.19,67.19,0.92,42.74,65.55,66.47,,,,68.3,,,65.93,69.41
2025-01-08 05:00:00,69.18,71.85,67.69,68.96,2732087.0,,,,,4.16,2.44,1.72,4.16,2.02,,66.41,67.33,71.85,0.2,1,0.24,13.77,68.7,68.7,0.83,39.86,66.31,67.14,,,,69.04,,,67.12,69.41
2025-01-10 05:00:00,68.98,70.0,66.92,67.07,1166344.0,,,,,3.08,1.04,2.04,3.08,2.38,,66.92,71.85,66.92,0.05,0,-1.17,-49.48,69.65,69.65,0.04,2.23,68.13,68.17,,,,68.78,,,67.07,69.41
2025-01-13 05:00:00,66.77,68.57,66.2221,68.51,780862.0,,,,,2.35,1.5,0.85,2.35,2.51,,66.92,71.6,66.22,0.1,0,-0.22,-12.68,68.4,68.4,-0.23,-12.73,68.94,68.71,,,,68.91,,,67.07,69.41
2025-01-14 05:00:00,68.53,70.385,68.51,70.19,717746.0,,,,,1.88,1.88,0.0,1.88,2.57,,66.92,71.06,66.22,0.1,0,1.56,57.34,67.03,67.03,0.11,6.33,68.61,68.72,,,,69.55,,,67.07,70.19
2025-01-15 05:00:00,70.5,72.58,70.44,72.03,1320076.0,,,,,2.14,2.39,0.25,2.39,2.77,,66.22,72.58,72.58,0.05,1,1.76,60.4,68.48,68.48,0.93,42.8,67.5,68.43,,,,70.57,,,67.07,72.03
2025-01-16 05:00:00,71.95,72.93,71.37,72.69,739198.0,,,,,1.56,0.9,0.66,1.56,2.25,1.75,66.54,72.58,72.93,0.1,1,1.25,51.34,70.39,70.39,1.48,55.88,67.15,68.62,,,,71.66,,,68.51,72.69
2025-01-17 05:00:00,73.1,73.67,71.95,73.51,1514789.0,,,,,1.72,0.98,0.74,1.72,1.98,1.82,67.18,72.58,73.67,0.15,1,0.74,36.5,72.0,72.0,1.25,51.34,68.89,70.14,,,,72.96,,,70.19,73.51
2025-01-21 05:00:00,73.695,74.34,72.6,74.02,1071047.0,,,,,1.74,0.83,0.91,1.74,1.86,1.88,68.15,72.58,74.34,0.2,1,0.67,33.62,72.74,72.74,0.91,42.43,70.66,71.57,,,,74.29,,,72.03,74.02
2025-01-22 05:00:00,73.79,74.25,73.1,73.66,1334487.0,,,,,1.15,0.23,0.92,1.15,1.71,1.93,69.39,72.58,74.34,0.2,1,0.07,4.29,73.65,73.65,0.46,24.66,72.26,72.72,,,,74.97,,,72.69,74.02
2025-01-23 05:00:00,73.66,73.83,72.89,73.6,723690.0,,,,,0.94,0.17,0.77,0.94,1.42,1.95,70.38,72.58,74.34,0.2,1,-0.21,-11.86,73.97,73.97,0.2,11.14,73.1,73.3,,,,74.77,,,73.51,74.02
2025-01-24 05:00:00,73.24,74.99,73.24,74.99,1142489.0,,,,,1.75,1.39,0.36,1.75,1.46,1.97,71.17,72.58,74.99,0.21,1,0.67,33.62,73.42,73.42,0.25,14.25,73.45,73.7,,,,74.96,,,73.6,74.99
2025-01-27 05:00:00,75.0,76.8,73.98,75.14,983538.0,,,,,2.82,1.81,1.01,2.82,1.68,2.0,71.97,72.58,76.8,0.21,1,0.77,37.6,73.81,73.81,0.36,19.65,73.57,73.92,,,,75.09,,,73.6,75.14
2025-01-28 05:00:00,75.78,76.29,74.6503,74.88,698055.0,,,,,1.64,1.15,0.49,1.64,1.66,2.02,72.98,72.58,76.8,0.21,1,-0.05,-3.15,75.06,75.06,0.4,21.7,73.66,74.06,,,,75.16,,,73.6,75.14
2025-01-29 05:00:00,74.88,75.365,73.88,74.5,668052.0,70.02,3.45,76.92,63.12,1.48,0.48,1.0,1.48,1.73,2.0,73.78,72.58,76.8,0.21,1,-0.32,-17.74,75.16,75.16,0.17,9.59,74.28,74.45,,,,75.0,,,74.5,75.14
2025-01-30 05:00:00,75.32,75.84,74.25,75.3,540877.0,70.36,3.54,77.44,63.28,1.59,1.34,0.25,1.59,1.86,1.96,73.88,72.58,76.8,0.21,1,0.21,11.86,74.68,74.68,-0.0,-0.11,74.97,74.96,,,,75.23,,,74.5,75.3
2025-01-31 05:00:00,75.41,75.59,74.04,74.06,1091971.0,70.66,3.52,77.7,63.62,1.55,0.29,1.26,1.55,1.82,1.91,74.04,76.8,74.04,0.05,0,-0.22,-12.41,74.84,74.84,-0.17,-9.87,75.12,74.95,,,,74.91,,,74.06,75.3
2025-02-03 05:00:00,73.25,74.3185,72.27,73.58,995962.0,70.94,3.46,77.86,64.02,2.05,0.26,1.79,2.05,1.66,1.84,74.04,76.66,72.27,0.1,0,-0.86,-40.7,75.17,75.17,-0.3,-16.91,75.07,74.77,,,,74.31,,,73.58,75.3
2025-02-04 05:00:00,73.59,74.94,73.59,74.61,644334.0,71.24,3.43,78.1,64.38,1.35,1.36,0.01,1.36,1.61,1.75,74.04,76.22,72.27,0.1,0,0.27,15.38,73.81,73.81,-0.15,-8.53,74.71,74.56,,,,74.13,,,73.58,75.3
2025-02-05 05:00:00,75.0,75.0,74.1843,74.79,451707.0,71.57,3.37,78.31,64.83,0.82,0.39,0.43,0.82,1.47,1.69,74.04,75.82,72.27,0.1,0,0.61,31.17,73.72,73.72,-0.05,-2.69,74.56,74.52,,,,74.28,,,73.58,74.79
