Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,171.06,174.14,170.33,171.61,4887005.0,,,,,3.81,,,3.81,,,170.33,174.14,174.14,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,171.0,171.75,169.56,171.38,1388493.0,,,,,2.19,0.14,2.05,2.19,,,169.56,174.14,169.56,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,170.89,173.45,170.5094,173.35,441749.0,,,,,2.94,2.07,0.87,2.94,,,169.56,173.91,169.56,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,172.63,174.4,172.11,173.8,469932.0,,,,,2.29,1.05,1.24,2.29,,,169.56,174.4,174.4,0.05,1,1.21,50.43,171.63,171.63,,,,,,,,,,,171.38,173.8
2024-12-27 05:00:00,172.35,174.2861,171.32,172.01,734394.0,,,,,2.97,0.49,2.48,2.97,2.84,,169.8,174.4,174.4,0.05,1,-0.67,-33.82,173.72,173.72,,,,,,,,,,,171.38,173.8
2024-12-30 05:00:00,170.07,171.52,168.51,170.87,852132.0,,,,,3.01,0.49,3.5,3.5,2.78,,168.51,174.4,168.51,0.05,0,-1.47,-55.68,173.69,173.69,-0.24,-13.28,172.75,172.52,,,,,,,170.87,173.8
2024-12-31 05:00:00,172.27,172.57,170.495,172.21,1376090.0,,,,,2.07,1.7,0.38,2.07,2.75,,168.51,174.11,168.51,0.05,0,0.1,5.71,171.6,171.6,-0.52,-27.52,173.49,172.97,,,,,,,170.87,173.8
2025-01-02 05:00:00,172.5,174.235,171.5766,173.53,1154680.0,,,,,2.66,2.03,0.63,2.66,2.7,,168.51,174.24,174.24,0.05,1,1.33,53.06,170.87,170.87,-0.03,-1.95,172.55,172.52,,,,,,,170.87,173.53
2025-01-03 05:00:00,174.05,176.25,173.623,176.07,897277.0,,,,,2.63,2.72,0.09,2.72,2.78,,168.8,174.24,176.25,0.1,1,1.93,62.61,172.01,172.01,1.08,47.15,170.78,171.86,,,,174.06,,,170.87,176.07
2025-01-06 05:00:00,175.16,175.9,173.93,174.41,2050862.0,,,,,1.97,0.17,2.14,2.14,2.62,,169.54,174.24,176.25,0.1,1,0.44,23.75,174.23,174.23,1.09,47.57,171.23,172.32,,,,174.31,,,172.21,176.07
2025-01-07 05:00:00,174.81,176.7,173.16,174.17,2317881.0,,,,,3.54,2.29,1.25,3.54,2.63,,170.21,174.24,176.7,0.15,1,-0.95,-43.53,175.83,175.83,0.48,25.64,173.12,173.6,,,,174.7,,,173.53,176.07
2025-01-08 05:00:00,173.82,174.99,172.77,174.69,1319697.0,,,,,2.22,0.82,1.4,2.22,2.66,,171.18,174.24,176.7,0.15,1,0.14,7.97,174.28,174.28,0.04,2.41,174.49,174.53,,,,175.34,,,174.17,176.07
2025-01-10 05:00:00,172.36,174.84,170.1,170.96,2010292.0,,,,,4.74,0.15,4.59,4.74,3.07,,170.1,176.7,170.1,0.05,0,-1.6,-58.07,174.88,174.88,-0.99,-44.83,176.05,175.05,,,,173.92,,,170.96,174.69
2025-01-13 05:00:00,170.64,173.08,169.84,172.8,1257002.0,,,,,3.24,2.12,1.12,3.24,3.18,,170.1,176.37,169.84,0.1,0,-0.95,-43.38,173.76,173.76,-0.64,-32.74,174.69,174.05,,,,173.06,,,170.96,174.69
2025-01-14 05:00:00,173.64,174.71,172.7,173.57,1068133.0,,,,,2.01,1.91,0.1,2.01,3.15,,170.1,175.72,169.84,0.1,0,1.31,52.54,171.14,171.14,-0.31,-17.17,173.86,173.55,,,,172.7,,,170.96,174.69
2025-01-15 05:00:00,176.61,176.94,170.87,171.75,1204660.0,,,,,6.07,3.37,2.7,6.07,3.66,,169.84,176.94,176.94,0.05,1,-0.53,-27.7,173.23,173.23,-0.33,-18.11,173.41,173.08,,,,171.79,,,170.96,173.57
2025-01-16 05:00:00,172.02,173.16,170.74,172.71,1195777.0,,,,,2.42,1.41,1.01,2.42,3.7,2.96,170.2,176.94,176.94,0.05,1,-0.43,-23.27,173.11,173.11,0.24,13.77,171.87,172.11,,,,172.07,,,171.75,173.57
