Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,85.34,87.225,85.34,86.81,4747470.0,,,,,1.88,,,1.88,,,85.34,87.225,87.225,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,86.65,87.07,85.8077,87.04,2789532.0,,,,,1.26,0.26,1.0,1.26,,,85.43,87.225,87.225,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,86.96,87.97,86.67,87.96,795600.0,,,,,1.3,0.93,0.37,1.3,,,85.52,87.225,87.97,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,87.51,87.74,87.0,87.61,7243985.0,,,,,0.74,0.22,0.96,0.96,,,85.76,87.225,87.97,0.1,1,0.28,15.91,87.25,87.25,,,,,,,,,,,86.81,87.96
2024-12-27 05:00:00,87.0,88.1594,87.0,87.77,1791233.0,,,,,1.16,0.55,0.61,1.16,1.31,,85.98,87.225,88.16,0.15,1,-0.09,-5.43,87.87,87.87,,,,,,,,,,,87.04,87.96
2024-12-30 05:00:00,87.2,87.64,86.3184,87.35,4381345.0,,,,,1.32,0.13,1.45,1.45,1.23,,86.31,87.225,88.16,0.15,1,-0.13,-7.41,87.71,87.71,0.04,2.46,87.46,87.5,,,,,,,87.35,87.96
2024-12-31 05:00:00,87.28,88.02,87.25,87.72,1827264.0,,,,,0.77,0.67,0.1,0.77,1.13,,86.32,87.225,88.16,0.15,1,-0.02,-1.43,87.64,87.64,-0.07,-4.23,87.83,87.76,,,,,,,87.35,87.77
2025-01-02 05:00:00,88.31,88.65,86.8,87.13,2330638.0,,,,,1.85,0.93,0.92,1.85,1.24,,86.6,87.225,88.65,0.2,1,-0.11,-6.28,87.51,87.51,-0.1,-5.77,87.72,87.62,,,,,,,87.13,87.77
2025-01-03 05:00:00,87.42,87.95,86.85,87.67,2838111.0,,,,,1.1,0.82,0.28,1.1,1.27,,86.8,87.225,88.65,0.2,1,-0.02,-1.43,87.53,87.53,-0.04,-2.41,87.61,87.57,,,,87.54,,,87.13,87.72
2025-01-06 05:00:00,87.32,87.38,84.2,84.51,3075150.0,,,,,3.18,0.29,3.47,3.47,1.73,,84.2,88.65,84.2,0.05,0,-1.31,-52.64,87.75,87.75,-0.57,-29.81,88.02,87.45,,,,86.16,,,84.51,87.72
2025-01-07 05:00:00,84.79,85.2,84.06,84.23,4262232.0,,,,,1.14,0.69,0.45,1.14,1.67,,84.2,88.43,84.06,0.1,0,-1.72,-59.83,87.19,87.19,-0.96,-43.83,88.17,87.21,,,,85.1,,,84.23,87.67
2025-01-08 05:00:00,84.19,84.41,81.29,82.82,6214481.0,,,,,3.12,0.18,2.94,3.12,2.14,,84.2,87.99,81.29,0.15,0,-0.85,-40.2,84.7,84.7,-1.21,-50.33,87.68,86.48,,,,83.68,,,82.82,87.67
2025-01-10 05:00:00,81.86,82.46,78.6,78.73,8191038.0,,,,,3.86,0.36,4.22,4.22,2.61,,84.2,86.98,78.6,0.2,0,-2.75,-70.02,84.68,84.68,-1.96,-62.93,87.51,85.55,,,,80.99,,,78.73,84.51
2025-01-13 05:00:00,78.93,79.1,76.72,76.94,9327836.0,,,,,2.38,0.37,2.01,2.38,2.87,,84.2,85.3,76.72,0.21,0,-2.94,-71.21,82.44,82.44,-2.06,-64.15,85.57,83.51,,,,78.21,,,76.94,84.23
2025-01-14 05:00:00,77.7,79.22,77.19,78.11,6083714.0,,,,,2.03,2.28,0.25,2.28,2.63,,84.2,83.5,76.72,0.21,0,-0.31,-17.22,78.24,78.24,-1.81,-61.11,83.79,81.98,,,,76.87,,,76.94,82.82
