Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,212.64,218.19,212.64,217.07,654023.0,,,,,5.55,,,5.55,,,212.64,218.19,218.19,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,214.85,219.69,214.72,218.58,717994.0,,,,,4.97,2.62,2.35,4.97,,,212.92,218.19,219.69,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,218.32,219.6,213.9701,217.2,393234.0,,,,,5.63,1.02,4.61,5.63,,,213.6,218.19,219.69,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,216.25,217.88,215.281,217.01,297318.0,,,,,2.6,0.68,1.92,2.6,,,213.97,218.19,219.69,0.1,1,-0.79,-38.13,218.38,218.38,,,,,,,,,,,217.01,218.58,
2025-01-27,217.88,221.9,217.34,221.82,485231.0,,,,,4.56,4.89,0.33,4.89,4.73,,214.54,218.19,221.9,0.15,1,2.31,66.59,216.37,216.37,,,,,,,,,,,217.01,221.82,
2025-01-28,221.06,223.51,220.345,221.06,359733.0,,,,,3.16,1.69,1.47,3.16,4.25,,215.64,218.19,223.51,0.2,1,2.03,63.72,217.94,217.94,0.96,43.77,217.22,218.18,,,,,,,217.01,221.82,
2025-01-29,221.8,222.23,218.95,220.28,332507.0,,,,,3.28,1.17,2.11,3.28,3.91,,217.21,218.19,223.51,0.2,1,-0.77,-37.6,221.82,221.82,1.02,45.6,217.43,218.45,,,,,,,217.01,221.82,
2025-01-30,221.84,224.185,220.58,221.7,310893.0,,,,,3.6,3.91,0.3,3.91,3.57,,218.47,218.19,224.18,0.21,1,0.32,17.74,220.69,220.69,0.78,38.1,218.81,219.59,,,,,,,220.28,221.82,
2025-01-31,219.79,224.8,218.94,220.65,565568.0,,,,,5.86,3.1,2.76,5.86,4.22,,218.94,224.18,218.94,0.05,0,0.19,10.48,220.69,220.69,-0.17,-9.65,221.44,221.27,,,,221.71,,,220.28,221.7,
2025-02-03,218.38,219.62,215.83,218.34,523070.0,,,,,3.79,1.03,4.82,4.82,4.21,,218.94,224.8,215.83,0.1,0,-1.68,-59.24,221.91,221.91,-0.51,-26.89,221.42,220.91,,,,220.8,,,218.34,221.7,
