Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,97.65,99.835,97.035,99.0,2665340.0,,,,,2.8,,,2.8,,,97.035,99.835,99.835,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,98.61,99.04,96.95,97.17,2510010.0,,,,,2.09,0.04,2.05,2.09,,,96.95,99.84,96.95,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,97.22,98.58,96.7701,97.54,2825023.0,,,,,1.81,1.41,0.4,1.81,,,96.95,99.7,96.77,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,97.21,100.0,97.02,99.06,1670390.0,,,,,2.98,2.46,0.52,2.98,,,96.77,100.0,100.0,0.05,1,0.94,43.38,96.98,96.98,,,,,,,,,,,97.17,99.06,
2025-01-27,99.74,100.29,98.87,100.24,1581763.0,,,,,1.42,1.23,0.19,1.42,2.22,,96.93,100.0,100.29,0.1,1,1.35,53.47,97.6,97.6,,,,,,,,,,,97.17,100.24,
2025-01-28,99.45,100.78,99.28,100.4,2012236.0,,,,,1.5,0.54,0.96,1.5,1.96,,97.27,100.0,100.78,0.15,1,0.67,33.82,99.23,99.23,0.92,42.49,97.05,97.97,,,,,,,97.54,100.4,
2025-01-29,100.47,102.6285,99.96,100.85,1599014.0,,,,,2.67,2.23,0.44,2.67,2.08,,97.8,100.0,102.63,0.2,1,0.31,16.96,100.19,100.19,0.8,38.52,98.03,98.82,,,,,,,99.06,100.85,
2025-01-30,101.89,103.0,101.2716,102.23,1472081.0,,,,,1.73,2.15,0.42,2.15,2.14,,98.77,100.0,103.0,0.21,1,0.91,42.46,100.24,100.24,0.69,34.8,99.17,99.86,,,,,,,100.24,102.23,
2025-01-31,102.0,102.735,101.195,101.62,1664628.0,,,,,1.54,0.5,1.04,1.54,1.86,,99.66,100.0,103.0,0.21,1,0.39,21.06,101.18,101.18,0.46,24.66,100.15,100.61,,,,102.39,,,100.4,102.23,
2025-02-03,99.57,100.0,97.38,98.17,3151178.0,,,,,2.62,1.62,4.24,4.24,2.42,,97.38,103.0,97.38,0.05,0,-2.03,-63.77,102.7,102.7,-0.37,-20.25,101.39,101.02,,,,101.0,,,98.17,102.23,
2025-02-04,98.43,99.54,98.1,98.38,1982642.0,,,,,1.44,1.37,0.07,1.44,2.41,,97.38,102.72,97.38,0.05,0,-1.62,-58.31,101.01,101.01,-0.9,-41.99,102.05,101.15,,,,99.7,,,98.17,102.23,
2025-02-05,99.06,99.705,98.4,99.33,1263142.0,,,,,1.3,1.33,0.02,1.33,2.14,,97.38,102.45,97.38,0.05,0,0.58,30.11,98.05,98.05,-0.9,-42.11,101.75,100.85,,,,99.11,,,98.17,101.62,
2025-02-06,100.17,100.3,99.2704,99.59,1318571.0,,,,,1.03,0.97,0.06,1.03,1.92,,97.38,102.2,97.38,0.05,0,0.6,31.17,98.49,98.49,-0.29,-16.17,100.0,99.71,,,,98.89,,,98.17,99.59,
2025-02-07,99.99,100.4399,99.08,99.44,1371143.0,,,,,1.36,0.85,0.51,1.36,1.88,,97.38,101.96,97.38,0.05,0,0.05,3.15,99.4,99.4,0.37,20.56,98.23,98.61,,,,98.71,,,98.38,99.59,
2025-02-10,99.75,99.91,97.75,98.05,1666856.0,,,,,2.16,0.47,1.69,2.16,1.46,,97.38,101.73,97.38,0.05,0,-0.77,-37.6,99.8,99.8,-0.06,-3.15,99.07,99.01,,,,98.14,,,98.05,99.59,
2025-02-11,97.59,98.74,97.02,98.61,1519923.0,,,,,1.72,0.69,1.03,1.72,1.52,,97.38,101.51,97.02,0.1,0,-0.41,-22.54,99.11,99.11,-0.3,-16.59,99.6,99.3,,,,98.39,,,98.05,99.59,
2025-02-12,97.54,98.3,97.13,98.22,1049702.0,,,,,1.17,0.31,1.48,1.48,1.55,1.97,97.38,101.06,97.02,0.1,0,0.08,4.86,98.21,98.21,-0.36,-19.65,99.5,99.14,,,,98.62,,,98.05,99.44,
2025-02-13,98.71,99.09,97.81,99.02,1382466.0,,,,,1.28,0.87,0.41,1.28,1.6,1.92,97.38,100.66,97.02,0.1,0,0.2,11.59,98.41,98.41,-0.07,-3.83,98.8,98.74,,,,98.6,,,98.05,99.02,
2025-02-14,99.53,100.54,98.97,99.16,1520695.0,,,,,1.57,1.52,0.05,1.57,1.64,1.89,97.02,100.54,100.54,0.05,1,0.47,25.17,98.33,98.33,0.26,14.74,98.09,98.35,,,,98.63,,,98.22,99.16,
2025-02-18,99.47,100.965,98.7656,100.44,2596681.0,,,,,2.2,1.81,0.39,2.2,1.65,1.86,97.2,100.54,100.96,0.1,1,0.71,35.37,98.83,98.83,0.46,24.7,98.17,98.63,,,,99.36,,,98.22,100.44,
2025-02-19,99.81,100.46,99.21,99.81,2008597.0,,,,,1.25,0.02,1.23,1.25,1.56,1.82,97.58,100.54,100.96,0.1,1,0.33,18.0,99.48,99.48,0.46,24.7,98.41,98.87,,,,99.8,,,99.02,100.44,
2025-02-20,100.21,100.86,97.7,99.64,2019695.0,,,,,3.16,1.05,2.11,3.16,1.89,1.82,97.7,100.96,97.7,0.05,0,-0.4,-21.8,100.36,100.36,0.19,10.7,99.24,99.43,,,,100.12,,,99.16,100.44,
2025-02-21,99.93,100.615,98.63,98.7,1808387.0,,,,,1.98,0.97,1.01,1.98,2.03,1.79,97.7,100.86,97.7,0.05,0,-0.56,-29.03,99.94,99.94,-0.17,-9.76,99.89,99.72,,,,99.67,,,98.7,100.44,
2025-02-24,99.17,99.72,97.7,98.55,1736254.0,,,,,2.02,1.02,1.0,2.02,2.12,1.77,97.7,100.7,97.7,0.05,0,-0.55,-28.59,99.51,99.51,-0.49,-26.06,100.41,99.92,,,,99.26,,,98.55,99.81,
2025-02-25,99.07,99.31,96.42,97.21,1801420.0,99.22,1.27,101.76,96.68,2.89,0.76,2.13,2.89,2.26,1.78,97.7,100.55,96.42,0.1,0,-0.75,-36.69,98.9,98.9,-0.63,-32.17,100.04,99.41,,,,98.19,,,97.21,99.64,
2025-02-26,97.46,98.59,96.8,97.33,1335604.0,99.15,1.32,101.79,96.51,1.79,1.38,0.41,1.79,2.37,1.81,97.7,100.14,96.42,0.1,0,-0.61,-31.38,98.31,98.31,-0.61,-31.42,99.51,98.9,,,,97.45,,,97.21,98.7,
2025-02-27,97.73,99.13,96.5,97.52,1763899.0,99.16,1.3,101.76,96.56,2.63,1.8,0.83,2.63,2.26,1.84,97.7,99.77,96.42,0.1,0,0.15,8.81,97.2,97.2,-0.36,-19.7,98.58,98.22,,,,96.97,,,97.21,98.55,
2025-02-28,98.12,99.48,97.325,99.23,3886933.0,99.23,1.26,101.75,96.71,2.16,1.96,0.19,2.16,2.3,1.9,96.42,99.48,99.48,0.05,1,0.95,43.53,97.08,97.08,0.17,9.48,97.63,97.8,,,,97.66,,,97.21,99.23,
2025-03-03,99.79,100.47,96.36,96.98,2273819.0,99.15,1.34,101.83,96.47,4.11,1.24,2.87,4.11,2.72,2.0,96.36,99.48,96.36,0.05,0,-0.27,-15.11,98.18,98.18,0.14,8.19,97.37,97.51,,,,97.36,,,96.98,99.23,
2025-03-04,95.4,96.1,91.07,91.7,3166128.0,98.81,1.98,102.77,94.85,5.03,0.88,5.91,5.91,3.32,2.13,96.36,100.47,91.07,0.1,0,-3.76,-75.13,99.73,99.73,-1.18,-49.72,98.91,97.73,,,,95.04,,,91.7,99.23,
2025-03-05,91.73,93.48,91.33,92.54,2516669.0,98.49,2.31,103.11,93.87,2.15,1.78,0.37,2.15,3.39,2.27,96.36,99.53,91.07,0.1,0,-2.22,-65.75,95.96,95.96,-1.75,-60.24,99.09,97.34,,,,93.51,,,91.7,99.23,
2025-03-06,91.66,91.74,88.55,89.83,3209777.0,98.05,2.84,103.73,92.37,3.19,0.8,3.99,3.99,3.66,2.43,96.36,98.68,88.55,0.15,0,-0.94,-43.08,92.29,92.29,-2.32,-66.72,98.7,96.38,,,,91.32,,,89.83,96.98,
