Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,53.8,55.41,53.69,54.99,3979527.0,,,,,1.72,,,1.72,,,53.69,55.41,55.41,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,54.82,55.39,54.32,55.35,4460327.0,,,,,1.07,0.4,0.67,1.07,,,53.78,55.41,55.41,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,55.54,55.83,54.855,55.27,2035446.0,,,,,0.98,0.48,0.5,0.98,,,53.86,55.41,55.83,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,55.61,56.05,55.2,56.02,2185594.0,,,,,0.85,0.78,0.07,0.85,,,54.06,55.41,56.05,0.15,1,0.34,18.52,55.21,55.21,,,,,,,,,,,54.99,56.02,
2025-01-27,55.72,55.82,54.73,54.88,2430387.0,,,,,1.09,0.2,1.29,1.29,1.18,,54.36,55.41,56.05,0.15,1,-0.19,-11.03,55.58,55.58,,,,,,,,,,,54.88,56.02,
2025-01-28,53.4,54.505,53.21,54.34,3363073.0,,,,,1.3,0.38,1.67,1.67,1.17,,53.21,56.05,53.21,0.05,0,-0.84,-40.03,55.92,55.92,-0.24,-13.55,55.65,55.41,,,,,,,54.34,56.02,
2025-01-29,53.21,54.09,53.025,53.56,3587348.0,,,,,1.07,0.25,1.32,1.32,1.22,,53.21,55.91,53.02,0.1,0,-0.66,-33.42,54.92,54.92,-0.51,-27.02,55.83,55.32,,,,,,,53.56,56.02,
2025-01-30,52.5,53.44,51.96,53.26,3788890.0,,,,,1.48,0.12,1.6,1.6,1.35,,53.21,55.62,51.96,0.15,0,-0.54,-28.37,54.26,54.26,-0.68,-34.37,55.78,55.1,,,,,,,53.26,54.88,
2025-01-31,53.55,54.08,52.82,53.09,3145405.0,,,,,1.26,0.82,0.44,1.26,1.43,,53.21,55.07,51.96,0.15,0,-0.24,-13.22,53.54,53.54,-0.47,-24.99,54.76,54.29,,,,53.06,,,53.09,54.34,
2025-02-03,52.36,53.56,51.585,53.52,3946525.0,,,,,1.98,0.47,1.51,1.98,1.57,,53.21,54.6,51.58,0.2,0,0.13,7.41,53.16,53.16,-0.21,-11.91,53.98,53.77,,,,52.89,,,53.09,53.56,
