Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,58.59,59.435,58.265,59.34,4913480.0,,,,,1.17,,,1.17,,,58.265,59.435,59.435,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,59.02,59.075,57.92,58.57,1532800.0,,,,,1.16,0.27,1.42,1.42,,,57.92,59.44,57.92,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,58.42,58.91,58.225,58.6,737844.0,,,,,0.68,0.34,0.34,0.68,,,57.92,59.36,57.92,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,58.4,58.63,58.18,58.32,1131418.0,,,,,0.45,0.03,0.42,0.45,,,57.92,59.29,57.92,0.05,0,-0.13,-7.13,58.62,58.62,,,,,,,,,,,58.32,59.34
2024-12-27 05:00:00,57.9,58.495,57.5,57.82,966937.0,,,,,0.99,0.17,0.82,0.99,0.94,,57.92,59.22,57.5,0.1,0,-0.39,-21.31,58.64,58.64,,,,,,,,,,,57.82,58.6
2024-12-30 05:00:00,57.68,57.77,56.765,56.88,1362100.0,,,,,1.01,0.05,1.05,1.05,0.92,,57.92,59.05,56.76,0.15,0,-0.72,-35.75,58.39,58.39,-0.42,-22.59,58.87,58.45,,,,,,,56.88,58.6
2024-12-31 05:00:00,56.95,57.63,56.95,57.32,928477.0,,,,,0.68,0.75,0.07,0.75,0.78,,57.92,58.71,56.76,0.15,0,-0.25,-14.04,57.59,57.59,-0.4,-21.8,58.59,58.19,,,,,,,56.88,58.32
2025-01-02 05:00:00,57.73,57.96,57.03,57.2,954693.0,,,,,0.93,0.64,0.29,0.93,0.83,,57.92,58.42,56.76,0.15,0,0.16,9.09,56.97,56.97,-0.27,-15.32,58.06,57.78,,,,,,,56.88,57.82
2025-01-03 05:00:00,56.24,56.57,54.5,55.27,3210212.0,,,,,2.07,0.63,2.7,2.7,1.28,,57.92,58.17,54.5,0.2,0,-1.02,-45.71,57.62,57.62,-0.48,-25.55,57.85,57.38,,,,56.08,,,55.27,57.32
2025-01-06 05:00:00,55.37,56.69,55.25,55.96,1805696.0,,,,,1.44,1.42,0.02,1.44,1.37,,57.92,57.44,54.5,0.2,0,-0.62,-31.8,56.76,56.76,-0.39,-21.26,57.3,56.92,,,,55.71,,,55.27,57.32
2025-01-07 05:00:00,56.1,56.69,55.16,55.19,1410115.0,,,,,1.53,0.73,0.8,1.53,1.47,,57.92,56.85,54.5,0.2,0,-0.04,-2.29,55.51,55.51,-0.55,-28.81,57.29,56.74,,,,55.24,,,55.19,57.2
2025-01-08 05:00:00,54.85,55.69,54.75,55.59,1505335.0,,,,,0.94,0.5,0.44,0.94,1.51,,57.92,56.69,54.5,0.2,0,-0.19,-10.48,55.76,55.76,-0.33,-18.26,56.5,56.17,,,,55.15,,,55.19,55.96
2025-01-10 05:00:00,54.9,55.52,52.2,52.44,2681787.0,,,,,3.32,0.07,3.39,3.39,2.0,,57.92,56.25,52.2,0.21,0,-1.37,-53.97,55.78,55.78,-0.6,-31.09,56.1,55.49,,,,53.85,,,52.44,55.96
2025-01-13 05:00:00,52.42,54.0619,51.91,53.81,2067117.0,,,,,2.15,1.62,0.53,2.15,1.89,,57.92,55.52,51.91,0.21,0,-0.89,-41.67,54.84,54.84,-0.7,-35.18,56.01,55.3,,,,53.34,,,52.44,55.59
2025-01-14 05:00:00,53.86,54.42,53.5,54.19,1676057.0,,,,,0.92,0.61,0.31,0.92,1.79,,57.92,54.76,51.91,0.21,0,0.87,41.19,52.6,52.6,-0.38,-20.71,55.0,54.62,,,,53.35,,,52.44,55.59
2025-01-15 05:00:00,54.91,55.11,54.32,54.47,1556340.0,,,,,0.79,0.92,0.13,0.92,1.66,,51.91,55.11,55.11,0.05,1,0.33,18.26,53.83,53.83,-0.05,-2.81,54.2,54.15,,,,53.71,,,52.44,54.47
2025-01-16 05:00:00,54.11,55.06,54.015,54.98,1484689.0,,,,,1.05,0.59,0.45,1.05,1.69,1.39,52.07,55.11,55.11,0.05,1,0.39,21.55,54.15,54.15,0.57,29.86,52.83,53.4,,,,54.02,,,53.81,54.98
2025-01-17 05:00:00,54.98,55.52,54.73,55.23,1944813.0,,,,,0.79,0.54,0.25,0.79,1.17,1.41,52.22,55.11,55.52,0.1,1,0.38,20.81,54.51,54.51,0.36,19.95,53.81,54.17,,,,54.64,,,54.19,55.23
2025-01-21 05:00:00,55.43,55.8,55.225,55.74,1620813.0,,,,,0.57,0.57,0.0,0.57,0.85,1.41,52.55,55.11,55.8,0.15,1,0.38,20.81,54.94,54.94,0.39,21.11,54.15,54.54,,,,55.34,,,54.47,55.74
2025-01-22 05:00:00,55.61,55.735,54.83,54.88,1350460.0,,,,,0.91,0.01,0.91,0.91,0.85,1.41,53.04,55.11,55.8,0.15,1,-0.17,-9.93,55.46,55.46,0.16,8.98,54.74,54.9,,,,55.73,,,54.88,55.74
2025-01-23 05:00:00,54.88,54.98,53.87,54.04,1532154.0,,,,,1.11,0.1,1.01,1.11,0.89,1.42,53.45,55.11,55.8,0.15,1,-0.85,-40.36,55.74,55.74,-0.22,-12.57,55.42,55.2,,,,55.05,,,54.04,55.74
