Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,42.31,43.68,42.28,43.32,14850116.0
2024-12-23 05:00:00,43.0,43.56,42.91,43.54,5013668.0
2024-12-24 05:00:00,43.54,43.99,43.385,43.99,1742152.0
2024-12-26 05:00:00,43.67,44.07,43.54,44.0,2877053.0
2024-12-27 05:00:00,43.69,44.3,43.46,43.67,3307195.0
2024-12-30 05:00:00,43.31,43.64,42.89,43.37,3432700.0
2024-12-31 05:00:00,43.6,43.8,43.24,43.38,5316278.0
2025-01-02 05:00:00,43.74,44.08,43.14,43.33,5056670.0
2025-01-03 05:00:00,43.57,44.136533,43.06,44.1,5156379.0
2025-01-06 05:00:00,44.6,45.05,44.0113,44.1,6246498.0
2025-01-07 05:00:00,44.65,44.75,43.73,43.97,7067447.0
2025-01-08 05:00:00,43.96,44.25,43.445,43.95,5727349.0
2025-01-10 05:00:00,43.32,43.48,42.57,42.78,8002342.0
2025-01-13 05:00:00,42.69,43.17,42.63,43.12,8693033.0
2025-01-14 05:00:00,43.5,43.99,43.24,43.91,10298100.0
2025-01-15 05:00:00,45.17,45.5772,44.97,45.39,7974026.0
2025-01-16 05:00:00,44.94,45.49,44.44,44.98,11164550.0
2025-01-17 05:00:00,47.02,47.745,46.55,47.65,15704872.0
2025-01-21 05:00:00,48.0,48.527849,47.735,47.89,10278667.0
2025-01-22 05:00:00,47.73,47.74,46.41,47.01,9023436.0
2025-01-23 05:00:00,47.05,47.23,46.55,46.76,6453169.0
2025-01-24 05:00:00,46.5,47.185,46.45,47.0,6377324.0
2025-01-27 05:00:00,47.18,47.62,47.045,47.61,5000094.0
2025-01-28 05:00:00,47.46,47.73,46.83,47.27,3848106.0
2025-01-29 05:00:00,47.25,48.185,47.24,47.44,5686453.0
2025-01-30 05:00:00,48.0,48.45,47.72,48.02,7772449.0
2025-01-31 05:00:00,48.07,48.36,47.45,47.62,12372215.0
2025-02-03 05:00:00,46.65,47.14,45.84,46.89,7494082.0
2025-02-04 05:00:00,46.89,47.57,46.847,47.38,4684770.0
2025-02-05 05:00:00,47.77,47.81,47.085,47.67,4238790.0
2025-02-06 05:00:00,48.19,48.25,47.47,48.15,13659392.0
2025-02-07 05:00:00,48.2,48.27,47.48,47.68,8008450.0
2025-02-10 05:00:00,47.68,47.72,46.94,47.15,6494845.0
2025-02-11 05:00:00,46.98,47.51,46.77,47.34,5957872.0
2025-02-12 05:00:00,46.75,46.85,46.11,46.38,5553669.0
2025-02-13 05:00:00,46.49,46.66,46.1,46.46,4566385.0
2025-02-14 05:00:00,46.12,46.86,45.78,46.81,5376300.0
2025-02-18 05:00:00,46.86,47.64,46.57,47.61,8662024.0
2025-02-19 05:00:00,47.18,47.77,47.01,47.53,5871109.0
2025-02-20 05:00:00,47.54,47.6,45.8742,46.65,5599969.0
2025-02-21 05:00:00,46.88,46.88,45.53,45.66,5845218.0
2025-02-24 05:00:00,46.02,46.045,45.13,45.34,5969293.0
2025-02-25 05:00:00,45.69,45.98,44.79,45.15,5588877.0
2025-02-26 05:00:00,45.46,45.69,45.113,45.34,5119966.0
2025-02-27 05:00:00,45.5,46.12,45.295,45.71,5763166.0
2025-02-28 05:00:00,46.05,46.38,45.7,46.35,7194845.0
2025-03-03 05:00:00,46.54,46.92,45.05,45.43,8882360.0
2025-03-04 05:00:00,44.81,45.0,42.95,43.76,9627653.0
2025-03-05 05:00:00,43.895,44.45,42.69,43.11,12863643.0
2025-03-06 05:00:00,42.5,42.63,41.66,42.24,7319609.0
2025-03-07 05:00:00,42.02,42.36,40.95,42.19,8470717.0
2025-03-10 04:00:00,41.28,41.44,39.67,40.37,11406147.0
2025-03-11 04:00:00,40.28,40.76,39.51,39.91,9840884.0
