Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,218.24,220.28,218.13,219.49,3700423.0,,,,,2.15,,,2.15,,,218.13,220.28,220.28,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,219.19,220.86,218.08,218.18,4124311.0,,,,,2.78,1.37,1.41,2.78,,,218.08,220.28,218.08,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,218.66,219.41,215.37,216.04,3623514.0,,,,,4.04,1.23,2.81,4.04,,,218.08,220.86,215.37,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,216.845,218.6,215.7357,218.57,3118512.0,,,,,2.86,2.56,0.3,2.86,,,218.08,220.31,215.37,0.1,0,0.19,11.03,217.4,217.4,,,,,,,,,,,216.04,219.49,
2025-01-27,216.79,223.3299,216.79,221.43,4153136.0,,,,,6.54,4.76,1.78,6.54,3.67,,215.37,223.33,223.33,0.05,1,2.7,69.64,215.98,215.98,,,,,,,,,,,216.04,221.43,
2025-01-28,220.21,224.16,218.8,221.14,3975463.0,,,,,5.36,2.73,2.63,5.36,4.32,,215.77,223.33,224.16,0.1,1,1.28,52.11,219.09,219.09,1.13,48.52,216.81,217.94,,,,,,,216.04,221.43,
2025-01-29,238.0,241.4,233.23,235.15,8859451.0,,,,,8.17,20.26,12.09,20.26,7.81,,216.61,223.33,241.4,0.15,1,6.86,81.71,219.05,219.05,4.08,76.23,214.31,218.39,,,,,,,218.57,235.15,
2025-01-30,239.21,240.84,233.972,234.37,4205176.0,,,,,6.87,5.69,1.18,6.87,8.38,,220.33,223.33,241.4,0.15,1,6.62,81.4,223.6,223.6,4.53,77.56,217.07,221.6,,,,,,,221.14,235.15,
2025-01-31,234.5,235.48,231.0,232.97,3338009.0,,,,,4.48,1.11,3.37,4.48,8.7,,223.49,223.33,241.4,0.15,1,-1.09,-47.47,235.25,235.25,3.63,74.6,221.75,225.38,,,,234.92,,,221.14,235.15,
2025-02-03,235.938,238.35,232.6,238.1,3720012.0,,,,,5.75,5.38,0.37,5.75,8.54,,226.18,223.33,241.4,0.15,1,1.87,61.8,233.28,233.28,3.17,72.51,226.0,229.17,,,,238.86,,,232.97,238.1,
2025-02-04,236.31,240.84,235.39,237.25,3285908.0,,,,,5.45,2.74,2.71,5.45,8.56,,228.46,223.33,241.4,0.15,1,2.14,64.95,233.97,233.97,0.79,38.41,233.98,234.77,,,,240.24,,,232.97,238.1,
