Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,71.87,74.25,71.87,74.05,4726324.0,,,,,2.38,,,2.38,,,71.87,74.25,74.25,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,74.39,74.54,73.215,73.34,3511260.0,,,,,1.33,0.49,0.83,1.33,,,71.99,74.25,74.54,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,72.93,73.815,72.55,73.62,4276355.0,,,,,1.27,0.47,0.79,1.27,,,72.24,74.25,74.54,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,73.62,75.78,73.53,74.65,3857814.0,,,,,2.25,2.16,0.09,2.25,,,72.47,74.25,75.78,0.15,1,0.65,33.22,73.22,73.22,,,,,,,,,,,73.34,74.65,
2025-01-27,73.83,73.95,71.77,72.51,4528825.0,,,,,2.18,0.7,2.88,2.88,2.02,,71.77,75.78,71.77,0.05,0,-0.55,-29.03,74.15,74.15,,,,,,,,,,,72.51,74.65,
2025-01-28,72.5,74.0,72.2617,73.79,3481378.0,,,,,1.74,1.49,0.25,1.74,1.89,,71.77,75.58,71.77,0.05,0,-0.43,-23.27,74.08,74.08,-0.02,-1.2,73.62,73.6,,,,,,,72.51,74.65,
2025-01-29,74.08,75.5154,73.78,74.39,3007393.0,,,,,1.74,1.73,0.01,1.74,1.98,,71.77,75.52,75.52,0.05,1,0.94,43.23,72.62,72.62,0.07,3.89,73.66,73.72,,,,,,,72.51,74.65,
2025-01-30,75.0,76.49,74.68,75.91,4292545.0,,,,,1.81,2.1,0.29,2.1,2.14,,71.96,75.52,76.49,0.1,1,1.06,46.67,73.64,73.64,0.44,23.75,73.37,73.81,,,,,,,72.51,75.91,
2025-01-31,74.88,75.2,72.17,72.94,6638045.0,,,,,3.03,0.71,3.74,3.74,2.44,,72.17,76.49,72.17,0.05,0,-0.72,-35.94,75.14,75.14,0.3,16.59,73.31,73.61,,,,74.27,,,72.94,75.91,
2025-02-03,71.69,73.99,71.33,73.53,8771124.0,,,,,2.66,1.05,1.61,2.66,2.4,,72.17,76.27,71.33,0.1,0,-1.19,-49.96,75.32,75.32,-0.2,-11.14,74.51,74.31,,,,73.98,,,72.94,75.91,
2025-02-04,73.98,74.39,72.68,72.96,3555954.0,,,,,1.71,0.86,0.85,1.71,2.39,,72.17,75.78,71.33,0.1,0,0.01,0.57,73.13,73.13,-0.52,-27.65,74.99,74.47,,,,73.51,,,72.94,75.91,
2025-02-05,72.5,74.21,72.5,73.38,5293577.0,,,,,1.71,1.25,0.46,1.71,2.38,,72.17,75.34,71.33,0.1,0,-0.08,-4.29,73.37,73.37,-0.5,-26.75,74.75,74.25,,,,73.53,,,72.94,73.53,
2025-02-06,87.75,87.8749,81.5,82.2,15057105.0,,,,,6.37,14.49,8.12,14.49,4.86,,71.33,87.87,87.87,0.05,1,4.62,77.79,71.56,71.56,1.84,61.44,71.33,73.16,,,,76.79,,,72.96,82.2,
2025-02-07,83.53,84.06,78.99,80.38,7820674.0,,,,,5.07,1.86,3.21,5.07,5.13,,72.16,87.87,87.87,0.05,1,3.5,74.05,75.15,75.15,2.29,66.45,71.9,74.2,,,,78.8,,,72.96,82.2,
2025-02-10,79.67,80.55,78.34,79.05,5967066.0,,,,,2.21,0.17,2.04,2.21,5.04,,72.95,87.87,87.87,0.05,1,-1.58,-57.59,82.12,82.12,1.92,62.46,73.76,75.68,,,,79.86,,,73.38,82.2,
