Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,171.68,176.8,171.53,176.79,5128696.0
2024-12-23 05:00:00,176.33,178.58,173.53,178.37,1577970.0
2024-12-24 05:00:00,179.39,181.17,178.375,180.72,675592.0
2024-12-26 05:00:00,180.53,180.53,177.12,177.9,982261.0
2024-12-27 05:00:00,177.39,178.3,175.92,177.36,1017183.0
2024-12-30 05:00:00,177.06,178.82,175.28,177.76,1068699.0
2024-12-31 05:00:00,178.13,179.45,177.23,178.5,1254830.0
2025-01-02 05:00:00,180.17,183.305,179.28,183.06,1148081.0
2025-01-03 05:00:00,184.36,187.61,184.09,186.17,1156208.0
2025-01-06 05:00:00,187.97,187.97,184.71,186.16,1911379.0
2025-01-07 05:00:00,186.54,189.22,184.12,187.82,1588578.0
2025-01-08 05:00:00,187.79,192.07,187.03,191.98,1225605.0
2025-01-10 05:00:00,194.0,196.815,192.0,193.3,1800609.0
2025-01-13 05:00:00,193.34,198.2,193.0,197.47,1435844.0
2025-01-14 05:00:00,198.0,203.69,197.0,201.38,1625353.0
2025-01-15 05:00:00,203.9,205.82,202.67,205.5,1444795.0
2025-01-16 05:00:00,205.53,212.98,205.38,212.95,1908884.0
2025-01-17 05:00:00,212.68,217.02,210.14,215.72,1851610.0
2025-01-21 05:00:00,215.02,217.34,213.61,217.22,2239403.0
2025-01-22 05:00:00,218.19,218.51,208.63,211.27,1554582.0
2025-01-23 05:00:00,213.43,213.76,209.33,211.39,1042743.0
2025-01-24 05:00:00,210.06,213.19,208.59,209.07,1066086.0
2025-01-27 05:00:00,205.9,205.96,197.0,199.24,2002424.0
2025-01-28 05:00:00,200.49,203.28,199.13,202.37,1610878.0
2025-01-29 05:00:00,201.79,207.4748,201.35,202.86,925872.0
2025-01-30 05:00:00,205.21,206.095,203.22,205.21,1022667.0
2025-01-31 05:00:00,205.69,205.69,196.15,196.8,1722319.0
2025-02-03 05:00:00,195.5,202.7888,195.08,201.73,1432308.0
2025-02-04 05:00:00,200.14,202.02,197.7001,199.81,1129214.0
2025-02-05 05:00:00,201.56,204.85,200.65,204.44,1160078.0
2025-02-06 05:00:00,205.88,205.88,196.0,198.98,1280651.0
2025-02-07 05:00:00,199.68,203.18,197.845,201.42,822034.0
2025-02-10 05:00:00,203.0,208.53,202.86,205.97,1394146.0
2025-02-11 05:00:00,205.2,205.2,199.63,203.17,1477042.0
2025-02-12 05:00:00,199.71,204.1599,199.05,200.59,1425794.0
2025-02-13 05:00:00,200.31,205.13,199.43,204.42,1166166.0
2025-02-14 05:00:00,203.94,207.18,202.45,205.36,1181743.0
2025-02-18 05:00:00,206.0,209.785,205.72,209.45,1338430.0
2025-02-19 05:00:00,208.95,211.87,208.52,210.29,1842754.0
2025-02-20 05:00:00,201.77,205.81,195.42,204.7,2812380.0
2025-02-21 05:00:00,203.81,204.63,198.5173,200.36,2760258.0
2025-02-24 05:00:00,199.67,205.15,195.68,198.47,1481765.0
2025-02-25 05:00:00,198.35,198.35,188.65,194.92,2206733.0
2025-02-26 05:00:00,195.57,199.95,195.57,198.57,1470818.0
2025-02-27 05:00:00,198.85,199.69,194.05,195.54,1483227.0
2025-02-28 05:00:00,194.35,203.96,194.35,201.72,3502888.0
2025-03-03 05:00:00,202.74,205.61,194.5,195.68,1968671.0
2025-03-04 05:00:00,192.01,194.37,185.06,190.01,2695092.0
2025-03-05 05:00:00,187.55,188.77,182.8997,186.81,2375763.0
2025-03-06 05:00:00,183.96,186.56,180.64,181.98,1681983.0
2025-03-07 05:00:00,182.59,184.575,176.43,181.91,2635125.0
2025-03-10 04:00:00,180.18,182.18,175.85,178.44,3016914.0
2025-03-11 04:00:00,178.57,183.8,177.99,181.19,2097680.0
2025-03-12 04:00:00,185.24,188.96,183.1,187.04,1586672.0
2025-03-13 04:00:00,187.61,188.66,181.72,182.86,1552913.0
2025-03-14 04:00:00,186.68,191.35,183.76,190.3,1728525.0
2025-03-17 04:00:00,189.45,197.73,189.45,196.6,1472541.0
2025-03-18 04:00:00,197.71,198.27,193.32,194.27,1201909.0
2025-03-19 04:00:00,195.28,199.99,194.41,198.96,1026084.0
2025-03-20 04:00:00,198.27,199.87,197.0,199.52,1321139.0
2025-03-21 04:00:00,198.57,198.94,196.36,197.4,2054811.0
2025-03-24 04:00:00,200.37,205.74,200.0,204.96,1259542.0
2025-03-25 04:00:00,205.97,208.1,204.39,205.57,1428310.0
2025-03-26 04:00:00,207.0,207.92,200.88,202.04,1281337.0
2025-03-27 04:00:00,201.88,202.22,198.01,199.01,1267514.0
2025-03-28 04:00:00,198.25,199.62,195.98,197.82,1307042.0
2025-03-31 04:00:00,196.63,201.54,194.36,200.47,1734801.0
2025-04-01 04:00:00,198.27,203.615,196.09,203.07,1476145.0
2025-04-02 04:00:00,200.02,206.09,199.1176,205.72,972382.0
2025-04-03 04:00:00,192.74,196.33,180.01,180.72,4023423.0
2025-04-04 04:00:00,174.18,174.895,158.46,161.19,7805936.0
2025-04-07 04:00:00,156.72,173.15,150.0,165.28,4884688.0
2025-04-08 04:00:00,174.09,175.0,157.79,160.57,3564138.0
2025-04-09 04:00:00,157.3,176.39,154.15,173.65,5629074.0
2025-04-10 04:00:00,169.39,169.555,159.56,162.43,3555470.0
2025-04-11 04:00:00,164.05,164.52,158.3,163.56,2758749.0
2025-04-14 04:00:00,168.47,168.47,163.64,164.73,2482392.0
2025-04-15 04:00:00,165.53,171.2294,163.79,168.04,1387392.0
2025-04-16 04:00:00,168.05,174.5869,167.22,172.68,2711423.0
2025-04-17 04:00:00,175.65,178.68,174.19,174.57,1975797.0
2025-04-21 04:00:00,171.74,172.245,162.14,164.54,2009160.0
