Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,70.43,72.1,70.05,71.64,3454388.0,,,,,2.05,,,2.05,,,70.05,72.1,72.1,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,71.65,71.83,70.59,71.17,854523.0,,,,,1.24,0.19,1.05,1.24,,,70.15,72.1,72.1,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,70.96,71.97,70.96,71.87,268813.0,,,,,1.01,0.8,0.21,1.01,,,70.25,72.1,72.1,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,71.51,72.385,71.36,72.3,500473.0,,,,,1.03,0.52,0.51,1.03,,,70.34,72.1,72.39,0.1,1,0.57,29.47,71.21,71.21,,,,,,,,,,,71.17,72.3
2024-12-27 05:00:00,71.75,72.5625,70.8848,71.2,608748.0,,,,,1.68,0.26,1.42,1.68,1.4,,70.54,72.1,72.56,0.15,1,-0.34,-18.52,72.12,72.12,,,,,,,,,,,71.17,72.3
2024-12-30 05:00:00,70.55,71.16,69.65,70.43,754978.0,,,,,1.51,0.04,1.55,1.55,1.3,,69.65,72.56,69.65,0.05,0,-0.93,-43.08,72.24,72.24,-0.22,-12.13,71.82,71.61,,,,,,,70.43,72.3
2024-12-31 05:00:00,70.68,71.03,70.305,70.66,672748.0,,,,,0.72,0.6,0.12,0.72,1.2,,69.65,72.41,69.65,0.05,0,-0.27,-15.11,71.03,71.03,-0.43,-23.22,72.15,71.72,,,,,,,70.43,72.3
2025-01-02 05:00:00,70.71,71.08,69.23,69.71,1340536.0,,,,,1.85,0.42,1.43,1.85,1.37,,69.65,72.27,69.23,0.1,0,-0.36,-19.8,70.63,70.63,-0.57,-29.77,72.0,71.43,,,,,,,69.71,71.2
2025-01-03 05:00:00,70.28,70.819,69.71,70.57,939035.0,,,,,1.11,1.11,0.0,1.11,1.38,,69.65,71.97,69.23,0.1,0,-0.05,-2.58,70.36,70.36,-0.2,-11.2,70.91,70.71,,,,70.13,,,69.71,70.66
2025-01-06 05:00:00,70.62,72.275,70.3,71.1,1412048.0,,,,,1.98,1.71,0.27,1.98,1.44,,69.23,72.28,72.28,0.05,1,0.69,34.8,69.76,69.76,0.12,7.13,70.24,70.37,,,,70.22,,,69.71,71.1
