Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,234.53,242.55,234.17,240.76,2339469.0,,,,,8.38,,,8.38,,,234.17,242.55,242.55,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,238.69,241.77,237.98,241.36,1408387.0,,,,,3.79,1.01,2.78,3.79,,,234.59,242.55,242.55,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,241.82,243.095,240.38,242.88,329168.0,,,,,2.72,1.73,0.98,2.72,,,234.99,242.55,243.1,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,241.99,243.935,240.7601,243.73,434123.0,,,,,3.17,1.06,2.12,3.17,,,235.8,242.55,243.94,0.15,1,1.19,49.84,241.47,241.47,,,,,,,,,,,240.76,243.73
2024-12-27 05:00:00,241.12,244.235,240.57,241.41,631737.0,,,,,3.67,0.51,3.16,3.67,4.35,,237.02,242.55,244.24,0.2,1,-0.73,-36.32,243.41,243.41,,,,,,,,,,,241.36,243.73
2024-12-30 05:00:00,239.88,241.17,237.61,239.87,734369.0,,,,,3.56,0.24,3.8,3.8,3.43,,237.61,244.24,237.61,0.05,0,-1.93,-62.61,243.6,243.6,-0.45,-23.99,242.74,242.29,,,,,,,239.87,243.73
2024-12-31 05:00:00,240.42,241.75,238.82,240.89,795120.0,,,,,2.93,1.88,1.05,2.93,3.26,,237.61,243.91,237.61,0.05,0,-0.26,-14.57,240.98,240.98,-0.78,-38.1,243.32,242.54,,,,,,,239.87,243.73
2025-01-02 05:00:00,242.23,242.71,240.01,240.89,942498.0,,,,,2.7,1.82,0.88,2.7,3.25,,237.61,243.6,237.61,0.05,0,0.51,27.02,240.04,240.04,-0.62,-31.8,242.6,241.98,,,,,,,239.87,241.41
2025-01-03 05:00:00,242.42,243.08,240.115,242.29,819690.0,,,,,2.97,2.19,0.77,2.97,3.21,,237.61,243.3,237.61,0.05,0,0.7,34.99,240.66,240.66,0.28,15.54,240.51,240.79,,,,241.1,,,239.87,242.29
2025-01-06 05:00:00,241.82,246.08,240.81,241.88,1442741.0,,,,,5.27,3.79,1.48,5.27,3.53,,237.61,246.08,246.08,0.05,1,0.5,26.34,241.19,241.19,0.54,28.46,240.08,240.62,,,,241.12,,,240.89,242.29
2025-01-07 05:00:00,241.25,243.47,240.03,241.68,1460751.0,,,,,3.44,1.59,1.85,3.44,3.46,,238.03,246.08,246.08,0.05,1,-0.3,-16.96,242.26,242.26,0.26,14.41,241.01,241.27,,,,241.38,,,240.89,242.29
2025-01-08 05:00:00,243.51,244.0,238.94,242.77,1373331.0,,,,,5.06,2.32,2.74,5.06,3.89,,238.43,246.08,246.08,0.05,1,0.45,23.99,241.66,241.66,0.31,17.48,241.27,241.59,,,,242.42,,,241.68,242.77
2025-01-10 05:00:00,238.0,240.055,231.0,232.43,1818588.0,,,,,9.06,2.72,11.77,11.77,5.7,,231.0,246.08,231.0,0.05,0,-4.62,-77.8,243.58,243.58,-1.88,-62.03,243.98,242.09,,,,238.64,,,232.43,242.77
2025-01-13 05:00:00,230.95,234.57,230.2301,233.33,1751156.0,,,,,4.34,2.14,2.2,4.34,5.98,,231.0,245.33,230.23,0.1,0,-4.72,-78.04,240.9,240.9,-2.64,-69.22,243.69,241.05,,,,235.6,,,232.43,242.77
2025-01-14 05:00:00,232.5,237.23,231.04,236.93,1550811.0,,,,,6.19,3.9,2.29,6.19,6.16,,231.0,243.82,230.23,0.1,0,2.25,66.04,231.98,231.98,-1.89,-62.17,241.22,239.32,,,,234.87,,,232.43,242.77
2025-01-15 05:00:00,240.13,242.175,239.63,239.98,1481121.0,,,,,2.55,5.25,2.7,5.25,6.52,,231.0,242.46,230.23,0.1,0,3.32,73.26,233.42,233.42,-0.11,-6.16,237.3,237.2,,,,235.73,,,232.43,239.98
