Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,594.62,607.83,592.13,605.42,516531,,,,,15.7,,,15.7,,,592.13,607.83,607.83,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,600.5,603.095,589.355,594.4,218801,,,,,13.74,2.32,16.06,16.06,,,589.36,607.83,589.36,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,593.51,599.26,592.56,599.26,58881,,,,,6.7,4.86,1.84,6.7,,,589.36,606.91,589.36,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,594.38,598.2,592.66,592.84,83561,,,,,5.54,1.06,6.6,6.6,,,589.36,606.03,589.36,0.05,0,-0.78,-37.95,596.28,596.28,,,,,,,,,,,592.84,605.42
2024-12-27 05:00:00,590.0,593.36,583.17,587.1,130698,,,,,10.19,0.52,9.67,10.19,11.05,,589.36,605.2,583.17,0.1,0,-6.08,-80.66,599.15,599.15,,,,,,,,,,,587.1,599.26
2024-12-30 05:00:00,582.0,582.39,574.92,579.04,121014,,,,,7.47,4.71,12.18,12.18,10.35,,589.36,603.0,574.92,0.15,0,-6.9,-81.75,593.23,593.23,-4.29,-76.87,599.1,594.82,,,,,,,579.04,599.26
2024-12-31 05:00:00,579.31,580.47,573.5901,576.64,140468,,,,,6.88,1.43,5.45,6.88,8.51,,589.36,598.79,573.59,0.2,0,-5.23,-79.18,586.16,586.16,-5.9,-80.39,598.78,592.88,,,,,,,576.64,592.84
2025-01-02 05:00:00,581.69,583.770888,573.82,574.67,184553,,,,,9.95,7.13,2.82,9.95,9.16,,589.36,593.75,573.59,0.2,0,-2.19,-65.41,578.97,578.97,-4.68,-77.94,591.42,586.74,,,,,,,574.67,587.1
2025-01-03 05:00:00,574.84,585.25,574.84,584.17,168832,,,,,10.41,10.58,0.17,10.58,9.96,,589.36,589.72,573.59,0.2,0,3.76,75.13,574.73,574.73,-1.02,-45.65,582.37,581.35,,,,575.55,,,574.67,584.17
2025-01-06 05:00:00,582.06,582.06,568.49,575.84,215076,,,,,13.57,2.11,15.68,15.68,11.05,,589.36,586.49,568.49,0.21,0,0.59,30.33,577.64,577.64,0.11,6.45,577.85,577.96,,,,573.4,,,574.67,584.17
2025-01-07 05:00:00,574.41,577.845,560.965,563.54,350573,,,,,16.88,2.0,14.88,16.88,11.99,,589.36,582.71,560.96,0.21,0,-10.32,-84.46,584.83,584.83,-2.5,-68.22,579.98,577.48,,,,568.9,,,563.54,584.17
2025-01-08 05:00:00,564.0,575.49,564.0,575.22,205589,,,,,11.49,11.95,0.46,11.95,13.01,,589.36,578.14,560.96,0.21,0,-0.31,-17.22,571.84,571.84,-1.95,-62.89,578.59,576.64,,,,570.63,,,563.54,584.17
2025-01-10 05:00:00,569.46,570.745,559.29,559.7,229564,,,,,11.46,4.48,15.93,15.93,14.2,,589.36,575.49,559.29,0.21,0,-1.92,-62.49,568.07,568.07,-4.96,-78.59,581.61,576.65,,,,565.93,,,559.7,575.84
2025-01-13 05:00:00,558.37,565.16,558.37,562.01,211088,,,,,6.79,5.46,1.33,6.79,13.45,,589.36,572.09,558.37,0.21,0,-6.61,-81.39,572.25,572.25,-3.15,-72.39,573.56,570.41,,,,562.46,,,559.7,575.22
2025-01-14 05:00:00,564.52,571.5,561.35,570.27,156081,,,,,10.15,9.49,0.66,10.15,12.34,,558.37,571.5,571.5,0.05,1,5.28,79.29,558.71,558.71,0.02,1.43,566.1,566.12,,,,563.25,,,559.7,575.22
2025-01-15 05:00:00,577.51,580.59,569.31,571.88,186898,,,,,11.28,10.32,0.96,11.28,11.22,,559.03,571.5,580.59,0.1,1,4.93,78.55,563.12,563.12,0.39,21.26,567.04,567.43,,,,564.75,,,559.7,571.88
2025-01-16 05:00:00,573.93,583.175,572.7,575.43,197614,,,,,10.47,11.29,0.82,11.29,11.09,11.34,561.19,571.5,583.17,0.15,1,2.58,68.81,569.95,569.95,4.13,76.4,559.59,563.72,,,,570.33,,,562.01,575.43
2025-01-17 05:00:00,578.66,581.1599,568.59,569.33,308096,,,,,12.57,5.73,6.84,12.57,10.42,11.29,564.49,571.5,583.17,0.15,1,-1.27,-51.89,573.49,573.49,1.98,63.2,565.82,567.8,,,,572.02,,,569.33,575.43
2025-01-21 05:00:00,573.05,586.52,572.965,584.55,235565,,,,,13.55,17.19,3.63,17.19,12.5,11.45,567.29,571.5,586.52,0.2,1,4.56,77.63,571.88,571.88,2.6,68.97,569.09,571.69,,,,577.52,,,569.33,584.55
2025-01-22 05:00:00,586.51,590.36,581.55,586.03,177331,,,,,8.81,5.81,3.0,8.81,12.23,11.74,571.14,571.5,590.36,0.21,1,8.35,83.17,571.62,571.62,3.74,75.04,569.96,573.7,,,,584.81,,,569.33,586.03
2025-01-23 05:00:00,586.43,593.7,582.4001,593.47,214004,,,,,11.3,7.67,3.63,11.3,12.23,11.98,575.18,571.5,593.7,0.21,1,4.46,77.36,583.56,583.56,5.28,79.27,571.21,576.48,,,,590.41,,,569.33,593.47
2025-01-24 05:00:00,591.4,594.97,590.21,591.93,155287,,,,,4.76,1.5,3.26,4.76,10.93,12.05,579.07,571.5,594.97,0.21,1,2.95,71.27,587.53,587.53,5.41,79.53,574.24,579.65,,,,593.14,,,584.55,593.47
2025-01-27 05:00:00,588.5,608.45,583.6125,607.38,313537,,,,,24.84,16.52,8.32,24.84,13.38,12.23,582.41,571.5,608.45,0.21,1,6.95,81.82,590.64,590.64,5.16,79.02,582.36,587.52,,,,601.87,,,586.03,607.38
2025-01-28 05:00:00,605.04,626.075,600.76,619.85,304091,,,,,25.32,18.7,6.62,25.32,15.01,12.46,583.61,571.5,626.08,0.21,1,13.96,85.9,592.43,592.43,8.15,83.01,583.42,591.58,,,,613.11,,,591.93,619.85
2025-01-29 05:00:00,614.97,616.165,605.92,607.41,235481,584.3,15.61,615.52,553.08,10.25,3.69,13.93,13.93,16.03,12.69,592.53,571.5,626.08,0.21,1,0.01,0.86,611.53,611.53,5.58,79.84,592.85,598.43,,,,616.06,,,591.93,619.85
2025-01-30 05:00:00,605.48,613.625,594.065,598.89,260044,584.03,15.29,614.61,553.45,19.56,6.22,13.34,19.56,17.68,12.96,594.07,626.08,594.07,0.05,0,-10.48,-84.55,619.2,619.2,1.4,54.37,602.3,603.7,,,,611.27,,,598.89,619.85
2025-01-31 05:00:00,598.72,606.15,593.896,601.64,272429,584.32,15.56,615.44,553.2,12.25,7.26,4.99,12.25,19.18,13.4,594.07,624.48,593.9,0.1,0,-2.88,-70.88,605.53,605.53,-3.24,-72.87,613.52,610.28,,,,608.96,,,598.89,619.85
2025-02-03 05:00:00,596.54,607.315,587.49,603.01,187354,584.47,15.73,615.93,553.01,19.83,5.68,14.15,19.83,18.18,13.85,594.07,621.42,587.49,0.15,0,2.06,64.11,599.12,599.12,-3.95,-75.78,614.05,610.1,,,,606.17,,,598.89,607.41
2025-02-04 05:00:00,606.08,614.4,604.5701,608.08,198481,585.08,16.35,617.78,552.38,9.83,11.39,1.56,11.39,15.39,14.17,594.07,616.33,587.49,0.15,0,3.22,72.75,601.02,601.02,0.55,28.63,602.71,603.26,,,,605.94,,,598.89,608.08
2025-02-05 05:00:00,611.12,616.795,606.58,616.0,204403,586.24,17.48,621.2,551.28,10.21,8.71,1.5,10.21,14.65,14.45,587.49,616.79,616.79,0.05,1,6.5,81.25,602.53,602.53,4.07,76.18,597.39,601.46,,,,607.41,,,601.64,616.0
2025-02-06 05:00:00,613.47,616.62,611.515,615.85,181234,587.71,18.38,624.47,550.95,5.11,0.62,4.49,5.11,11.76,14.55,588.96,616.79,616.79,0.05,1,3.89,75.57,609.42,609.42,4.14,76.42,600.63,604.77,,,,610.67,,,603.01,616.0
2025-02-07 05:00:00,614.1,619.0325,602.56,606.24,224317,588.9,18.59,626.08,551.72,16.47,3.18,13.29,16.47,12.6,14.56,590.35,616.79,619.03,0.1,1,-4.88,-78.42,617.58,617.58,1.42,54.9,606.99,608.41,,,,612.34,,,606.24,616.0
2025-02-10 05:00:00,609.83,614.9695,601.42,611.83,200239,590.38,18.89,628.16,552.6,13.55,8.73,4.82,13.55,11.35,14.49,593.22,616.79,619.03,0.1,1,-2.01,-63.55,613.32,613.32,-0.23,-12.73,612.05,611.83,,,,614.36,,,606.24,616.0
2025-02-11 05:00:00,609.45,612.01,602.945,609.47,187896,591.39,19.21,629.81,552.97,9.06,0.18,8.88,9.06,10.88,14.39,595.8,616.79,619.03,0.1,1,1.62,58.23,607.56,607.56,-1.71,-59.65,615.29,613.59,,,,612.9,,,606.24,615.85
2025-02-12 05:00:00,600.0,614.5,600.0,610.27,398683,592.77,19.29,631.35,554.19,14.5,5.03,9.47,14.5,11.74,14.45,598.12,616.79,619.03,0.1,1,-0.78,-37.95,611.3,611.3,-0.79,-38.41,612.32,611.53,19.63,,,611.58,,,606.24,611.83
2025-02-13 05:00:00,620.92,661.31,618.75,646.74,632974,596.1,21.12,638.34,553.86,42.56,51.04,8.48,51.04,20.92,15.03,600.0,616.79,661.31,0.15,1,18.63,86.93,603.52,603.52,7.94,82.83,601.02,608.97,24.62,,,625.08,,,609.47,646.74
2025-02-14 05:00:00,648.91,650.975,636.74,641.7,314107,598.76,22.52,643.8,553.72,14.24,4.24,10.0,14.24,20.48,15.45,609.2,616.79,661.31,0.15,1,15.72,86.36,617.19,617.19,9.7,84.11,604.6,614.3,30.37,,,634.1,,,609.47,646.74
2025-02-18 05:00:00,641.67,641.67,631.028,639.99,355684,601.97,22.45,646.87,557.07,10.64,0.03,10.67,10.67,19.9,15.75,617.02,616.79,661.31,0.15,1,-3.37,-73.5,646.18,646.18,9.25,83.83,611.14,620.39,34.83,15.2,,641.59,,,610.27,646.74
2025-02-19 05:00:00,639.23,647.112,631.5901,644.68,172059,605.28,22.4,650.08,560.48,15.52,7.12,8.4,15.52,21.19,16.02,623.66,616.79,661.31,0.15,1,1.49,56.13,640.63,640.63,6.21,80.85,624.26,630.47,40.39,15.77,,648.99,,,639.99,646.74
2025-02-20 05:00:00,640.61,641.77,626.1101,630.09,249181,607.67,21.69,651.05,564.29,15.66,2.91,18.57,18.57,22.01,16.23,626.11,661.31,626.11,0.05,0,-4.95,-78.58,643.2,643.2,-3.03,-71.75,646.7,643.67,43.13,12.76,,645.51,,,630.09,644.68
