Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,223.12,227.9133,221.86,226.32,5949367.0,,,,,6.05,,,6.05,,,221.86,227.9133,227.9133,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,225.63,227.5175,224.76,227.13,1939303.0,,,,,2.76,1.2,1.56,2.76,,,222.16,227.9133,227.9133,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,227.73,230.01,226.64,229.75,669028.0,,,,,3.37,2.88,0.49,3.37,,,222.45,227.9133,230.01,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,228.72,230.8,228.54,230.23,1021695.0,,,,,2.26,1.05,1.21,2.26,,,223.21,227.9133,230.8,0.15,1,1.55,57.17,227.49,227.49,,,,,,,,,,,226.32,230.23
2024-12-27 05:00:00,228.58,231.73,228.3,229.93,1455878.0,,,,,3.43,1.5,1.93,3.43,3.57,,224.35,227.9133,231.73,0.2,1,0.09,5.14,229.88,229.88,,,,,,,,,,,227.13,230.23
2024-12-30 05:00:00,228.18,229.63,226.78,227.79,1659696.0,,,,,2.85,0.3,3.15,3.15,2.99,,225.83,227.9133,231.73,0.2,1,-1.22,-50.66,230.54,230.54,0.15,8.53,228.67,228.82,,,,,,,227.79,230.23
2024-12-31 05:00:00,228.0,229.5007,226.9462,228.04,1784776.0,,,,,2.55,1.71,0.84,2.55,2.95,,226.78,227.9133,231.73,0.2,1,-0.94,-43.38,229.53,229.53,-0.59,-30.37,230.32,229.73,,,,,,,227.79,230.23
2025-01-02 05:00:00,229.98,230.62,228.33,229.12,3177227.0,,,,,2.29,2.58,0.29,2.58,2.79,,226.95,227.9133,231.73,0.2,1,0.67,33.62,227.65,227.65,-0.41,-22.34,229.84,229.43,,,,,,,227.79,229.93
2025-01-03 05:00:00,229.81,232.37,228.85,231.5,1994523.0,,,,,3.52,3.25,0.27,3.52,3.05,,227.91,227.9133,232.37,0.21,1,1.73,59.97,227.82,227.82,0.45,24.08,228.38,228.83,,,,229.97,,,227.79,231.5
2025-01-06 05:00:00,232.21,232.3,228.91,230.01,2798779.0,,,,,3.39,0.8,2.59,3.39,3.04,,228.85,227.9133,232.37,0.21,1,0.45,23.99,229.76,229.76,0.79,38.31,227.71,228.5,,,,229.8,,,228.04,231.5
2025-01-07 05:00:00,231.0,232.525,229.77,230.54,2752689.0,,,,,2.75,2.52,0.24,2.75,2.96,,228.91,227.9133,232.52,0.21,1,-0.48,-25.64,231.16,231.16,0.59,30.5,228.66,229.25,,,,230.26,,,229.12,231.5
2025-01-08 05:00:00,229.64,232.1,229.01,231.82,2062858.0,,,,,3.09,1.56,1.53,3.09,3.07,,229.01,232.52,229.01,0.05,0,0.9,42.15,229.89,229.89,0.44,23.94,229.71,230.15,,,,231.31,,,230.01,231.82
2025-01-10 05:00:00,228.82,230.005,224.74,225.21,2711357.0,,,,,5.26,1.81,7.08,7.08,3.97,,229.01,232.34,224.74,0.1,0,-2.66,-69.43,231.85,231.85,-1.08,-47.12,231.97,230.89,,,,229.4,,,225.21,231.82
2025-01-13 05:00:00,223.73,227.02,222.5,226.76,2278105.0,,,,,4.52,1.81,2.71,4.52,4.17,,229.01,231.58,222.5,0.15,0,-2.53,-68.43,230.46,230.46,-1.18,-49.79,231.23,230.05,,,,228.0,,,225.21,231.82
2025-01-14 05:00:00,228.83,229.58,227.63,229.38,1823354.0,,,,,1.95,2.82,0.87,2.82,4.05,,229.01,230.22,222.5,0.15,0,2.08,64.38,225.03,225.03,-0.74,-36.43,230.22,229.48,,,,227.83,,,225.21,231.82
2025-01-15 05:00:00,233.0,233.3,230.44,230.86,1892352.0,,,,,2.86,3.92,1.06,3.92,4.29,,222.5,233.3,233.3,0.05,1,2.05,64.0,226.95,226.95,0.23,12.68,228.36,228.58,,,,228.44,,,225.21,230.86
2025-01-16 05:00:00,230.29,235.13,229.57,234.89,2297235.0,,,,,5.56,4.27,1.29,5.56,4.78,3.51,223.04,233.3,235.13,0.1,1,2.75,70.05,228.95,228.95,2.35,66.91,224.73,227.07,,,,231.18,,,226.76,234.89
2025-01-17 05:00:00,239.26,239.26,232.2,234.26,3643952.0,,,,,7.06,4.37,2.69,7.06,4.78,3.61,224.25,233.3,239.26,0.15,1,1.7,59.53,231.64,231.64,2.05,64.01,227.13,229.18,,,,233.01,,,229.38,234.89
2025-01-21 05:00:00,235.59,237.34,234.99,236.73,2630599.0,,,,,2.35,3.08,0.73,3.08,4.49,3.72,226.5,233.3,239.26,0.15,1,0.92,42.61,234.37,234.37,1.81,61.08,229.6,231.41,,,,235.63,,,230.86,236.73
2025-01-22 05:00:00,236.73,237.0,234.16,235.8,2757509.0,,,,,2.84,0.27,2.57,2.84,4.49,3.84,228.41,233.3,239.26,0.15,1,0.77,37.6,234.83,234.83,1.17,49.53,232.16,233.34,,,,237.68,,,234.26,236.73
2025-01-23 05:00:00,246.65,249.67,242.06,248.05,5226434.0,,,,,7.61,13.87,6.26,13.87,6.48,4.12,230.04,233.3,249.67,0.2,1,5.66,79.98,234.53,234.53,2.79,70.26,232.37,235.16,,,,242.85,,,234.26,248.05
2025-01-24 05:00:00,247.48,250.5,245.71,248.78,4048520.0,,,,,4.79,2.45,2.34,4.79,6.33,4.38,233.97,233.3,250.5,0.21,1,6.49,81.24,237.72,237.72,4.04,76.08,232.65,236.69,,,,246.8,,,235.8,248.78
2025-01-27 05:00:00,250.63,256.84,250.0,254.42,4537435.0,,,,,6.84,8.06,1.22,8.06,6.53,4.65,237.44,233.3,256.84,0.21,1,3.18,72.57,247.23,247.23,4.84,78.32,235.08,239.92,,,,251.92,,,235.8,254.42
2025-01-28 05:00:00,254.0,256.28,248.805,249.16,3167242.0,,,,,7.47,1.86,5.61,7.47,7.41,4.99,241.51,233.3,256.84,0.21,1,0.19,10.76,250.6,250.6,3.31,73.18,240.62,243.93,,,,253.14,,,248.05,254.42
2025-01-29 05:00:00,249.7,252.99,249.055,249.55,3026887.0,234.24,8.58,251.4,217.08,3.94,3.83,0.1,3.94,7.63,5.34,244.73,233.3,256.84,0.21,1,-2.43,-67.67,253.48,253.48,0.34,18.68,249.32,249.65,,,,254.0,,,248.78,254.42
2025-01-30 05:00:00,249.38,251.63,247.07,249.92,2490554.0,235.19,8.96,253.11,217.27,4.56,2.08,2.48,4.56,5.76,5.48,247.07,256.84,247.07,0.05,0,0.38,20.81,249.16,249.16,-0.26,-14.52,250.88,250.63,,,,253.64,,,249.16,254.42
2025-01-31 05:00:00,248.67,252.04,247.66,247.79,2987299.0,236.01,9.14,254.29,217.73,4.38,2.12,2.26,4.38,5.68,5.59,247.07,256.35,247.07,0.05,0,-0.88,-41.35,249.97,249.97,-1.25,-51.34,252.67,251.42,,,,251.7,,,247.79,249.92
2025-02-03 05:00:00,242.23,246.69,237.065,243.02,3962281.0,236.54,9.15,254.84,218.24,9.62,1.1,10.72,10.72,6.21,5.76,247.07,255.89,237.06,0.1,0,-3.45,-73.84,250.36,250.36,-1.4,-54.54,250.7,249.29,,,,246.62,,,243.02,249.92
2025-02-04 05:00:00,242.69,245.53,242.34,243.5,2895151.0,237.07,9.15,255.37,218.77,3.19,2.51,0.68,3.19,5.36,5.84,247.07,254.01,237.06,0.1,0,-2.15,-65.01,246.92,246.92,-1.9,-62.24,250.56,248.66,,,,244.2,,,243.02,249.92
