Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,47.28,48.5699,47.22,47.92,20225035.0
2024-12-23 05:00:00,47.54,48.36,47.47,48.32,4600870.0
2024-12-24 05:00:00,48.44,48.83,48.23,48.83,2393788.0
2024-12-26 05:00:00,48.66,49.125,48.33,49.01,3448268.0
2024-12-27 05:00:00,48.74,49.26,48.24,48.49,4957109.0
2024-12-30 05:00:00,48.12,48.585,47.655,48.25,4868438.0
2024-12-31 05:00:00,47.96,48.31,47.62,47.83,4521417.0
2025-01-02 05:00:00,48.18,48.3,47.54,47.86,6227857.0
2025-01-03 05:00:00,48.02,48.89,47.83,48.86,6419138.0
2025-01-06 05:00:00,49.21,49.67,48.65,48.73,7261802.0
2025-01-07 05:00:00,49.31,49.46,48.47,48.7,6014509.0
2025-01-08 05:00:00,48.66,48.69,47.89,48.52,5955541.0
2025-01-10 05:00:00,47.89,48.09,47.05,47.38,8528550.0
2025-01-13 05:00:00,47.54,48.41,47.41,48.39,9164676.0
2025-01-14 05:00:00,48.81,49.345,48.675,49.06,8753167.0
2025-01-15 05:00:00,50.45,51.12,50.24,50.9,13935609.0
2025-01-16 05:00:00,47.89,49.21,47.2,48.03,19042986.0
2025-01-17 05:00:00,48.78,48.78,47.41,48.36,14835670.0
2025-01-21 05:00:00,48.66,49.405,48.3261,49.32,11643942.0
2025-01-22 05:00:00,48.99,49.09,47.94,48.63,9541203.0
2025-01-23 05:00:00,48.74,48.95,48.1499,48.43,8139149.0
2025-01-24 05:00:00,48.17,49.38,48.17,49.07,8259474.0
2025-01-27 05:00:00,49.25,49.72,49.02,49.54,5987579.0
2025-01-28 05:00:00,49.6,49.76,47.96,48.44,12309870.0
2025-01-29 05:00:00,48.35,49.1775,47.55,47.66,15331766.0
2025-01-30 05:00:00,48.2,48.46,47.7,48.0,6683474.0
2025-01-31 05:00:00,48.0,48.35,47.67,47.78,11182692.0
2025-02-03 05:00:00,46.84,47.44,46.55,46.87,10880981.0
2025-02-04 05:00:00,47.15,47.83,46.975,47.45,10381422.0
2025-02-05 05:00:00,47.82,48.195,47.289,47.38,10811065.0
2025-02-06 05:00:00,47.93,48.07,47.39,47.74,9101325.0
2025-02-07 05:00:00,47.81,48.0,46.885,47.23,7907191.0
2025-02-10 05:00:00,47.28,47.32,46.475,46.88,8459759.0
2025-02-11 05:00:00,46.69,47.675,46.4601,47.59,7744914.0
2025-02-12 05:00:00,47.15,47.62,46.985,47.49,6180233.0
2025-02-13 05:00:00,47.47,47.56,46.845,47.39,6352207.0
2025-02-14 05:00:00,47.56,48.05,47.5,47.75,5398893.0
2025-02-18 05:00:00,47.88,47.996,47.56,47.94,5459776.0
2025-02-19 05:00:00,47.48,47.6,46.045,47.12,10999380.0
2025-02-20 05:00:00,47.1,47.24,46.15,46.76,6909131.0
2025-02-21 05:00:00,46.8,46.93,45.7447,45.87,9326990.0
2025-02-24 05:00:00,46.08,46.19,45.415,45.61,8069411.0
2025-02-25 05:00:00,45.99,46.2,45.365,45.91,12635831.0
2025-02-26 05:00:00,46.19,46.54,45.605,45.75,9056100.0
2025-02-27 05:00:00,45.82,46.765,45.82,46.28,6315500.0
2025-02-28 05:00:00,46.45,46.94,46.08,46.9,10100676.0
2025-03-03 05:00:00,47.11,47.37,45.77,46.24,9676018.0
2025-03-04 05:00:00,45.5,45.75,44.18,44.61,10798588.0
2025-03-05 05:00:00,44.58,45.0,43.875,44.67,8956701.0
2025-03-06 05:00:00,44.21,44.82,43.84,44.38,9879813.0
2025-03-07 05:00:00,44.38,44.79,43.58,44.72,10793225.0
2025-03-10 04:00:00,43.8,44.3008,41.975,42.37,18143834.0
2025-03-11 04:00:00,42.4,42.71,41.4,41.56,17587433.0
2025-03-12 04:00:00,42.12,42.21,41.02,41.68,13661421.0
2025-03-13 04:00:00,41.93,41.97,40.81,40.92,9565355.0
2025-03-14 04:00:00,41.32,42.095,41.13,42.02,12740239.0
2025-03-17 04:00:00,41.98,42.5,41.675,42.18,9851496.0
