Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,119.1,119.42,117.285,118.59,7606121.0,,,,,2.14,,,2.14,,,119.42,117.285,117.285,0.05,0,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,119.03,119.37,116.839,118.65,2832576.0,,,,,2.53,0.78,1.75,2.53,,,117.28,119.37,119.37,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,117.99,119.6,117.06,118.84,1170131.0,,,,,2.54,0.95,1.59,2.54,,,116.84,119.37,119.6,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,119.0,119.932,117.6,119.68,1884374.0,,,,,2.33,1.09,1.24,2.33,,,117.06,119.37,119.93,0.15,1,0.51,27.25,118.54,118.54,,,,,,,,,,,118.59,119.68
2024-12-27 05:00:00,119.52,120.91,118.085,119.58,1697798.0,,,,,2.83,1.23,1.6,2.83,2.47,,117.49,119.37,120.91,0.2,1,0.37,20.3,119.0,119.0,,,,,,,,,,,118.65,119.68
2024-12-30 05:00:00,119.82,121.14,118.0,119.59,2890479.0,,,,,3.14,1.56,1.58,3.14,2.67,,118.0,120.91,118.0,0.05,0,-0.05,-2.58,119.66,119.66,0.26,14.68,118.74,119.01,,,,,,,118.84,119.68
2024-12-31 05:00:00,119.85,122.989,119.5,122.59,2689861.0,,,,,3.49,3.4,0.09,3.49,2.87,,118.0,122.99,122.99,0.05,1,1.51,56.4,119.08,119.08,0.74,36.54,118.57,119.32,,,,,,,119.58,122.59
2025-01-02 05:00:00,123.3,125.18,122.36,123.15,2106840.0,,,,,2.82,2.59,0.23,2.82,2.92,,118.25,122.99,125.18,0.1,1,1.78,60.67,120.0,120.0,0.99,44.86,118.93,119.92,,,,,,,119.58,123.15
2025-01-03 05:00:00,123.2,124.45,122.19,124.26,1932505.0,,,,,2.26,1.3,0.96,2.26,2.91,,118.94,122.99,125.18,0.1,1,0.83,39.86,122.5,122.5,1.29,52.26,119.25,120.54,,,,123.69,,,119.59,124.26
2025-01-06 05:00:00,123.97,125.0,121.58,122.12,2187537.0,,,,,3.42,0.74,2.68,3.42,3.03,,119.56,122.99,125.18,0.1,1,-0.52,-27.25,123.69,123.69,0.67,33.94,121.0,121.67,,,,123.71,,,122.12,124.26
2025-01-07 05:00:00,122.57,126.427,122.28,123.99,2776406.0,,,,,4.15,4.31,0.16,4.31,3.26,,120.12,122.99,126.43,0.15,1,-0.14,-7.69,123.59,123.59,0.18,10.04,122.87,123.04,,,,124.26,,,122.12,124.26
2025-01-08 05:00:00,122.2,125.37,121.8,125.19,2259036.0,,,,,3.57,1.38,2.19,3.57,3.28,,121.07,122.99,126.43,0.15,1,1.53,56.92,122.23,122.23,0.38,20.86,122.98,123.36,,,,125.1,,,122.12,125.19
