Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,102.81,103.55,102.06,103.09,1761293.0,,,,,1.49,,,1.49,,,102.06,103.55,103.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,103.16,103.425,102.43,102.71,1190399.0,,,,,0.99,0.33,0.66,0.99,,,102.13,103.55,103.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,102.75,103.69,102.1,103.27,1680125.0,,,,,1.59,0.98,0.61,1.59,,,102.1,103.55,102.1,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,102.86,103.11,101.31,101.75,1441517.0,,,,,1.8,0.16,1.96,1.96,,,102.1,103.69,101.31,0.1,0,-0.48,-25.64,103.06,103.06,,,,,,,,,,,101.75,103.27,
2025-01-27,101.94,103.38,101.76,103.28,2060251.0,,,,,1.62,1.63,0.01,1.63,1.53,,102.1,103.45,101.31,0.1,0,0.01,0.29,102.76,102.76,,,,,,,,,,,101.75,103.28,
2025-01-28,103.32,104.48,102.6,103.45,1265948.0,,,,,1.88,1.2,0.68,1.88,1.61,,101.31,104.48,104.48,0.05,1,0.85,40.36,101.98,101.98,0.15,8.47,102.59,102.74,,,,,,,101.75,103.45,
2025-01-29,103.39,104.0,102.63,102.85,891703.0,,,,,1.37,0.55,0.82,1.37,1.69,,101.47,104.48,104.48,0.05,1,-0.22,-12.13,103.41,103.41,0.09,4.92,102.75,102.83,,,,,,,101.75,103.45,
2025-01-30,103.63,104.4,102.99,103.85,881455.0,,,,,1.41,1.55,0.14,1.55,1.68,,101.62,104.48,104.48,0.05,1,0.2,11.31,103.18,103.18,0.38,20.66,102.28,102.66,,,,,,,102.85,103.85,
2025-01-31,103.67,104.7,103.35,103.39,994935.0,,,,,1.35,0.85,0.5,1.35,1.56,,101.76,104.48,104.7,0.1,1,0.27,15.11,103.09,103.09,0.06,3.55,103.24,103.3,,,,103.53,,,102.85,103.85,
2025-02-03,102.02,102.59,100.49,101.17,1484369.0,,,,,2.1,0.8,2.9,2.9,1.81,,100.49,104.7,100.49,0.05,0,-1.34,-53.27,104.14,104.14,-0.4,-21.9,103.75,103.34,,,,102.65,,,101.17,103.85,
2025-02-04,102.2,103.38,100.8,100.98,2065565.0,,,,,2.58,2.21,0.37,2.58,1.95,,100.49,104.49,100.49,0.05,0,-1.21,-50.31,103.05,103.05,-0.64,-32.7,103.73,103.09,,,,101.96,,,100.98,103.85,
2025-02-05,100.69,102.0,95.52,95.81,2627796.0,,,,,6.48,1.02,5.46,6.48,2.97,,100.49,104.29,95.52,0.1,0,-2.68,-69.54,102.0,102.0,-1.85,-61.59,104.74,102.89,,,,98.92,,,95.81,103.39,
2025-02-06,96.01,98.49,95.63,98.44,2281095.0,,,,,2.86,2.68,0.18,2.86,3.23,,100.49,103.41,95.52,0.1,0,-1.27,-51.78,99.68,99.68,-1.53,-56.76,103.01,101.48,,,,97.86,,,95.81,101.17,
2025-02-07,98.33,99.23,96.69,98.81,2182954.0,,,,,2.54,0.79,1.75,2.54,3.47,,100.49,102.62,95.52,0.1,0,1.5,56.31,96.19,96.19,-0.73,-35.98,100.49,99.77,,,,97.4,,,95.81,100.98,
2025-02-10,99.26,100.38,98.49,99.78,1461479.0,,,,,1.89,1.57,0.32,1.89,3.27,,100.49,101.91,95.52,0.1,0,0.67,33.82,98.34,98.34,0.06,3.43,98.64,98.7,,,,97.58,,,95.81,99.78,
2025-02-11,99.6,100.12,98.28,99.81,938484.0,,,,,1.84,0.34,1.5,1.84,3.12,,100.49,101.27,95.52,0.1,0,0.5,26.57,98.97,98.97,0.93,43.05,96.66,97.6,,,,98.28,,,98.44,99.81,
2025-02-12,98.81,100.51,98.5,100.06,1205978.0,,,,,2.01,0.7,1.31,2.01,2.23,2.32,100.49,100.7,95.52,0.1,0,0.14,7.97,99.74,99.74,0.42,22.98,98.53,98.96,,,,99.3,,,98.81,100.06,
2025-02-13,100.27,100.55,98.55,99.75,1576387.0,,,,,2.0,0.49,1.51,2.0,2.06,2.36,95.52,100.55,100.55,0.05,1,-0.03,-1.72,99.9,99.9,0.22,12.19,99.21,99.43,,,,99.92,,,99.75,100.06,
2025-02-14,99.99,99.99,97.98,97.99,974522.0,,,,,2.01,0.24,1.77,2.01,1.95,2.38,95.77,100.55,100.55,0.05,1,-1.04,-45.99,100.3,100.3,-0.36,-20.0,100.21,99.84,,,,99.87,,,97.99,100.06,
2025-02-18,97.9,98.38,96.99,97.9,2388254.0,,,,,1.39,0.39,1.0,1.39,1.85,2.4,96.01,100.55,100.55,0.05,1,-0.92,-42.77,99.47,99.47,-0.59,-30.5,100.28,99.69,,,,98.75,,,97.9,100.06,
2025-02-19,97.67,98.12,96.82,97.68,1195587.0,,,,,1.3,0.22,1.08,1.3,1.74,2.4,96.24,100.55,100.55,0.05,1,-0.16,-8.81,98.01,98.01,-0.66,-33.46,100.0,99.34,,,,98.01,,,97.68,99.75,
2025-02-20,97.41,97.92,96.65,97.72,1114772.0,,,,,1.27,0.24,1.03,1.27,1.59,2.4,96.46,100.55,100.55,0.05,1,-0.09,-5.14,97.86,97.86,-0.44,-23.61,99.08,98.64,,,,97.45,,,97.68,97.99,
2025-02-21,97.33,98.33,96.6,98.15,2816519.0,,,,,1.73,0.61,1.12,1.73,1.54,2.38,96.6,100.55,96.6,0.05,0,0.23,13.22,97.62,97.62,0.01,0.8,97.86,97.87,,,,97.4,,,97.68,98.15,
2025-02-24,98.6,100.28,97.9433,100.07,1592854.0,,,,,2.34,2.13,0.21,2.34,1.61,2.36,96.6,100.35,96.6,0.05,0,1.17,49.6,97.47,97.47,0.48,25.69,97.34,97.82,,,,98.29,,,97.68,100.07,
2025-02-25,100.62,102.25,99.4001,100.65,1990659.0,100.5,2.31,105.12,95.88,2.85,2.18,0.67,2.85,1.9,2.27,96.6,102.25,102.25,0.05,1,1.25,51.34,98.37,98.37,0.83,39.66,97.2,98.02,,,,99.47,,,97.72,100.65,
2025-02-26,101.15,101.46,99.39,99.72,1237684.0,100.36,2.25,104.86,95.86,2.07,0.81,1.26,2.07,2.05,2.18,96.88,102.25,102.25,0.05,1,-0.18,-9.93,100.32,100.32,0.65,33.02,97.96,98.61,,,,100.13,,,98.15,100.65,
2025-02-27,99.39,100.75,98.99,99.16,847770.0,100.22,2.21,104.64,95.8,1.76,1.03,0.73,1.76,2.15,2.08,97.15,102.25,102.25,0.05,1,-0.75,-36.69,100.59,100.59,0.17,9.48,99.22,99.38,,,,100.12,,,99.16,100.65,
2025-02-28,99.55,100.48,98.95,99.76,1947750.0,100.08,2.12,104.32,95.84,1.53,1.32,0.21,1.53,2.11,1.99,97.4,102.25,102.25,0.05,1,0.02,1.15,99.53,99.53,-0.21,-11.91,100.29,100.08,,,,100.24,,,99.16,100.65,
2025-03-03,99.81,101.435,98.98,99.87,1009586.0,100.0,2.09,104.18,95.82,2.45,1.67,0.78,2.45,2.13,1.92,97.64,102.25,102.25,0.05,1,0.35,19.54,99.24,99.24,-0.15,-8.64,100.14,99.98,,,,100.2,,,99.16,99.87,
2025-03-04,99.45,100.76,98.7527,98.88,1281523.0,99.83,1.98,103.79,95.87,2.01,0.89,1.12,2.01,1.96,1.9,97.87,102.25,102.25,0.05,1,-0.44,-23.75,99.94,99.94,-0.1,-5.54,99.67,99.58,,,,99.57,,,98.88,99.87,
2025-03-05,98.0,99.61,97.6417,98.62,1427133.0,99.63,1.85,103.33,95.93,1.97,0.73,1.24,1.97,1.94,1.89,97.64,102.25,97.64,0.05,0,-0.62,-32.01,99.75,99.75,-0.2,-11.09,99.65,99.45,,,,98.84,,,98.62,99.87,
2025-03-06,98.23,98.56,97.15,97.95,1175122.0,99.44,1.75,102.94,95.94,1.41,0.06,1.47,1.47,1.89,1.88,97.64,102.02,97.15,0.1,0,-0.46,-24.94,98.95,98.95,-0.49,-25.97,99.99,99.5,,,,98.28,,,97.95,99.87,
2025-03-07,97.58,100.27,97.3,100.12,1444817.0,99.29,1.5,102.29,96.29,2.97,2.32,0.65,2.97,2.17,1.91,97.64,101.53,97.15,0.1,0,0.75,36.87,98.15,98.15,-0.04,-2.46,99.17,99.13,,,,98.94,,,97.95,100.12,
2025-03-10,99.76,102.44,99.0101,100.33,1437409.0,99.17,1.25,101.67,96.67,3.43,2.32,1.11,3.43,2.37,1.95,97.15,102.44,102.44,0.05,1,1.19,49.96,98.28,98.28,0.44,23.75,98.3,98.74,,,,99.5,,,97.95,100.33,
2025-03-11,100.59,100.59,96.92,96.99,2197353.0,99.0,1.26,101.52,96.48,3.67,0.26,3.41,3.67,2.7,2.04,96.92,102.44,96.92,0.05,0,-1.57,-57.42,100.71,100.71,-0.09,-5.03,98.98,98.89,-1.31,,,98.48,,,96.99,100.33,
2025-03-12,97.26,97.77,95.36,95.43,1373937.0,98.78,1.38,101.54,96.02,2.41,0.78,1.63,2.41,2.79,2.14,96.92,102.16,95.36,0.1,0,-2.45,-67.8,100.03,100.03,-0.82,-39.25,99.8,98.98,-1.73,,,97.14,,,95.43,100.33,
2025-03-13,94.98,95.8699,94.35,95.73,1368083.0,98.77,1.38,101.53,96.01,1.52,0.44,1.08,1.52,2.8,2.23,96.92,101.48,94.35,0.15,0,-0.63,-32.21,96.68,96.68,-1.37,-53.83,100.46,99.09,-1.97,,,96.31,,,95.43,100.33,
2025-03-14,96.78,98.32,96.1136,97.95,2056804.0,98.76,1.39,101.54,95.98,2.21,2.59,0.38,2.59,2.72,2.29,96.92,100.41,94.35,0.15,0,1.26,51.56,95.11,95.11,-0.6,-31.05,98.49,97.89,-2.25,-0.94,,96.51,,,95.43,97.95,
2025-03-17,97.68,99.14,97.41,98.45,1189313.0,98.74,1.39,101.52,95.96,1.73,1.19,0.54,1.73,2.38,2.32,96.92,99.5,94.35,0.15,0,1.36,53.67,96.02,96.02,0.54,28.55,95.82,96.37,-2.53,-0.8,,96.92,,,95.43,98.45,
2025-03-18,98.18,98.52,97.33,98.36,1315774.0,98.68,1.38,101.44,95.92,1.19,0.07,1.12,1.19,1.89,2.3,96.92,99.14,94.35,0.15,0,0.2,11.59,98.05,98.05,0.86,40.63,95.47,96.33,-2.12,-0.15,,97.15,,,95.73,98.45,
