Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,274.35,279.61,273.235,276.86,1713918.0,,,,,6.38,,,6.38,,,273.235,279.61,279.61,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,277.0,277.19,274.17,276.71,501179.0,,,,,3.02,0.33,2.69,3.02,,,273.55,279.61,279.61,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,276.18,279.02,275.05,278.55,249801.0,,,,,3.97,2.31,1.66,3.97,,,273.85,279.61,279.61,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,277.26,279.4639,276.075,278.38,319697.0,,,,,3.39,0.91,2.48,3.39,,,274.14,279.61,279.61,0.05,1,0.83,39.86,277.04,277.04,,,,,,,,,,,276.71,278.55
2024-12-27 05:00:00,276.54,278.8,275.22,277.3,480139.0,,,,,3.58,0.42,3.16,3.58,4.07,,274.41,279.61,279.61,0.05,1,-0.62,-32.01,278.7,278.7,,,,,,,,,,,276.71,278.55
2024-12-30 05:00:00,276.8,278.41,273.3,275.74,700210.0,,,,,5.11,1.11,4.0,5.11,3.81,,273.3,279.61,273.3,0.05,0,-1.32,-52.85,278.46,278.46,-0.32,-17.69,277.97,277.65,,,,,,,275.74,278.55
2024-12-31 05:00:00,276.45,277.79,273.62,275.43,576009.0,,,,,4.17,2.05,2.12,4.17,4.04,,273.3,279.29,273.3,0.05,0,-0.93,-43.08,277.09,277.09,-0.89,-41.61,278.86,277.97,,,,,,,275.43,278.38
2025-01-02 05:00:00,275.98,277.83,273.39,273.39,1013570.0,,,,,4.44,2.4,2.04,4.44,4.14,,273.3,278.99,273.3,0.05,0,-1.18,-49.6,276.03,276.03,-1.19,-49.84,278.42,277.23,,,,,,,273.39,277.3
2025-01-03 05:00:00,273.5,277.77,272.8608,276.28,791054.0,,,,,4.91,4.38,0.53,4.91,4.44,,273.3,278.71,272.86,0.1,0,0.42,23.03,274.61,274.61,-0.44,-23.7,276.51,276.07,,,,274.84,,,273.39,276.28
2025-01-06 05:00:00,274.01,275.49,272.14,273.0,860715.0,,,,,3.35,0.79,4.14,4.14,4.55,,273.3,278.12,272.14,0.15,0,-0.2,-11.03,274.42,274.42,-0.46,-24.84,275.69,275.23,,,,273.45,,,273.0,276.28
