Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,395.72,401.31,386.49,397.27,6203131.0,,,,,14.82,,,14.82,,,386.49,401.31,401.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,391.87,405.93,390.915,405.27,2204467.0,,,,,15.01,8.66,6.35,15.01,,,387.23,401.31,405.93,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,401.53,410.68,401.27,408.18,1468555.0,,,,,9.41,5.41,4.0,9.41,,,389.1,401.31,410.68,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,407.2,411.29,406.02,410.65,1191539.0,,,,,5.27,3.11,2.16,5.27,,,392.34,401.31,411.29,0.2,1,2.69,69.61,405.34,405.34,,,,,,,,,,,397.27,410.65
2024-12-27 05:00:00,405.26,410.98,404.49,408.76,1373494.0,,,,,6.49,0.33,6.16,6.49,10.2,,396.13,401.31,411.29,0.2,1,0.29,16.17,408.91,408.91,,,,,,,,,,,405.27,410.65
2024-12-30 05:00:00,404.54,407.35,399.06,399.35,1455983.0,,,,,8.29,1.41,9.7,9.7,9.18,,399.06,411.29,399.06,0.05,0,-5.65,-79.96,411.9,411.9,-1.13,-48.39,408.69,407.57,,,,,,,399.35,410.65
2024-12-31 05:00:00,399.63,404.99,399.63,402.7,1048120.0,,,,,5.36,5.64,0.28,5.64,7.3,,399.06,410.68,399.06,0.05,0,-3.03,-71.74,406.63,406.63,-2.23,-65.81,410.38,408.15,,,,,,,399.35,410.65
2025-01-02 05:00:00,403.14,409.5975,402.72,405.76,1277867.0,,,,,6.88,6.9,0.02,6.9,6.8,,399.06,410.1,399.06,0.05,0,3.2,72.67,399.4,399.4,-1.58,-57.74,408.61,407.03,,,,,,,399.35,408.76
2025-01-03 05:00:00,407.57,411.65,406.4,407.11,1087154.0,,,,,5.25,5.89,0.64,5.89,6.92,,399.06,411.65,411.65,0.05,1,2.2,65.61,402.98,402.98,0.31,17.28,404.11,404.42,,,,404.62,,,399.35,407.11
2025-01-06 05:00:00,401.31,404.74,399.0,402.49,2176538.0,,,,,5.74,2.37,8.11,8.11,7.25,,399.0,411.65,399.0,0.05,0,-1.63,-58.55,406.75,406.75,1.07,46.91,401.34,402.41,,,,402.99,,,402.49,407.11
