Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,132.45,141.63,132.0,139.95,8735096.0,,,,,9.63,,,9.63,,,132.0,141.63,141.63,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,140.0,141.365,135.62,140.79,2871442.0,,,,,5.75,1.42,4.33,5.75,,,132.48,141.63,141.63,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,142.03,144.16,141.02,143.36,1642685.0,,,,,3.14,3.37,0.23,3.37,,,132.94,141.63,144.16,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,142.9,144.88,141.4461,144.11,1929165.0,,,,,3.43,1.52,1.91,3.43,,,134.06,141.63,144.88,0.15,1,1.66,58.93,141.09,141.09,,,,,,,,,,,139.95,144.11
2024-12-27 05:00:00,143.0,143.0,136.74,139.68,3214672.0,,,,,6.26,1.11,7.37,7.37,5.91,,135.68,141.63,144.88,0.15,1,-1.84,-61.48,144.22,144.22,,,,,,,,,,,139.68,144.11
2024-12-30 05:00:00,136.05,141.1763,134.86,140.09,4930578.0,,,,,6.32,1.5,4.82,6.32,5.25,,134.86,144.88,134.86,0.05,0,-2.01,-63.55,143.3,143.3,-0.51,-26.93,142.62,142.11,,,,,,,139.68,144.11
2024-12-31 05:00:00,139.91,140.439,137.02,137.87,2761579.0,,,,,3.42,0.35,3.07,3.42,4.78,,134.86,144.38,134.86,0.05,0,-0.91,-42.15,140.12,140.12,-1.5,-56.31,144.02,142.52,,,,,,,137.87,144.11
2025-01-02 05:00:00,139.63,149.89,138.26,149.66,6169614.0,,,,,11.63,12.02,0.39,12.02,6.51,,134.86,149.89,149.89,0.05,1,4.78,78.2,137.75,137.75,0.93,42.89,140.42,141.35,,,,,,,137.87,149.66
2025-01-03 05:00:00,154.36,162.6599,151.66,162.36,8762610.0,,,,,11.0,13.0,2.0,13.0,8.43,,135.61,149.89,162.66,0.1,1,12.24,85.33,137.72,137.72,5.49,79.68,134.95,140.44,,,,151.58,,,137.87,162.36
2025-01-06 05:00:00,165.16,166.0,159.5,163.95,7406885.0,,,,,6.5,3.64,2.86,6.5,8.25,,138.32,149.89,166.0,0.15,1,7.14,82.03,151.51,151.51,7.22,82.12,136.34,143.56,,,,158.6,,,137.87,163.95
2025-01-07 05:00:00,164.61,165.21,155.8,163.37,5258711.0,,,,,9.41,1.26,8.15,9.41,8.87,,142.47,149.89,166.0,0.15,1,0.5,26.79,162.72,162.72,6.53,81.29,142.38,148.91,,,,164.08,,,149.66,163.95
2025-01-08 05:00:00,162.97,163.0,152.61,160.81,7198722.0,,,,,10.39,0.37,10.76,10.76,10.34,,146.0,149.89,166.0,0.15,1,-1.57,-57.51,164.28,164.28,2.33,66.78,155.37,157.7,,,,167.03,,,160.81,163.95
2025-01-10 05:00:00,161.5,169.19,154.4,166.73,9743449.0,,,,,14.79,8.38,6.41,14.79,10.89,,149.0,149.89,169.19,0.2,1,1.68,59.24,161.96,161.96,0.56,29.25,162.32,162.88,,,,169.93,,,160.81,166.73
