Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,59.21,61.45,58.99,60.24,12732690.0,,,,,2.46,,,2.46,,,58.99,61.45,61.45,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,60.01,61.61,60.01,61.56,4111354.0,,,,,1.6,1.37,0.23,1.6,,,59.11,61.45,61.61,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,61.36,61.75,61.12,61.7,1512128.0,,,,,0.63,0.19,0.44,0.63,,,59.36,61.45,61.75,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,61.51,62.2,61.47,61.71,2146125.0,,,,,0.73,0.5,0.23,0.73,,,59.72,61.45,62.2,0.2,1,0.07,4.29,61.58,61.58,,,,,,,,,,,60.24,61.71
2024-12-27 05:00:00,61.37,61.61,60.4,60.7,4161957.0,,,,,1.21,0.1,1.31,1.31,1.35,,60.22,61.45,62.2,0.2,1,-0.5,-26.57,61.87,61.87,,,,,,,,,,,60.7,61.71
2024-12-30 05:00:00,59.66,60.135,58.82,59.62,4410166.0,,,,,1.31,0.57,1.88,1.88,1.23,,58.82,62.2,58.82,0.05,0,-1.05,-46.26,61.72,61.72,-0.49,-26.01,62.03,61.55,,,,,,,59.62,61.71
2024-12-31 05:00:00,59.67,60.46,59.37,59.63,3935195.0,,,,,1.09,0.84,0.25,1.09,1.13,,58.82,62.03,58.82,0.05,0,-0.53,-28.15,60.52,60.52,-0.62,-31.92,61.92,61.29,,,,,,,59.62,61.71
2025-01-02 05:00:00,59.86,62.85,59.86,61.87,5272899.0,,,,,2.99,3.22,0.23,3.22,1.65,,58.82,62.85,62.85,0.05,1,1.12,48.37,59.25,59.25,-0.08,-4.29,60.86,60.78,,,,,,,59.62,61.87
2025-01-03 05:00:00,62.05,64.12,62.05,64.07,4145498.0,,,,,2.07,2.25,0.18,2.25,1.95,,59.02,62.85,64.12,0.1,1,2.22,65.75,59.64,59.64,0.9,41.96,59.38,60.28,,,,61.82,,,59.62,64.07
2025-01-06 05:00:00,65.3,67.465,65.265,65.65,6633215.0,,,,,2.2,3.4,1.2,3.4,2.37,,59.53,62.85,67.46,0.15,1,1.89,62.12,61.97,61.97,1.65,58.78,58.87,60.52,,,,63.66,,,59.63,65.65
2025-01-07 05:00:00,65.86,66.63,64.79,64.87,4522113.0,,,,,1.84,0.98,0.86,1.84,2.36,,60.72,62.85,67.46,0.15,1,0.4,21.8,64.46,64.46,1.43,54.96,60.37,61.79,,,,64.87,,,61.87,65.65
2025-01-08 05:00:00,64.1,64.85,63.39,64.06,4616581.0,,,,,1.46,0.02,1.48,1.48,2.44,,61.73,62.85,67.46,0.15,1,-0.79,-38.48,65.65,65.65,0.52,27.38,63.07,63.59,,,,65.48,,,64.06,65.65
2025-01-10 05:00:00,63.11,63.78,61.285,62.82,4653281.0,,,,,2.5,0.28,2.78,2.78,2.35,,61.28,67.46,61.28,0.05,0,-1.03,-45.71,64.94,64.94,-0.41,-22.24,65.11,64.7,,,,65.12,,,62.82,65.65
2025-01-13 05:00:00,61.76,62.92,61.36,62.02,3951849.0,,,,,1.56,0.1,1.46,1.56,2.21,,61.28,67.15,61.28,0.05,0,-1.02,-45.57,63.99,63.99,-0.93,-42.95,65.75,64.82,,,,63.98,,,62.02,64.87
2025-01-14 05:00:00,62.47,63.2,61.91,62.74,4478381.0,,,,,1.29,1.18,0.11,1.29,1.79,,61.28,66.86,61.28,0.05,0,-0.04,-2.29,62.57,62.57,-0.63,-32.21,64.56,63.93,,,,62.95,,,62.02,64.06
2025-01-15 05:00:00,64.06,65.76,64.0,64.63,5007167.0,,,,,1.76,3.02,1.26,3.02,2.03,,61.28,66.58,61.28,0.05,0,1.3,52.54,61.82,61.82,0.11,6.05,63.04,63.15,,,,63.01,,,62.02,64.63
2025-01-16 05:00:00,64.34,65.06,63.41,64.25,5310279.0,,,,,1.65,0.43,1.22,1.65,2.06,1.92,61.28,66.32,61.28,0.05,0,0.75,37.05,63.12,63.12,0.55,28.68,62.2,62.74,,,,63.22,,,62.02,64.63
2025-01-17 05:00:00,65.335,66.34,63.8,65.04,7160505.0,,,,,2.54,2.09,0.45,2.54,2.01,1.97,61.28,66.34,66.34,0.05,1,0.21,11.59,64.43,64.43,0.75,37.05,62.23,62.98,,,,64.15,,,62.74,65.04
2025-01-21 05:00:00,65.63,68.185,65.29,67.43,7045600.0,,,,,2.89,3.14,0.25,3.14,2.33,2.05,61.53,66.34,68.18,0.1,1,1.59,57.83,63.98,63.98,0.98,44.39,62.86,63.84,,,,65.93,,,64.25,67.43
