Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,124.58,126.6,123.25,124.64,11368571.0,,,,,3.35,,,3.35,,,123.25,126.6,126.6,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,124.77,126.02,124.02,125.62,1871941.0,,,,,2.0,1.38,0.62,2.0,,,123.42,126.6,126.6,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,125.02,126.89,125.02,126.59,1074764.0,,,,,1.87,1.27,0.6,1.87,,,123.58,126.6,126.89,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,125.6,126.87,125.6,126.39,1079007.0,,,,,1.27,0.28,0.99,1.27,,,123.91,126.6,126.89,0.1,1,0.38,21.06,125.82,125.82,,,,,,,,,,,124.64,126.59
2024-12-27 05:00:00,125.6,126.43,124.71,125.0,2612197.0,,,,,1.72,0.04,1.68,1.72,2.04,,124.21,126.6,126.89,0.1,1,-0.79,-38.48,126.79,126.79,,,,,,,,,,,125.0,126.59
2024-12-30 05:00:00,124.35,125.22,123.48,124.92,1255027.0,,,,,1.74,0.22,1.52,1.74,1.72,,123.48,126.89,123.48,0.05,0,-0.73,-36.32,126.17,126.17,-0.3,-16.65,126.3,126.0,,,,,,,124.92,126.59
2024-12-31 05:00:00,125.94,126.27,124.75,126.03,2645399.0,,,,,1.52,1.35,0.17,1.52,1.62,,123.48,126.72,123.48,0.05,0,0.52,27.25,124.8,124.8,-0.26,-14.52,126.3,126.04,,,,,,,124.92,126.39
2025-01-02 05:00:00,125.64,126.11,123.57,124.72,1716590.0,,,,,2.54,0.08,2.46,2.54,1.76,,123.48,126.56,123.48,0.05,0,-0.1,-5.71,125.32,125.32,-0.23,-13.01,125.87,125.64,,,,,,,124.72,126.03
2025-01-03 05:00:00,124.92,126.175,124.46,125.82,2433667.0,,,,,1.72,1.45,0.26,1.72,1.85,,123.48,126.41,123.48,0.05,0,-0.1,-5.99,125.63,125.63,0.14,8.19,125.01,125.15,,,,125.26,,,124.72,126.03
2025-01-06 05:00:00,125.78,126.32,123.77,124.05,2136804.0,,,,,2.55,0.5,2.05,2.55,2.01,,123.48,126.32,126.32,0.05,1,-0.33,-18.52,125.2,125.2,-0.2,-11.03,125.5,125.3,,,,124.59,,,124.05,126.03
2025-01-07 05:00:00,124.73,125.58,123.66,124.24,2606347.0,,,,,1.92,1.53,0.39,1.92,2.05,,123.62,126.32,126.32,0.05,1,-0.79,-38.31,125.49,125.49,-0.43,-23.03,125.82,125.4,,,,124.38,,,124.05,125.82
2025-01-08 05:00:00,124.87,127.18,124.01,126.48,2353144.0,,,,,3.17,2.94,0.23,3.17,2.38,,123.66,126.32,127.18,0.1,1,1.22,50.54,123.71,123.71,0.19,10.98,124.67,124.87,,,,125.25,,,124.05,126.48
2025-01-10 05:00:00,125.13,126.27,123.11,124.78,3116210.0,,,,,3.16,0.21,3.37,3.37,2.55,,123.11,127.18,123.11,0.05,0,0.27,15.11,124.9,124.9,0.03,2.0,125.0,125.04,,,,125.05,,,124.05,126.48
2025-01-13 05:00:00,124.5,125.91,124.19,125.72,2392128.0,,,,,1.72,1.13,0.59,1.72,2.55,,123.11,126.98,123.11,0.05,0,-0.38,-20.81,126.04,126.04,0.39,21.21,124.28,124.67,,,,125.24,,,124.24,126.48
2025-01-14 05:00:00,125.74,127.0,125.7,126.87,1844383.0,,,,,1.3,1.28,0.02,1.3,2.3,,123.11,127.0,127.0,0.05,1,1.05,46.26,124.74,124.74,0.45,24.23,124.72,125.17,,,,126.13,,,124.78,126.87
2025-01-15 05:00:00,128.93,129.43,125.8118,126.59,2525410.0,,,,,3.62,2.56,1.06,3.62,2.64,,123.3,127.0,129.43,0.1,1,0.43,23.51,125.96,125.96,0.23,13.01,125.63,125.86,,,,126.49,,,124.78,126.87
2025-01-16 05:00:00,126.68,128.81,126.5,128.73,1732919.0,,,,,2.31,2.22,0.09,2.31,2.46,2.15,123.91,127.0,129.43,0.1,1,0.93,42.92,126.47,126.47,0.88,41.25,124.78,125.66,,,,127.87,,,125.72,128.73
2025-01-17 05:00:00,129.11,129.68,128.35,129.34,2727175.0,,,,,1.33,0.95,0.38,1.33,2.06,2.15,124.46,127.0,129.68,0.15,1,1.38,53.97,126.84,126.84,0.91,42.3,125.63,126.54,,,,128.82,,,126.59,129.34
2025-01-21 05:00:00,129.62,134.25,129.62,133.67,3558330.0,,,,,4.63,4.91,0.28,4.91,2.69,2.22,125.24,127.0,134.25,0.2,1,2.47,67.96,128.11,128.11,1.63,58.55,125.77,127.41,,,,131.18,,,126.59,133.67
2025-01-22 05:00:00,133.59,133.59,131.08,131.15,3666104.0,,,,,2.51,0.08,2.59,2.59,2.95,2.33,127.04,127.0,134.25,0.2,1,0.9,42.15,130.48,130.48,1.41,54.58,127.08,128.49,,,,132.27,,,128.73,133.67
2025-01-23 05:00:00,131.1,132.39,130.71,132.24,3374658.0,,,,,1.68,1.24,0.44,1.68,2.56,2.39,128.48,127.0,134.25,0.2,1,-0.71,-35.56,133.07,133.07,0.88,41.44,129.26,130.14,,,,132.99,,,129.34,133.67
2025-01-24 05:00:00,132.0,137.58,131.14,136.75,3504471.0,,,,,6.44,5.34,1.1,6.44,3.39,2.51,129.63,127.0,137.58,0.21,1,2.8,70.35,130.58,130.58,1.34,53.25,129.95,131.29,,,,135.21,,,131.15,136.75
2025-01-27 05:00:00,136.58,139.29,136.295,138.45,3033942.0,,,,,3.0,2.54,0.46,3.0,3.72,2.64,131.14,127.0,139.29,0.21,1,3.1,72.15,132.71,132.71,1.52,56.59,131.42,132.94,,,,137.5,,,131.15,138.45
2025-01-28 05:00:00,138.36,139.9,136.49,137.15,1989349.0,,,,,3.41,1.45,1.96,3.41,3.42,2.74,132.85,127.0,139.9,0.21,1,0.2,11.31,137.25,137.25,1.82,61.23,131.51,133.33,,,,138.22,,,132.24,138.45
2025-01-29 05:00:00,137.15,138.12,134.3,134.93,1781808.0,128.43,4.5,137.43,119.43,3.82,0.97,2.85,3.82,3.67,2.84,134.3,139.9,134.3,0.05,0,-1.76,-60.4,138.6,138.6,0.58,30.03,134.75,135.33,,,,137.67,,,134.93,138.45
2025-01-30 05:00:00,136.69,138.32,136.11,137.18,1906764.0,128.94,4.75,138.44,119.44,2.21,3.39,1.18,3.39,4.01,2.96,134.3,139.62,134.3,0.05,0,0.02,0.86,136.4,136.4,-0.27,-14.9,137.42,137.16,,,,137.69,,,134.93,138.45
2025-01-31 05:00:00,137.1,137.88,136.03,136.48,1579272.0,129.37,4.93,139.23,119.51,1.85,0.7,1.15,1.85,3.09,3.0,134.3,139.35,134.3,0.05,0,0.77,37.78,135.42,135.42,-0.39,-21.36,137.62,137.23,,,,137.84,,,134.93,137.18
2025-02-03 05:00:00,136.0,140.59,135.75,140.38,3399529.0,129.92,5.36,140.64,119.2,4.84,4.11,0.73,4.84,3.46,3.09,134.3,140.59,140.59,0.05,1,1.6,57.99,136.41,136.41,0.8,38.69,135.62,136.42,,,,138.76,,,134.93,140.38
2025-02-04 05:00:00,139.575,140.22,137.79,138.86,2581984.0,130.42,5.59,141.6,119.24,2.43,0.16,2.59,2.59,3.3,3.14,134.61,140.59,140.59,0.05,1,1.19,49.96,137.38,137.38,1.11,47.88,135.35,136.46,,,,138.55,,,136.48,140.38
2025-02-05 05:00:00,140.32,142.85,139.38,142.19,2057258.0,131.11,5.94,142.99,119.23,3.47,3.99,0.52,3.99,3.33,3.2,134.91,140.59,142.85,0.1,1,0.9,42.15,139.57,139.57,1.24,51.12,136.54,137.78,,,,140.3,,,136.48,142.19
2025-02-06 05:00:00,142.75,143.155,141.69,142.39,3072666.0,131.81,6.2,144.21,119.41,1.47,0.97,0.5,1.47,2.95,3.27,135.7,140.59,143.16,0.15,1,1.76,60.47,139.38,139.38,1.36,53.73,137.33,138.7,,,,142.11,,,138.86,142.39
2025-02-07 05:00:00,142.49,143.39,142.31,142.59,2065611.0,132.47,6.44,145.35,119.59,1.08,1.0,0.08,1.08,2.79,3.28,136.82,140.59,143.39,0.2,1,0.2,11.31,142.19,142.19,0.79,38.48,139.69,140.49,,,,143.34,,,138.86,142.59
2025-02-10 05:00:00,142.19,143.8419,140.8023,143.11,2062241.0,133.21,6.57,146.35,120.07,3.04,1.25,1.79,3.04,2.43,3.24,138.13,140.59,143.84,0.21,1,0.36,19.8,142.34,142.34,0.89,41.67,140.05,140.94,,,,143.79,,,142.19,143.11
2025-02-11 05:00:00,142.32,143.58,141.59,143.4,2556093.0,133.91,6.68,147.27,120.55,1.99,0.47,1.52,1.99,2.31,3.22,139.33,140.59,143.84,0.21,1,0.41,22.05,142.63,142.63,0.31,17.43,142.11,142.42,,,,144.24,,,142.39,143.4
2025-02-12 05:00:00,144.55,148.5,142.0,146.5,3815258.0,134.81,6.81,148.43,121.19,6.5,5.1,1.4,6.5,2.82,3.18,140.28,140.59,148.5,0.21,1,1.69,59.46,142.64,142.64,0.9,42.08,141.79,142.7,11.49,,,145.28,,,142.59,146.5
2025-02-13 05:00:00,146.85,151.96,146.6,151.44,4201624.0,135.89,7.21,150.31,121.47,5.36,5.46,0.1,5.46,3.61,3.17,142.0,140.59,151.96,0.21,1,4.02,76.03,143.09,143.09,2.11,64.63,141.19,143.3,12.53,,,148.52,,,143.11,151.44
2025-02-14 05:00:00,151.5,151.785,149.06,149.97,1878588.0,136.83,7.46,151.75,121.91,2.72,0.34,2.38,2.72,3.94,3.21,144.09,140.59,151.96,0.21,1,1.74,60.04,147.57,147.57,2.18,65.32,142.53,144.71,13.31,,,149.85,,,143.4,151.44
2025-02-18 05:00:00,149.96,152.81,149.9,150.8,3117085.0,137.88,7.52,152.92,122.84,2.91,2.84,0.07,2.91,3.92,3.23,145.74,140.59,152.81,0.21,1,-0.32,-17.74,151.06,151.06,1.83,61.31,144.77,146.6,14.16,2.67,,151.44,,,146.5,151.44
2025-02-19 05:00:00,150.72,150.7808,149.28,149.71,2345178.0,138.83,7.44,153.71,123.95,1.5,0.02,1.52,1.52,3.82,3.21,147.22,140.59,152.81,0.21,1,-0.13,-7.41,150.29,150.29,0.58,30.03,148.53,149.11,14.75,2.22,,151.9,,,149.71,151.44
2025-02-20 05:00:00,149.13,151.07,148.79,150.32,3321765.0,139.77,7.34,154.45,125.09,2.28,1.36,0.92,2.28,2.98,3.2,148.39,140.59,152.81,0.21,1,-0.24,-13.5,150.52,150.52,-0.25,-14.04,150.95,150.7,14.79,1.48,,152.05,,,149.71,150.8
2025-02-21 05:00:00,150.33,151.078,147.29,148.58,3988479.0,140.65,7.01,154.67,126.63,3.79,0.76,3.03,3.79,2.64,3.14,147.29,152.81,147.29,0.05,0,-0.56,-29.47,150.1,150.1,-0.33,-18.06,150.53,150.2,13.54,-0.62,,150.96,,,148.58,150.8
2025-02-24 05:00:00,148.92,151.77,148.83,150.64,2320877.0,141.53,6.82,155.17,127.89,2.94,3.19,0.25,3.19,2.74,3.1,147.29,152.53,147.29,0.05,0,0.16,9.09,149.69,149.69,-0.15,-8.25,150.3,150.16,12.98,-1.77,,150.35,,,148.58,150.64
