Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,93.01,93.7486,91.63,92.24,49350586.0,,,,,2.12,,,2.12,,,93.7486,91.63,91.63,0.05,0,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,91.5,91.5,88.91,90.35,26205379.0,,,,,2.59,0.74,3.33,3.33,,,93.7486,91.63,88.91,0.1,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,90.37,92.68,90.35,92.68,8992427.0,,,,,2.33,2.33,0.0,2.33,,,88.91,92.68,92.68,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,92.54,92.875,92.17,92.79,10997611.0,,,,,0.7,0.19,0.51,0.7,,,89.1,92.68,92.88,0.1,1,1.22,50.66,90.72,90.72,,,,,,,,,,,90.35,92.79
2024-12-27 05:00:00,92.13,92.35,91.03,91.66,11384359.0,,,,,1.32,0.44,1.76,1.76,2.05,,89.48,92.68,92.88,0.1,1,-0.51,-27.02,92.89,92.89,,,,,,,,,,,90.35,92.79
2024-12-30 05:00:00,90.73,91.07,90.13,90.57,9790196.0,,,,,0.94,0.59,1.53,1.53,1.93,,89.82,92.68,92.88,0.1,1,-1.11,-47.98,92.78,92.78,-0.06,-3.32,91.73,91.67,,,,,,,90.57,92.79
2024-12-31 05:00:00,90.57,90.94,90.055,90.35,11267652.0,,,,,0.88,0.37,0.51,0.88,1.44,,90.06,92.88,90.06,0.05,0,-0.65,-33.22,91.51,91.51,-0.69,-34.53,92.99,92.3,,,,,,,90.35,92.79
2025-01-02 05:00:00,89.98,90.6,89.52,90.0,14820438.0,,,,,1.08,0.25,0.83,1.08,1.19,,90.06,92.74,89.52,0.1,0,-0.28,-15.91,90.59,90.59,-0.69,-34.57,92.45,91.76,,,,,,,90.0,91.66
2025-01-03 05:00:00,90.15,91.3,90.14,90.78,10834630.0,,,,,1.16,1.3,0.14,1.3,1.31,,90.06,92.42,89.52,0.1,0,0.21,12.13,90.16,90.16,-0.23,-13.12,91.14,90.9,,,,90.36,,,90.0,90.78
2025-01-06 05:00:00,90.83,92.47,90.67,91.43,14499858.0,,,,,1.8,1.69,0.11,1.8,1.32,,89.52,92.47,92.47,0.05,1,0.72,35.56,90.02,90.02,0.21,12.13,90.2,90.41,,,,90.28,,,90.0,91.43
2025-01-07 05:00:00,91.7,91.94,90.45,90.81,11238044.0,,,,,1.49,0.51,0.98,1.49,1.31,,89.67,92.47,92.47,0.05,1,0.02,0.86,90.99,90.99,0.24,13.22,90.2,90.44,,,,90.43,,,90.0,91.43
2025-01-08 05:00:00,91.11,91.845,90.82,91.8,13453627.0,,,,,1.03,1.03,0.01,1.03,1.34,,89.81,92.47,92.47,0.05,1,0.18,10.48,91.16,91.16,0.36,19.95,90.24,90.6,,,,91.18,,,90.78,91.8
2025-01-10 05:00:00,92.49,93.575,92.2,93.0,18140864.0,,,,,1.38,1.78,0.4,1.78,1.48,,89.94,92.47,93.58,0.1,1,1.1,47.6,90.77,90.77,0.48,25.69,90.6,91.08,,,,92.23,,,90.81,93.0
2025-01-13 05:00:00,92.12,92.43,91.1,91.53,18617077.0,,,,,1.33,0.57,1.9,1.9,1.6,,90.3,92.47,93.58,0.1,1,-0.13,-7.69,92.24,92.24,0.24,13.44,91.24,91.48,,,,92.28,,,90.81,93.0
2025-01-14 05:00:00,91.86,91.98,90.565,90.79,13549159.0,,,,,1.42,0.45,0.97,1.42,1.52,,90.56,93.58,90.56,0.05,0,-1.1,-47.86,92.88,92.88,-0.03,-1.78,91.65,91.62,,,,91.89,,,90.79,93.0
2025-01-15 05:00:00,91.065,91.725,90.81,91.34,17348174.0,,,,,0.91,0.93,0.02,0.93,1.41,,90.56,93.43,90.56,0.05,0,-0.09,-5.43,91.31,91.31,-0.31,-17.38,92.32,92.0,,,,91.6,,,90.79,93.0
2025-01-16 05:00:00,91.5,91.72,90.12,91.3,13267723.0,,,,,1.6,0.38,1.22,1.6,1.53,1.49,90.56,93.29,90.12,0.1,0,0.25,14.31,90.89,90.89,-0.36,-19.75,92.31,91.95,,,,91.38,,,90.79,91.53
2025-01-17 05:00:00,92.07,92.26,91.05,91.94,15848728.0,,,,,1.21,0.96,0.25,1.21,1.41,1.45,90.56,92.97,90.12,0.1,0,0.3,16.7,91.23,91.23,0.13,7.58,91.11,91.25,,,,91.55,,,90.79,91.94
2025-01-21 05:00:00,92.48,94.24,92.31,93.08,23247451.0,,,,,1.93,2.3,0.37,2.3,1.49,1.41,90.12,94.24,94.24,0.05,1,0.89,41.67,91.22,91.22,0.52,27.38,90.65,91.17,,,,91.99,,,91.3,93.08
