Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,313.29,320.77,310.35,317.57,2033882.0,,,,,10.42,,,10.42,,,310.35,320.77,320.77,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,315.35,315.575,311.92,314.38,411334.0,,,,,3.65,2.0,5.65,5.65,,,310.87,320.77,320.77,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,315.2,316.98,313.41,316.03,191180.0,,,,,3.57,2.6,0.97,3.57,,,311.36,320.77,320.77,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,315.33,318.63,314.22,317.87,258778.0,,,,,4.41,2.6,1.81,4.41,,,311.83,320.77,320.77,0.05,1,1.75,60.18,314.35,314.35,,,,,,,,,,,314.38,317.87
2024-12-27 05:00:00,316.67,318.69,315.49,316.31,310805.0,,,,,3.2,0.82,2.38,3.2,5.45,,312.28,320.77,320.77,0.05,1,0.14,7.97,316.6,316.6,,,,,,,,,,,314.38,317.87
2024-12-30 05:00:00,315.19,315.19,311.445,313.24,320317.0,,,,,3.75,1.12,4.87,4.87,4.34,,311.44,320.77,311.44,0.05,0,-2.31,-66.64,318.12,318.12,-0.2,-11.31,315.97,315.77,,,,,,,313.24,317.87
2024-12-31 05:00:00,313.96,314.07,310.745,313.24,362902.0,,,,,3.32,0.83,2.5,3.32,3.87,,311.44,320.3,310.74,0.1,0,-1.54,-56.92,315.8,315.8,-1.02,-45.6,317.38,316.36,,,,,,,313.24,317.87
2025-01-02 05:00:00,312.77,314.57,308.79,309.27,403920.0,,,,,5.78,1.33,4.45,5.78,4.32,,311.44,319.34,308.79,0.15,0,-1.98,-63.26,313.9,313.9,-2.03,-63.74,318.04,316.01,,,,,,,309.27,316.31
2025-01-03 05:00:00,312.28,312.28,308.835,309.04,462897.0,,,,,3.44,3.01,0.44,3.44,4.12,,311.44,317.76,308.79,0.15,0,-2.1,-64.54,312.62,312.62,-1.85,-61.62,315.92,314.07,,,,310.0,,,309.04,313.24
2025-01-06 05:00:00,307.49,311.42,305.86,306.61,673716.0,,,,,5.56,2.38,3.18,5.56,4.59,,311.44,316.41,305.86,0.2,0,-1.33,-53.06,309.64,309.64,-1.75,-60.2,313.77,312.03,,,,307.23,,,306.61,313.24
2025-01-07 05:00:00,306.96,310.27,306.96,309.0,402542.0,,,,,3.31,3.66,0.35,3.66,4.35,,311.44,314.3,305.86,0.2,0,-0.02,-1.15,308.24,308.24,-1.11,-48.09,311.66,310.55,,,,306.52,,,306.61,309.27
2025-01-08 05:00:00,312.35,314.59,309.81,314.15,655015.0,,,,,4.78,5.59,0.81,5.59,4.81,,305.86,314.59,314.59,0.05,1,3.77,75.14,306.15,306.15,0.97,44.19,307.67,308.64,,,,309.01,,,306.61,314.15
2025-01-10 05:00:00,310.41,314.86,310.41,312.92,595122.0,,,,,4.45,0.71,3.74,4.45,4.54,,306.3,314.59,314.86,0.1,1,1.96,62.97,310.06,310.06,1.53,56.83,307.28,308.81,,,,310.89,,,306.61,314.15
2025-01-13 05:00:00,311.38,313.95,310.89,311.26,459422.0,,,,,3.06,1.03,2.03,3.06,4.46,,307.16,314.59,314.86,0.1,1,-1.44,-55.32,314.22,314.22,1.32,52.9,308.14,309.47,,,,311.61,,,309.0,314.15
2025-01-14 05:00:00,310.32,314.15,310.2455,313.24,441898.0,,,,,3.9,2.89,1.01,3.9,4.13,,307.93,314.59,314.86,0.1,1,0.16,9.09,312.31,312.31,0.56,29.21,311.0,311.56,,,,313.31,,,311.26,314.15
2025-01-15 05:00:00,317.06,317.06,311.95,313.35,588228.0,,,,,5.11,3.82,1.29,5.11,4.42,,308.62,314.59,317.06,0.15,1,1.04,46.26,311.57,311.57,-0.13,-7.29,313.24,313.11,,,,314.07,,,311.26,313.35
