Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,27.27,27.88,27.21,27.5,11435491.0,,,,,0.67,,,0.67,,,27.21,27.88,27.88,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,27.6,28.12,27.43,28.08,3546749.0,,,,,0.69,0.62,0.07,0.69,,,27.24,27.88,28.12,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,27.8,28.26,27.75,28.26,1780137.0,,,,,0.51,0.18,0.33,0.51,,,27.33,27.88,28.26,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,28.05,28.245,27.92,28.17,1736674.0,,,,,0.32,0.02,0.34,0.34,,,27.47,27.88,28.26,0.15,1,0.04,2.58,28.12,28.12,,,,,,,,,,,27.5,28.26
2024-12-27 05:00:00,27.93,28.28,27.89,27.99,2320521.0,,,,,0.39,0.11,0.28,0.39,0.52,,27.59,27.88,28.28,0.2,1,-0.14,-7.69,28.28,28.28,,,,,,,,,,,27.99,28.26
2024-12-30 05:00:00,27.97,28.04,27.51,27.89,2914709.0,,,,,0.53,0.05,0.48,0.53,0.49,,27.51,28.28,27.51,0.05,0,-0.14,-7.97,28.16,28.16,-0.07,-3.72,28.21,28.14,,,,,,,27.89,28.26
2024-12-31 05:00:00,28.16,28.31,27.81,28.15,3125267.0,,,,,0.5,0.42,0.08,0.5,0.45,,27.51,28.31,28.31,0.05,1,0.08,4.57,27.93,27.93,-0.05,-2.86,28.19,28.14,,,,,,,27.89,28.17
2025-01-02 05:00:00,28.2,28.45,27.95,27.99,3447342.0,,,,,0.5,0.3,0.2,0.5,0.45,,27.55,28.31,28.45,0.1,1,0.05,2.86,27.96,27.96,-0.02,-1.15,28.08,28.06,,,,,,,27.89,28.15
2025-01-03 05:00:00,28.04,28.515,27.96,28.36,3331664.0,,,,,0.55,0.53,0.03,0.55,0.49,,27.64,28.31,28.52,0.15,1,0.1,5.99,28.06,28.06,0.08,4.8,27.91,27.99,,,,28.13,,,27.89,28.36
2025-01-06 05:00:00,28.34,28.95,28.28,28.5,2886840.0,,,,,0.67,0.59,0.08,0.67,0.55,,27.77,28.31,28.95,0.2,1,0.26,14.31,28.03,28.03,0.14,8.14,27.89,28.04,,,,28.28,,,27.99,28.5
2025-01-07 05:00:00,28.51,28.74,27.86,28.01,2588221.0,,,,,0.88,0.24,0.64,0.88,0.62,,27.86,28.95,27.86,0.05,0,-0.18,-9.93,28.46,28.46,0.02,1.32,28.16,28.18,,,,28.24,,,27.99,28.5
2025-01-08 05:00:00,27.86,27.905,27.335,27.68,3939137.0,,,,,0.57,0.11,0.68,0.68,0.66,,27.86,28.9,27.34,0.1,0,-0.41,-22.29,28.47,28.47,-0.1,-5.54,28.3,28.2,,,,28.06,,,27.68,28.5
2025-01-10 05:00:00,27.4,27.58,27.06,27.29,3529476.0,,,,,0.52,0.1,0.62,0.62,0.68,,27.86,28.74,27.06,0.15,0,-0.36,-19.8,28.02,28.02,-0.3,-16.49,28.56,28.26,,,,27.72,,,27.29,28.5
