Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,88.1,90.14,88.05,88.95,2663406.0,,,,,2.09,,,2.09,,,88.05,90.14,90.14,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,88.96,89.42,87.76,88.11,1312445.0,,,,,1.66,0.47,1.19,1.66,,,87.76,90.14,87.76,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,88.13,89.22,87.38,88.78,692769.0,,,,,1.84,1.11,0.73,1.84,,,87.76,90.02,87.38,0.1,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,89.01,89.89,88.4198,89.31,1218963.0,,,,,1.47,1.11,0.36,1.47,,,87.38,89.89,89.89,0.05,1,0.6,30.96,88.13,88.13,,,,,,,,,,,88.11,89.31
2024-12-27 05:00:00,88.66,89.288,88.02,88.68,1086693.0,,,,,1.27,0.02,1.29,1.29,1.67,,87.51,89.89,89.89,0.05,1,-0.05,-2.86,88.97,88.97,,,,,,,,,,,88.11,89.31
2024-12-30 05:00:00,87.4,87.4,85.24,85.83,2180149.0,,,,,2.16,1.28,3.44,3.44,1.94,,85.24,89.89,85.24,0.05,0,-1.74,-60.11,89.68,89.68,-0.47,-24.99,89.07,88.61,,,,,,,85.83,89.31
2024-12-31 05:00:00,85.93,86.75,85.87,86.16,1612598.0,,,,,0.88,0.92,0.04,0.92,1.79,,85.24,89.66,85.24,0.05,0,-1.26,-51.56,88.15,88.15,-0.87,-41.09,89.5,88.62,,,,,,,85.83,89.31
2025-01-02 05:00:00,86.33,87.38,83.7251,83.8,2002844.0,,,,,3.65,1.22,2.43,3.65,2.15,,85.24,89.44,83.73,0.1,0,-1.02,-45.43,86.28,86.28,-1.35,-53.55,89.46,88.11,,,,,,,83.8,88.68
2025-01-03 05:00:00,84.5,86.01,82.845,83.32,2807333.0,,,,,3.17,2.21,0.95,3.17,2.49,,85.24,88.87,82.84,0.15,0,-1.42,-54.85,85.85,85.85,-1.28,-51.89,88.11,86.83,,,,83.8,,,83.32,86.16
2025-01-06 05:00:00,84.25,86.27,84.135,84.61,2923757.0,,,,,2.13,2.95,0.82,2.95,2.83,,85.24,87.97,82.84,0.15,0,0.41,22.05,83.5,83.5,-0.53,-27.83,85.8,85.27,,,,83.25,,,83.32,86.16
