Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,66.53,67.82,66.47,67.4,13060777.0,,,,,1.35,,,1.35,,,66.47,67.82,67.82,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,67.12,67.83,66.83,67.72,2535653.0,,,,,1.0,0.43,0.57,1.0,,,66.54,67.82,67.83,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,67.79,68.28,67.6,68.21,943915.0,,,,,0.68,0.56,0.12,0.68,,,66.67,67.82,68.28,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,67.87,68.44,67.7313,68.18,1394942.0,,,,,0.71,0.23,0.48,0.71,,,66.91,67.82,68.44,0.2,1,0.23,12.95,67.81,67.81,,,,,,,,,,,67.4,68.21
2024-12-27 05:00:00,67.72,68.65,67.61,68.14,2014955.0,,,,,1.04,0.47,0.57,1.04,0.96,,67.22,67.82,68.65,0.21,1,-0.04,-2.0,68.21,68.21,,,,,,,,,,,67.72,68.21
2024-12-30 05:00:00,68.14,68.14,67.16,67.59,2642910.0,,,,,0.98,0.0,0.98,0.98,0.88,,67.16,68.65,67.16,0.05,0,-0.3,-16.44,68.26,68.26,-0.03,-1.89,68.03,68.0,,,,,,,67.59,68.21
2024-12-31 05:00:00,67.45,68.06,67.22,67.52,2143881.0,,,,,0.84,0.47,0.37,0.84,0.85,,67.16,68.58,67.16,0.05,0,-0.31,-17.22,68.06,68.06,-0.2,-11.14,68.32,68.12,,,,,,,67.52,68.18
2025-01-02 05:00:00,67.84,68.0,66.63,66.86,2817170.0,,,,,1.37,0.48,0.89,1.37,0.99,,67.16,68.51,66.63,0.1,0,-0.37,-20.05,67.69,67.69,-0.33,-18.06,68.31,67.98,,,,,,,66.86,68.14
2025-01-03 05:00:00,67.13,67.31,66.56,66.69,3157381.0,,,,,0.75,0.45,0.3,0.75,1.0,,67.16,68.32,66.56,0.15,0,-0.41,-22.54,67.44,67.44,-0.36,-19.95,68.09,67.72,,,,66.93,,,66.69,67.59
2025-01-06 05:00:00,65.745,66.42,64.985,65.14,3657563.0,,,,,1.44,0.27,1.7,1.7,1.13,,67.16,68.06,64.98,0.2,0,-0.86,-40.7,67.09,67.09,-0.57,-29.81,67.91,67.33,,,,65.92,,,65.14,67.52
2025-01-07 05:00:00,65.14,66.52,64.97,65.64,3017834.0,,,,,1.55,1.38,0.17,1.55,1.24,,67.16,67.44,64.97,0.21,0,-0.52,-27.7,66.35,66.35,-0.55,-28.72,67.47,66.92,,,,65.46,,,65.14,66.86
2025-01-08 05:00:00,65.56,66.44,65.05,66.39,3714749.0,,,,,1.39,0.8,0.59,1.39,1.35,,67.16,66.92,64.97,0.21,0,0.63,32.01,65.1,65.1,-0.2,-11.25,66.54,66.34,,,,65.52,,,65.14,66.69
2025-01-10 05:00:00,66.04,66.04,62.58,63.37,5441065.0,,,,,3.46,0.35,3.81,3.81,1.84,,67.16,66.51,62.58,0.21,0,-1.13,-48.62,66.27,66.27,-0.54,-28.32,66.52,65.98,,,,64.47,,,63.37,66.39
2025-01-13 05:00:00,63.82,64.14,63.13,63.62,3114553.0,,,,,1.01,0.77,0.24,1.01,1.89,,67.16,66.04,62.58,0.21,0,-1.38,-54.17,65.84,65.84,-0.53,-27.97,65.89,65.36,,,,63.77,,,63.37,66.39
2025-01-14 05:00:00,63.43,64.29,63.21,64.08,5952823.0,,,,,1.08,0.67,0.41,1.08,1.77,,67.16,65.31,62.58,0.21,0,0.36,19.54,63.33,63.33,-0.59,-30.5,65.8,65.21,,,,63.58,,,63.37,66.39
2025-01-15 05:00:00,65.01,65.535,64.745,64.94,2655622.0,,,,,0.79,1.45,0.67,1.45,1.75,,62.58,65.54,65.54,0.05,1,0.66,33.42,63.55,63.55,-0.22,-12.35,64.92,64.7,,,,63.87,,,63.37,64.94
2025-01-16 05:00:00,64.76,66.21,64.6093,66.2,3024125.0,,,,,1.6,1.27,0.33,1.6,1.79,1.34,62.73,65.54,66.21,0.1,1,1.06,46.67,64.01,64.01,0.7,34.92,63.05,63.74,,,,64.81,,,63.62,66.2
2025-01-17 05:00:00,66.53,66.885,65.93,66.72,3235025.0,,,,,0.95,0.69,0.27,0.95,1.22,1.36,63.08,65.54,66.89,0.15,1,0.89,41.67,65.06,65.06,0.83,39.76,63.45,64.28,,,,65.61,,,64.08,66.72
2025-01-21 05:00:00,66.94,67.98,66.63,67.68,4147485.0,,,,,1.35,1.26,0.09,1.35,1.29,1.39,63.65,65.54,67.98,0.2,1,0.74,36.5,66.13,66.13,0.9,41.92,64.13,65.03,,,,66.81,,,64.94,67.68
2025-01-22 05:00:00,67.57,67.57,66.83,66.98,3746056.0,,,,,0.74,0.11,0.85,0.85,1.24,1.42,64.52,65.54,67.98,0.2,1,0.13,7.41,67.0,67.0,0.56,29.07,65.39,65.95,,,,67.73,,,66.2,67.68
2025-01-23 05:00:00,67.28,67.28,65.99,66.06,3928593.0,,,,,1.29,0.3,0.99,1.29,1.21,1.44,65.21,65.54,67.98,0.2,1,-0.81,-39.01,67.72,67.72,-0.0,-0.11,66.73,66.73,,,,67.46,,,66.06,67.68
2025-01-24 05:00:00,66.15,66.99,65.75,66.61,3110246.0,,,,,1.24,0.93,0.31,1.24,1.14,1.45,65.75,67.98,65.75,0.05,0,-0.19,-10.48,66.73,66.73,-0.18,-10.43,67.18,66.99,,,,67.27,,,66.06,67.68
2025-01-27 05:00:00,66.63,68.05,66.315,67.99,4142654.0,,,,,1.73,1.44,0.3,1.73,1.29,1.46,65.75,68.05,68.05,0.05,1,0.96,43.98,65.92,65.92,0.02,1.43,67.01,67.04,,,,67.51,,,66.06,67.99
2025-01-28 05:00:00,67.86,67.86,66.18,66.43,3043657.0,,,,,1.68,0.13,1.81,1.81,1.38,1.47,65.86,68.05,68.05,0.05,1,-0.09,-5.14,67.1,67.1,0.08,4.74,66.65,66.73,,,,66.99,,,66.06,67.99
2025-01-29 05:00:00,66.3,66.815,65.97,66.07,2447363.0,66.49,1.39,69.27,63.71,0.84,0.38,0.46,0.84,1.38,1.48,65.97,68.05,68.05,0.05,1,-0.96,-43.83,67.79,67.79,-0.02,-0.92,66.66,66.65,,,,66.52,,,66.07,67.99
2025-01-30 05:00:00,66.73,67.04,66.23,66.86,2704356.0,66.47,1.38,69.23,63.71,0.81,0.97,0.16,0.97,1.32,1.44,65.97,68.05,68.05,0.05,1,0.21,12.13,66.24,66.24,-0.14,-8.08,67.08,66.93,,,,66.51,,,66.07,67.99
2025-01-31 05:00:00,66.75,67.24,66.61,67.2,6442305.0,66.45,1.37,69.19,63.71,0.63,0.38,0.25,0.63,1.2,1.38,66.07,68.05,68.05,0.05,1,0.57,29.47,66.14,66.14,-0.12,-6.56,67.14,67.03,,,,66.87,,,66.07,67.2
2025-02-03 05:00:00,67.09,67.98,66.45,67.75,2916894.0,66.43,1.34,69.11,63.75,1.53,0.78,0.75,1.53,1.16,1.34,66.17,68.05,68.05,0.05,1,0.45,23.99,66.82,66.82,0.38,20.66,66.11,66.48,,,,67.33,,,66.07,67.75
