Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,105.45,106.135,104.84,105.87,40141153.0,,,,,1.3,,,1.3,,,104.84,106.135,106.135,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,105.31,106.6,104.92,106.3,12285078.0,,,,,1.68,0.73,0.95,1.68,,,104.9,106.135,106.6,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,106.52,107.19,105.7,106.4,7806997.0,,,,,1.49,0.89,0.6,1.49,,,104.92,106.135,107.19,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,106.52,107.03,105.94,106.49,9653408.0,,,,,1.09,0.63,0.46,1.09,,,105.26,106.135,107.19,0.15,1,0.09,5.43,106.3,106.3,,,,,,,,,,,105.87,106.49
2024-12-27 05:00:00,106.3,107.99,105.77,106.48,11943906.0,,,,,2.22,1.5,0.72,2.22,1.56,,105.55,106.135,107.99,0.2,1,0.04,2.29,106.42,106.42,,,,,,,,,,,106.3,106.49
2024-12-30 05:00:00,106.3,106.56,105.51,105.76,11080770.0,,,,,1.05,0.08,0.97,1.05,1.51,,105.51,107.99,105.51,0.05,0,-0.36,-20.05,106.61,106.61,-0.1,-5.71,106.49,106.39,,,,,,,105.76,106.49
2024-12-31 05:00:00,106.17,107.9,105.78,107.57,12387756.0,,,,,2.12,2.14,0.02,2.14,1.6,,105.51,107.9,107.9,0.05,1,0.54,28.59,106.06,106.06,0.16,9.15,106.22,106.38,,,,,,,105.76,107.57
2025-01-02 05:00:00,108.275,109.0,106.88,107.31,12680947.0,,,,,2.12,1.43,0.69,2.12,1.72,,105.63,107.9,109.0,0.1,1,0.78,37.78,106.1,106.1,0.27,15.27,106.18,106.45,,,,,,,105.76,107.57
2025-01-03 05:00:00,108.0,108.49,107.46,107.86,14237885.0,,,,,1.03,1.18,0.15,1.18,1.74,,105.97,107.9,109.0,0.1,1,0.14,8.25,107.43,107.43,0.43,23.32,106.13,106.56,,,,107.52,,,105.76,107.86
2025-01-06 05:00:00,108.24,109.78,107.52,107.74,15623677.0,,,,,2.26,1.92,0.34,2.26,1.75,,106.27,107.9,109.78,0.15,1,0.21,12.13,107.42,107.42,0.42,23.03,106.4,106.82,,,,107.81,,,107.31,107.86
