Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,18.51,18.91,18.23,18.85,2953878.0,,,,,0.68,,,0.68,,,18.23,18.91,18.91,0.05,1,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,18.6,19.0,18.11,18.12,2652177.0,,,,,0.89,0.15,0.74,0.89,,,18.11,18.91,18.11,0.05,0,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,18.05,18.83,17.88,18.66,2671213.0,,,,,0.95,0.71,0.24,0.95,,,18.11,19.0,17.88,0.1,0,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,19.02,19.04,17.865,18.06,2446912.0,,,,,1.18,0.38,0.8,1.18,,,17.88,19.04,19.04,0.05,1,-0.03,-1.72,18.31,18.31,,,,,,,,,,,18.06,18.85
2025-01-15 05:00:00,18.48,18.665,18.22,18.24,2708004.0,,,,,0.45,0.61,0.16,0.61,0.86,,17.86,19.04,19.04,0.05,1,-0.21,-11.86,18.53,18.53,,,,,,,,,,,18.06,18.66
2025-01-16 05:00:00,18.24,18.65,17.9,18.44,2524368.0,,,,,0.75,0.41,0.34,0.75,0.88,,17.9,19.04,17.9,0.05,0,0.19,10.76,18.06,18.06,0.02,1.26,18.26,18.28,,,,,,,18.06,18.66
2025-01-17 05:00:00,18.59,18.9399,18.44,18.77,1875051.0,,,,,0.5,0.5,0.0,0.5,0.8,,17.9,18.98,17.9,0.05,0,0.27,14.84,18.22,18.22,0.06,3.43,18.31,18.37,,,,,,,18.06,18.77
2025-01-21 05:00:00,18.9,19.12,18.7,18.96,2654628.0,,,,,0.42,0.35,0.07,0.42,0.69,,17.9,19.12,19.12,0.05,1,0.26,14.57,18.46,18.46,0.23,13.12,18.03,18.26,,,,,,,18.24,18.96
2025-01-22 05:00:00,18.89,19.43,18.7001,19.36,1536214.0,,,,,0.73,0.47,0.26,0.73,0.6,,17.96,19.12,19.43,0.1,1,0.29,16.44,18.73,18.73,0.28,15.43,18.2,18.48,,,,19.1,,,18.44,19.36
2025-01-23 05:00:00,19.19,19.46,18.78,19.44,2652134.0,,,,,0.68,0.1,0.58,0.68,0.62,,18.11,19.12,19.46,0.15,1,0.24,13.5,19.01,19.01,0.26,14.52,18.48,18.74,,,,19.34,,,18.77,19.44
2025-01-24 05:00:00,19.41,19.675,19.26,19.53,2682216.0,,,,,0.41,0.23,0.18,0.41,0.55,,18.31,19.12,19.68,0.2,1,0.09,4.86,19.36,19.36,0.2,11.31,18.81,19.01,,,,19.65,,,18.96,19.53
2025-01-27 05:00:00,19.71,19.8521,19.46,19.61,1811914.0,,,,,0.39,0.32,0.07,0.39,0.53,,18.58,19.12,19.85,0.21,1,0.08,4.86,19.44,19.44,0.15,8.36,19.09,19.23,,,,19.77,,,19.36,19.61
2025-01-28 05:00:00,19.58,19.86,19.45,19.62,1934301.0,,,,,0.41,0.25,0.16,0.41,0.52,,18.85,19.12,19.86,0.21,1,0.04,2.58,19.54,19.54,0.07,3.95,19.37,19.44,,,,19.81,,,19.44,19.62
2025-01-29 05:00:00,19.52,19.83,19.46,19.63,2144051.0,,,,,0.37,0.21,0.16,0.37,0.45,,19.06,19.12,19.86,0.21,1,0.01,0.57,19.61,19.61,0.05,2.69,19.47,19.52,,,,19.79,,,19.53,19.63
