Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,116.07,118.12,115.9,117.14,2799561.0,,,,,2.22,,,2.22,,,115.9,118.12,118.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,116.77,117.81,116.5724,117.51,945823.0,,,,,1.24,0.67,0.57,1.24,,,116.01,118.12,118.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,117.37,118.36,117.23,118.15,379348.0,,,,,1.13,0.85,0.28,1.13,,,116.12,118.12,118.36,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,117.8,118.72,117.5401,118.47,575661.0,,,,,1.18,0.57,0.61,1.18,,,116.34,118.12,118.72,0.15,1,0.48,25.64,117.56,117.56,,,,,,,,,,,117.14,118.47
2024-12-27 05:00:00,117.6,119.095,117.18,117.53,552435.0,,,,,1.91,0.62,1.29,1.91,1.54,,116.7,118.12,119.1,0.2,1,-0.31,-17.22,118.36,118.36,,,,,,,,,,,117.51,118.47
2024-12-30 05:00:00,116.46,116.8,115.16,116.28,586812.0,,,,,1.64,0.73,2.37,2.37,1.57,,115.16,119.1,115.16,0.05,0,-1.1,-47.6,118.52,118.52,-0.31,-17.12,118.2,117.9,,,,,,,116.28,118.47
2024-12-31 05:00:00,116.78,117.11,115.57,116.02,641726.0,,,,,1.54,0.83,0.71,1.54,1.63,,115.16,118.9,115.16,0.05,0,-0.75,-37.05,117.36,117.36,-0.65,-32.82,118.58,117.94,,,,,,,116.02,118.47
2025-01-02 05:00:00,117.02,117.72,115.901,115.95,1015902.0,,,,,1.82,1.7,0.12,1.82,1.76,,115.16,118.71,115.16,0.05,0,-0.16,-9.37,116.25,116.25,-0.66,-33.22,118.16,117.51,,,,,,,115.95,117.53
2025-01-03 05:00:00,116.17,117.8,116.17,117.18,816575.0,,,,,1.63,1.85,0.22,1.85,1.9,,115.16,118.53,115.16,0.05,0,0.58,30.11,115.8,115.8,-0.1,-5.88,116.8,116.7,,,,116.22,,,115.95,117.18
2025-01-06 05:00:00,117.62,117.88,116.35,116.84,1166509.0,,,,,1.53,0.7,0.83,1.53,1.82,,115.16,118.36,115.16,0.05,0,0.45,23.99,116.21,116.21,0.23,12.84,116.0,116.23,,,,116.19,,,115.95,117.18
2025-01-07 05:00:00,116.89,117.52,115.085,115.78,1232367.0,,,,,2.44,0.68,1.76,2.44,1.84,,115.16,118.2,115.08,0.1,0,-0.7,-34.99,117.3,117.3,0.04,2.35,116.27,116.31,,,,115.94,,,115.78,117.18
2025-01-08 05:00:00,115.16,116.0532,114.25,115.91,1274472.0,,,,,1.8,0.27,1.53,1.8,1.89,,115.16,117.89,114.25,0.15,0,-0.47,-24.94,116.64,116.64,-0.15,-8.42,116.63,116.48,,,,116.01,,,115.78,117.18
2025-01-10 05:00:00,114.38,115.5645,113.74,114.02,1334464.0,,,,,1.82,0.35,2.17,2.17,1.96,,115.16,117.34,113.74,0.2,0,-0.88,-41.35,116.12,116.12,-0.73,-35.94,117.4,116.67,,,,115.28,,,114.02,116.84
2025-01-13 05:00:00,113.54,115.68,113.26,115.64,1154323.0,,,,,2.42,1.66,0.76,2.42,2.07,,115.16,116.62,113.26,0.21,0,-0.14,-7.69,115.33,115.33,-0.42,-22.59,116.47,116.05,,,,115.2,,,114.02,115.91
2025-01-14 05:00:00,115.85,116.38,114.27,115.42,2137024.0,,,,,2.11,0.74,1.37,2.11,2.19,,113.26,116.38,116.38,0.05,1,0.7,34.99,114.33,114.33,-0.1,-5.65,115.55,115.45,,,,115.02,,,114.02,115.91
2025-01-15 05:00:00,117.61,118.23,115.36,116.09,1339956.0,,,,,2.87,2.81,0.06,2.87,2.27,,113.42,116.38,118.23,0.1,1,0.22,12.68,115.49,115.49,0.18,9.98,115.06,115.24,,,,115.15,,,114.02,116.09
2025-01-16 05:00:00,116.97,119.21,116.71,118.95,1465480.0,,,,,2.5,3.12,0.62,3.12,2.54,1.92,113.9,116.38,119.21,0.15,1,1.76,60.47,115.06,115.06,1.03,45.87,113.96,114.99,,,,116.77,,,115.42,118.95
2025-01-17 05:00:00,119.98,120.83,119.25,119.66,1396461.0,,,,,1.58,1.88,0.3,1.88,2.48,1.99,114.7,116.38,120.83,0.2,1,1.78,60.74,116.45,116.45,1.16,49.16,114.84,115.99,,,,118.45,,,115.42,119.66
2025-01-21 05:00:00,120.68,122.38,120.1,121.92,1182368.0,,,,,2.28,2.72,0.44,2.72,2.54,2.07,115.93,116.38,122.38,0.21,1,1.49,56.04,118.69,118.69,1.66,58.89,115.09,116.75,,,,120.57,,,116.09,121.92
2025-01-22 05:00:00,121.89,122.93,121.04,121.64,1191005.0,,,,,1.89,1.01,0.88,1.89,2.5,2.14,117.28,116.38,122.93,0.21,1,0.99,44.71,120.08,120.08,1.41,54.6,116.84,118.24,,,,122.1,,,118.95,121.92
2025-01-23 05:00:00,121.61,122.49,120.745,121.58,1028285.0,,,,,1.74,0.85,0.89,1.74,2.27,2.17,118.47,116.38,122.93,0.21,1,-0.17,-9.65,121.88,121.88,0.72,35.9,119.3,120.03,,,,122.65,,,119.66,121.92
2025-01-24 05:00:00,121.78,122.71,121.0,121.57,1066226.0,,,,,1.71,1.13,0.58,1.71,1.99,2.18,119.41,116.38,122.93,0.21,1,-0.03,-2.0,121.63,121.63,0.35,19.19,120.58,120.93,,,,122.97,,,121.57,121.92
2025-01-27 05:00:00,120.55,122.36,120.09,122.18,885179.0,,,,,2.27,0.79,1.48,2.27,2.07,2.2,120.09,122.93,120.09,0.05,0,0.3,16.7,121.48,121.48,0.04,2.58,121.69,121.73,,,,123.0,,,121.57,122.18
