Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,130.25,133.375,130.14,132.36,3212936.0,,,,,3.24,,,3.24,,,130.14,133.375,133.375,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,133.25,133.94,131.93,133.86,1479176.0,,,,,2.01,1.58,0.43,2.01,,,130.3,133.375,133.94,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,133.43,135.08,132.99,135.0,532978.0,,,,,2.09,1.22,0.87,2.09,,,130.66,133.375,135.08,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,134.35,136.8,134.195,136.0,1040936.0,,,,,2.61,1.8,0.81,2.61,,,131.32,133.375,136.8,0.2,1,1.07,46.94,133.88,133.88,,,,,,,,,,,132.36,136.0
2024-12-27 05:00:00,135.14,136.47,134.29,135.23,1146256.0,,,,,2.18,0.47,1.71,2.18,2.43,,132.42,133.375,136.8,0.2,1,0.11,6.56,135.29,135.29,,,,,,,,,,,133.86,136.0
2024-12-30 05:00:00,134.13,134.41,133.0,133.52,1144646.0,,,,,1.41,0.82,2.23,2.23,2.22,,133.0,136.8,133.0,0.05,0,-1.24,-51.12,136.16,136.16,-0.05,-2.58,134.81,134.77,,,,,,,133.52,136.0
2024-12-31 05:00:00,134.09,134.785,133.25,134.16,1217129.0,,,,,1.53,1.26,0.27,1.53,2.13,,133.0,136.61,133.0,0.05,0,-0.54,-28.15,134.84,134.84,-0.42,-22.59,135.61,135.2,,,,,,,133.52,136.0
2025-01-02 05:00:00,134.42,135.92,133.1,133.56,2609869.0,,,,,2.82,1.76,1.06,2.82,2.27,,133.0,136.43,133.0,0.05,0,0.02,1.15,133.73,133.73,-0.6,-30.75,135.68,135.09,,,,,,,133.52,135.23
2025-01-03 05:00:00,133.66,134.0,132.3701,133.44,1154344.0,,,,,1.63,0.44,1.19,1.63,2.08,,133.0,136.26,132.37,0.1,0,-0.36,-19.8,134.08,134.08,-0.35,-19.49,134.69,134.34,,,,133.62,,,133.44,134.16
2025-01-06 05:00:00,133.3,134.22,129.99,130.17,2120834.0,,,,,4.23,0.78,3.45,4.23,2.49,,133.0,135.87,129.99,0.15,0,-1.7,-59.46,134.09,134.09,-0.74,-36.58,134.45,133.71,,,,131.76,,,130.17,134.16
2025-01-07 05:00:00,130.07,131.74,128.3,128.55,2102995.0,,,,,3.44,1.57,1.87,3.44,2.73,,133.0,134.99,128.3,0.2,0,-2.45,-67.76,133.17,133.17,-1.46,-55.61,134.9,133.44,,,,129.82,,,128.55,133.56
2025-01-08 05:00:00,127.79,128.23,126.97,127.74,2025471.0,,,,,1.26,0.32,1.58,1.58,2.74,,133.0,133.65,126.97,0.21,0,-1.21,-50.54,130.03,130.03,-1.65,-58.83,134.0,132.34,,,,128.32,,,127.74,133.44
2025-01-10 05:00:00,125.82,126.64,123.19,123.25,2555033.0,,,,,3.45,1.1,4.55,4.55,3.09,,133.0,132.25,123.19,0.21,0,-2.65,-69.33,129.16,129.16,-2.28,-66.33,133.19,130.91,,,,125.45,,,123.25,130.17
2025-01-13 05:00:00,122.8,124.36,122.13,123.73,2163133.0,,,,,2.23,1.11,1.12,2.23,3.21,,133.0,130.35,122.13,0.21,0,-2.01,-63.49,126.91,126.91,-1.82,-61.19,130.32,128.51,,,,123.35,,,123.25,128.55
2025-01-14 05:00:00,124.28,125.44,123.97,124.71,1793633.0,,,,,1.47,1.71,0.24,1.71,2.7,,133.0,128.62,122.13,0.21,0,0.73,36.13,123.17,123.17,-1.17,-49.46,127.93,126.77,,,,122.64,,,123.25,127.74
2025-01-15 05:00:00,126.46,126.46,124.53,125.77,1729709.0,,,,,1.93,1.75,0.18,1.93,2.4,,133.0,127.26,122.13,0.21,0,1.02,45.57,123.72,123.72,-0.25,-13.93,125.54,125.29,,,,123.01,,,123.25,125.77
2025-01-16 05:00:00,125.69,127.74,125.38,126.24,1670359.0,,,,,2.36,1.97,0.39,2.36,2.56,2.54,122.13,127.74,127.74,0.05,1,0.76,37.42,124.81,124.81,0.8,38.73,123.14,123.94,,,,124.19,,,123.73,126.24
2025-01-17 05:00:00,126.91,127.35,125.19,125.32,1604923.0,,,,,2.16,1.11,1.05,2.16,2.08,2.52,122.41,127.74,127.74,0.05,1,-0.22,-12.68,126.0,126.0,0.47,25.22,124.21,124.68,,,,124.76,,,124.71,126.24
2025-01-21 05:00:00,124.83,126.12,124.58,125.7,2092697.0,,,,,1.54,0.8,0.74,1.54,1.94,2.49,122.68,127.74,127.74,0.05,1,-0.27,-15.11,126.02,126.02,0.15,8.7,125.24,125.39,,,,125.5,,,125.32,126.24
2025-01-22 05:00:00,125.36,126.78,124.58,126.22,2498906.0,,,,,2.2,1.08,1.12,2.2,2.04,2.49,122.93,127.74,127.74,0.05,1,0.45,24.23,125.3,125.3,0.04,2.06,125.78,125.81,,,,126.49,,,125.32,126.24
2025-01-23 05:00:00,125.75,127.354,125.51,127.01,2082434.0,,,,,1.84,1.13,0.71,1.84,2.02,2.47,123.17,127.74,127.74,0.05,1,0.66,33.22,125.65,125.65,0.24,13.71,125.61,125.85,,,,126.81,,,125.32,127.01
2025-01-24 05:00:00,126.75,129.46,126.75,128.26,2295883.0,,,,,2.71,2.45,0.26,2.71,2.09,2.47,123.4,127.74,129.46,0.1,1,1.02,45.57,126.14,126.14,0.72,35.72,125.06,125.78,,,,127.46,,,125.7,128.26
