Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,54.89,55.06,54.03,54.87,743056.0,,,,,1.03,,,1.03,,,55.06,54.03,54.03,0.05,0,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,54.1,54.44,52.81,53.34,1415297.0,,,,,1.63,0.43,2.06,2.06,,,54.03,54.44,54.44,0.05,1,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,53.0,54.43,52.905,54.35,1091160.0,,,,,1.52,1.09,0.44,1.52,,,52.81,54.44,54.44,0.05,1,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,55.03,56.6019,54.76,56.48,1453322.0,,,,,1.84,2.25,0.41,2.25,,,52.89,54.44,56.6,0.1,1,1.57,57.51,53.15,53.15,,,,,,,,,,,53.34,56.48
2025-01-15 05:00:00,58.63,58.91,57.455,58.2,1413867.0,,,,,1.45,2.43,0.98,2.43,1.86,,53.26,54.44,58.91,0.15,1,1.93,62.55,54.42,54.42,,,,,,,,,,,53.34,58.2
2025-01-16 05:00:00,58.02,58.43,56.35,57.28,1514004.0,,,,,2.08,0.23,1.85,2.08,2.07,,54.11,54.44,58.91,0.15,1,0.4,21.8,56.92,56.92,1.17,49.55,53.58,54.76,,,,,,,54.35,58.2
2025-01-17 05:00:00,57.58,58.115,57.18,58.04,1200633.0,,,,,0.94,0.84,0.1,0.94,1.84,,54.83,54.44,58.91,0.15,1,-0.08,-4.57,57.92,57.92,0.82,39.28,55.23,56.05,,,,,,,56.48,58.2
2025-01-21 05:00:00,58.4,59.1,58.09,59.03,2146958.0,,,,,1.01,1.06,0.05,1.06,1.75,,55.44,54.44,59.1,0.2,1,0.87,41.19,57.24,57.24,0.49,26.29,56.82,57.31,,,,,,,57.28,59.03
2025-01-22 05:00:00,59.18,59.45,57.91,58.09,2082818.0,,,,,1.54,0.42,1.12,1.54,1.61,,56.17,54.44,59.45,0.21,1,0.03,1.43,58.36,58.36,0.15,8.7,57.82,57.98,,,,59.37,,,57.28,59.03
2025-01-23 05:00:00,58.15,58.75,57.67,58.02,1200915.0,,,,,1.08,0.66,0.42,1.08,1.34,,56.86,54.44,59.45,0.21,1,-0.5,-26.79,58.88,58.88,0.15,8.7,57.79,57.94,,,,58.98,,,58.02,59.03
2025-01-24 05:00:00,57.57,59.215,57.4,58.64,1191446.0,,,,,1.82,1.2,0.62,1.82,1.29,,57.4,59.45,57.4,0.05,0,0.27,15.38,57.98,57.98,0.02,1.09,58.33,58.34,,,,58.71,,,58.02,59.03
2025-01-27 05:00:00,58.84,59.35,57.64,57.8,1164663.0,,,,,1.71,0.71,1.0,1.71,1.44,,57.4,59.35,59.35,0.05,1,-0.11,-6.28,58.26,58.26,-0.19,-10.81,58.7,58.51,,,,58.26,,,57.8,58.64
2025-01-28 05:00:00,57.77,58.18,56.94,57.77,1018929.0,,,,,1.24,0.38,0.86,1.24,1.48,,56.94,59.35,56.94,0.05,0,-0.43,-23.51,58.5,58.5,-0.09,-4.92,58.24,58.15,,,,58.12,,,57.77,58.64
2025-01-29 05:00:00,57.58,58.81,57.16,57.64,1229186.0,,,,,1.65,1.04,0.61,1.65,1.5,,56.94,59.23,56.94,0.05,0,-0.08,-4.57,57.82,57.82,-0.16,-9.26,58.3,58.14,,,,57.74,,,57.64,58.64
2025-01-30 05:00:00,58.28,58.94,57.655,58.29,877706.0,,,,,1.28,1.3,0.02,1.3,1.54,,56.94,59.12,56.94,0.05,0,0.26,14.57,57.64,57.64,-0.09,-4.92,58.2,58.11,,,,57.78,,,57.64,58.29
2025-01-31 05:00:00,58.3,58.67,57.55,57.86,1023592.0,,,,,1.12,0.38,0.74,1.12,1.4,,56.94,59.01,56.94,0.05,0,0.11,6.28,57.82,57.82,0.06,3.66,57.74,57.81,,,,57.88,,,57.64,58.29
2025-02-03 05:00:00,55.87,56.93,55.14,56.25,807973.0,,,,,1.79,0.93,2.72,2.72,1.61,1.59,56.94,58.91,55.14,0.1,0,-1.02,-45.57,58.49,58.49,-0.28,-15.75,58.13,57.84,,,,57.16,,,56.25,58.29
2025-02-04 05:00:00,56.25,57.72,56.16,57.07,1327889.0,,,,,1.56,1.47,0.09,1.56,1.67,1.58,56.94,58.53,55.14,0.1,0,-0.4,-21.55,57.45,57.45,-0.32,-17.64,58.06,57.74,,,,56.92,,,56.25,58.29
2025-02-05 05:00:00,57.54,57.69,56.85,57.43,1000669.0,,,,,0.84,0.62,0.22,0.84,1.51,1.54,56.94,58.19,55.14,0.1,0,0.59,30.54,56.33,56.33,-0.25,-14.09,57.88,57.63,,,,57.07,,,56.25,57.86
2025-02-06 05:00:00,58.03,58.39,57.29,58.27,1170396.0,,,,,1.1,0.96,0.14,1.1,1.47,1.51,55.14,58.39,58.39,0.05,1,0.6,30.96,56.99,56.99,0.2,11.31,56.98,57.18,,,,57.45,,,56.25,58.27
2025-02-07 05:00:00,58.31,58.32,56.79,57.26,907341.0,,,,,1.53,0.05,1.48,1.53,1.55,1.49,55.3,58.39,58.39,0.05,1,-0.09,-4.86,57.74,57.74,0.32,17.85,56.61,56.93,,,,57.37,,,57.07,58.27
2025-02-10 05:00:00,57.53,57.78,55.985,56.03,986544.0,,,,,1.8,0.52,1.27,1.8,1.37,1.47,55.45,58.39,58.39,0.05,1,-1.12,-48.24,58.31,58.31,-0.22,-12.68,57.66,57.44,,,,56.79,,,56.03,58.27
2025-02-11 05:00:00,55.88,57.0,55.44,56.84,1031305.0,,,,,1.56,0.97,0.59,1.56,1.37,1.48,55.44,58.39,55.44,0.05,0,-0.21,-11.86,56.92,56.92,-0.34,-18.88,57.85,57.51,,,,56.84,,,56.03,58.27
2025-02-12 05:00:00,56.03,56.36,55.43,55.47,853768.0,,,,,0.93,0.48,1.41,1.41,1.48,1.49,55.44,58.24,55.43,0.1,0,-0.28,-15.64,56.39,56.39,-0.6,-31.05,57.98,57.38,,,,56.33,,,55.47,57.26
2025-02-13 05:00:00,55.12,55.49,54.61,55.45,1293074.0,57.03,1.43,59.89,54.17,0.88,0.02,0.86,0.88,1.44,1.49,55.44,57.96,54.61,0.15,0,-0.7,-34.8,56.62,56.62,-0.42,-22.68,57.05,56.63,,,,55.62,,,55.45,56.84
2025-02-14 05:00:00,55.53,56.62,55.22,55.74,1341319.0,57.07,1.38,59.83,54.31,1.4,1.17,0.23,1.4,1.41,1.49,55.44,57.46,54.61,0.15,0,0.13,7.69,55.42,55.42,-0.2,-11.14,56.3,56.1,,,,55.29,,,55.45,56.84
2025-02-18 05:00:00,55.77,56.8,55.41,56.78,1409882.0,57.2,1.15,59.5,54.9,1.39,1.06,0.33,1.39,1.33,1.47,55.44,57.03,54.61,0.15,0,0.66,33.62,55.32,55.32,0.01,0.86,56.03,56.04,,,,55.6,,,55.45,56.78
2025-02-19 05:00:00,56.11,57.04,56.11,56.46,1178084.0,57.29,1.0,59.29,55.29,0.93,0.26,0.67,0.93,1.2,1.45,54.61,57.04,57.04,0.05,1,0.36,19.8,55.97,55.97,0.33,18.31,55.32,55.65,,,,56.04,,,55.45,56.78
2025-02-20 05:00:00,56.4,56.5,54.4,55.12,1250674.0,57.23,1.08,59.39,55.07,2.1,0.04,2.06,2.1,1.34,1.44,54.4,57.04,54.4,0.05,0,-0.83,-39.69,56.95,56.95,0.01,0.34,55.9,55.9,,,,55.82,,,55.12,56.78
2025-02-21 05:00:00,55.42,55.5,53.27,53.42,1364415.0,57.04,1.3,59.64,54.44,2.23,0.38,1.85,2.23,1.61,1.44,54.4,56.91,53.27,0.1,0,-1.52,-56.66,56.52,56.52,-0.63,-32.21,56.76,56.13,,,,54.76,,,53.42,56.78
2025-02-24 05:00:00,53.91,53.91,52.64,52.85,1353740.0,56.86,1.55,59.96,53.76,1.27,0.49,0.78,1.27,1.58,1.44,54.4,56.55,52.64,0.15,0,-1.14,-48.62,54.93,54.93,-1.09,-47.47,57.11,56.02,,,,53.88,,,52.85,56.46
2025-02-25 05:00:00,53.65,54.04,52.16,52.89,2418752.0,56.66,1.72,60.1,53.22,1.88,1.19,0.69,1.88,1.68,1.45,54.4,55.96,52.16,0.2,0,-0.27,-14.84,53.32,53.32,-0.94,-43.26,56.03,55.09,,,,53.01,,,52.85,55.12
2025-02-26 05:00:00,53.11,54.51,53.1,53.34,2443341.0,56.43,1.77,59.97,52.89,1.41,1.62,0.21,1.62,1.82,1.48,54.4,55.2,52.16,0.2,0,0.24,13.77,52.78,52.78,-0.41,-22.24,54.34,53.93,,,,52.54,,,52.85,53.42
