Date,Open,High,Low,Close,Volume
2023-07-24,84.73,86.28,84.7,85.66,22269803.0
2023-07-25,85.62,86.61,85.1,86.11,16803262.0
2023-07-26,85.4,86.48,85.28,86.14,16394005.0
2023-07-27,86.61,86.96,85.35,85.59,17775303.0
2023-07-28,85.53,85.865,84.6,85.85,17318288.0
2023-07-31,86.6,87.73,86.35,87.48,18133239.0
2023-08-01,87.13,87.32,86.1341,87.07,17904641.0
2023-08-02,86.48,86.92,85.2,85.93,22961517.0
2023-08-03,86.16,87.58,85.69,86.8,20816983.0
2023-08-04,87.42,88.24,86.82,86.92,21604149.0
2023-08-07,87.41,87.59,86.7643,87.02,13410765.0
2023-08-08,85.61,87.485,84.965,87.45,18618558.0
2023-08-09,88.3,89.36,87.75,88.55,26042805.0
2023-08-10,88.68,89.69,87.94,88.54,19613252.0
2023-08-11,88.5,90.0,88.48,89.9,23344603.0
2023-08-14,89.65,89.89,88.92,89.52,15094733.0
2023-08-15,88.9,89.0,87.5,87.66,22491233.0
2023-08-16,87.75,88.7,86.84,86.9,18997729.0
2023-08-17,88.12,89.14,87.81,87.94,20232149.0
2023-08-18,87.43,88.92,87.15,88.81,17653648.0
2023-08-21,89.17,89.53,87.6382,88.25,15244236.0
2023-08-22,88.36,88.67,87.515,87.57,12869736.0
2023-08-23,86.62,87.4299,85.87,87.35,19399283.0
2023-08-24,86.56,87.67,86.5,86.75,16727513.0
2023-08-25,87.27,88.03,86.51,87.59,19018407.0
2023-08-28,87.82,88.84,87.6688,88.18,12859097.0
2023-08-29,88.5,88.51,87.54,88.42,13509662.0
2023-08-30,88.82,89.02,88.47,88.86,13517862.0
2023-08-31,89.19,89.34,88.28,88.92,14688692.0
2023-09-01,89.9,90.835,89.88,90.74,17774580.0
2023-09-05,91.25,92.15,91.16,91.22,24368698.0
2023-09-06,91.04,91.75,90.59,91.26,20157145.0
2023-09-07,91.44,91.905,91.0088,91.17,15364572.0
2023-09-08,91.6,92.71,91.55,92.05,17375861.0
2023-09-11,92.72,93.0,90.47,90.84,22047498.0
2023-09-12,91.82,93.08,91.65,92.98,26666673.0
2023-09-13,93.07,93.26,91.8,92.28,18157686.0
2023-09-14,93.24,93.685,92.96,93.36,18513154.0
2023-09-15,92.5,93.41,92.01,92.01,24777371.0
2023-09-18,92.28,92.55,91.433,92.11,16873326.0
2023-09-19,92.8,92.93,90.71,91.25,18135903.0
2023-09-20,90.8,91.83,90.34,90.4,17970995.0
2023-09-21,91.02,91.23,89.01,89.16,21723105.0
2023-09-22,89.83,90.43,89.225,89.31,21036026.0
2023-09-25,89.07,90.57,89.07,90.43,17536880.0
