Date,Open,High,Low,Close,Volume
2023-07-24,35.28,35.71,35.27,35.6,32299794.0
2023-07-25,35.5,35.58,35.34,35.37,36218637.0
2023-07-26,35.33,35.69,35.28,35.58,35638715.0
2023-07-27,35.58,35.67,35.08,35.13,44072765.0
2023-07-28,35.41,35.425,35.01,35.2,32427672.0
2023-07-31,35.27,35.44,35.18,35.33,28627021.0
2023-08-01,35.26,35.36,35.14,35.33,26495304.0
2023-08-02,35.03,35.155,34.83,35.03,48930438.0
2023-08-03,34.82,35.13,34.72,35.05,31871732.0
2023-08-04,35.02,35.36,34.875,34.91,36195670.0
2023-08-07,35.13,35.46,35.12,35.4,33119338.0
2023-08-08,34.94,35.1061,34.67,35.08,37254806.0
2023-08-09,35.06,35.16,34.78,34.82,38234216.0
2023-08-10,35.0,35.26,34.76,34.85,38097502.0
2023-08-11,34.74,34.98,34.655,34.92,27518747.0
2023-08-14,34.82,34.92,34.69,34.85,23647797.0
2023-08-15,34.56,34.595,34.17,34.21,57472072.0
2023-08-16,34.15,34.415,34.12,34.16,33566495.0
2023-08-17,34.27,34.32,33.8942,33.99,38205391.0
2023-08-18,33.75,34.08,33.72,33.98,40823459.0
2023-08-21,34.03,34.095,33.67,33.94,32308259.0
2023-08-22,33.95,33.99,33.5744,33.62,43148858.0
2023-08-23,33.68,33.96,33.63,33.95,30240536.0
2023-08-24,33.9,34.31,33.83,33.83,35784853.0
2023-08-25,33.97,34.12,33.71,33.99,40347163.0
2023-08-28,34.1,34.3,34.07,34.18,34905318.0
2023-08-29,34.15,34.4957,34.1,34.49,43394335.0
2023-08-30,34.54,34.71,34.44,34.51,33799921.0
2023-08-31,34.61,34.615,34.3446,34.38,27999689.0
2023-09-01,34.59,34.7959,34.555,34.69,41075673.0
2023-09-05,34.65,34.79,34.33,34.34,38566807.0
2023-09-06,34.25,34.39,34.07,34.32,35672799.0
2023-09-07,34.18,34.38,34.13,34.23,47610130.0
2023-09-08,34.26,34.37,34.125,34.3,39742305.0
2023-09-11,34.46,34.64,34.3703,34.46,28965132.0
2023-09-12,34.45,34.935,34.405,34.69,48615168.0
2023-09-13,34.85,34.89,34.555,34.69,31994884.0
2023-09-14,34.93,35.0552,34.755,35.01,65286526.0
2023-09-15,34.78,35.04,34.76,34.83,51780686.0
2023-09-18,34.63,34.82,34.52,34.77,32458673.0
2023-09-19,34.8,34.865,34.505,34.73,36116798.0
2023-09-20,34.85,34.96,34.48,34.49,31554481.0
2023-09-21,34.37,34.37,33.92,33.92,48106804.0
2023-09-22,33.97,34.0,33.66,33.66,41688252.0
2023-09-25,33.59,33.76,33.48,33.74,40130709.0
2023-09-26,33.49,33.64,33.23,33.29,46165433.0
2023-09-27,33.38,33.38,32.95,33.24,49360881.0
2023-09-28,33.27,33.6,33.26,33.48,63345585.0
2023-09-29,33.64,33.69,33.09,33.17,52300527.0
2023-10-02,33.06,33.14,32.71,32.89,49350601.0
2023-10-03,32.73,32.815,32.24,32.37,52921754.0
2023-10-04,32.38,32.63,32.21,32.61,40136047.0
2023-10-05,32.52,32.82,32.45,32.76,41407826.0
2023-10-06,32.62,33.225,32.51,33.04,54057834.0
2023-10-09,32.74,33.13,32.71,33.06,61396589.0
2023-10-10,33.16,33.51,33.15,33.3,44743354.0
2023-10-11,33.4,33.535,33.1,33.35,35746363.0
2023-10-12,33.45,33.45,32.91,33.14,41877169.0
2023-10-13,33.35,33.655,33.03,33.21,53216513.0
2023-10-16,33.46,33.72,33.385,33.56,45589267.0
2023-10-17,33.41,33.935,33.4,33.72,41925171.0
2023-10-18,33.55,33.58,33.0701,33.14,46942085.0
2023-10-19,33.08,33.255,32.68,32.7,66656245.0
2023-10-20,32.69,32.75,32.17,32.2,59921317.0
2023-10-23,32.13,32.36,31.97,32.0,55913666.0
2023-10-24,32.15,32.365,32.051,32.22,35825013.0
2023-10-25,32.1,32.32,32.01,32.1,59015095.0
2023-10-26,32.02,32.349,31.97,32.03,56046144.0
2023-10-27,31.99,32.03,31.355,31.45,73057348.0
2023-10-30,31.67,32.09,31.59,32.01,48978077.0
2023-10-31,32.07,32.37,32.01,32.36,41050120.0
2023-11-01,32.42,32.7,32.345,32.57,51764061.0
2023-11-02,32.87,33.36,32.81,33.34,47416970.0
2023-11-03,33.66,33.94,33.65,33.78,58801309.0
2023-11-06,33.87,33.915,33.5,33.68,40599720.0
2023-11-07,33.58,33.71,33.52,33.63,27441995.0
2023-11-08,33.62,33.7,33.46,33.67,29937962.0
2023-11-09,33.78,33.83,33.465,33.53,34336588.0
2023-11-10,33.69,33.94,33.495,33.91,35153488.0
2023-11-13,33.79,33.95,33.74,33.86,28327270.0
2023-11-14,34.23,34.69,34.2,34.5,54296279.0
2023-11-15,34.56,34.79,34.5501,34.69,35000184.0
2023-11-16,34.79,34.865,34.68,34.83,33215973.0
2023-11-17,34.96,35.02,34.87,35.01,30442489.0
2023-11-20,34.96,35.23,34.885,35.15,37400151.0
2023-11-21,35.1,35.22,35.07,35.13,27285737.0
2023-11-22,35.21,35.34,35.15,35.27,32087981.0
2023-11-24,35.27,35.435,35.255,35.38,13168491.0
2023-11-27,35.25,35.3178,35.18,35.26,35016987.0
2023-11-28,35.22,35.37,35.16,35.25,39329273.0
2023-11-29,35.35,35.71,35.35,35.5,36651299.0
2023-11-30,35.58,35.9,35.465,35.9,37334537.0
2023-12-01,35.84,36.21,35.78,36.17,51267600.0
2023-12-04,35.96,36.27,35.92,36.13,41366616.0
2023-12-05,36.02,36.03,35.79,35.95,39510878.0
2023-12-06,36.15,36.285,35.7201,35.77,35616129.0
2023-12-07,35.86,35.96,35.77,35.94,26050871.0
2023-12-08,35.9,36.19,35.86,36.13,33213096.0
2023-12-11,36.14,36.42,36.14,36.35,31165724.0
2023-12-12,36.44,36.62,36.29,36.61,37245695.0
2023-12-13,36.62,37.245,36.55,37.2,56988976.0
2023-12-14,37.5,37.71,37.37,37.57,66865709.0
2023-12-15,37.26,37.4358,37.19,37.35,69246238.0
2023-12-18,37.35,37.42,37.25,37.29,43434018.0
2023-12-19,37.27,37.58,37.17,37.57,32508982.0
2023-12-20,37.47,37.5594,36.9,36.9,52881729.0
2023-12-21,37.06,37.27,36.924,37.26,27522248.0
2023-12-22,37.37,37.49,37.2,37.34,30331445.0
2023-12-26,37.37,37.56,37.31,37.49,17837563.0
2023-12-27,37.41,37.61,37.355,37.61,32640761.0
2023-12-28,37.55,37.8,37.54,37.72,25308018.0
2023-12-29,37.71,37.77,37.4901,37.6,30218318.0
2024-01-02,37.5,37.78,37.43,37.76,31351873.0
2024-01-03,37.59,37.65,37.38,37.44,46908957.0
2024-01-04,37.57,37.89,37.52,37.59,36904184.0
2024-01-05,37.59,37.95,37.57,37.75,44852345.0
2024-01-08,37.76,38.01,37.56,37.99,39098313.0
2024-01-09,37.79,37.795,37.634,37.75,36338058.0
2024-01-10,37.69,37.84,37.57,37.81,37095460.0
2024-01-11,37.76,37.81,37.37,37.67,49043458.0
2024-01-12,37.85,37.99,37.445,37.6,41333857.0
2024-01-16,37.28,37.41,37.1308,37.34,44042053.0
2024-01-17,37.02,37.42,37.0,37.27,38715919.0
2024-01-18,37.22,37.365,36.95,37.33,42064934.0
2024-01-19,37.47,37.98,37.35,37.93,59417724.0
2024-01-22,38.09,38.3,38.0247,38.11,51828830.0
2024-01-23,38.09,38.1999,38.01,38.17,46255523.0
2024-01-24,38.33,38.53,38.29,38.32,43975483.0
2024-01-25,38.47,38.55,38.27,38.51,50606347.0
2024-01-26,38.45,38.7179,38.41,38.65,38620191.0
2024-01-29,38.53,38.78,38.43,38.75,44175644.0
2024-01-30,38.79,39.28,38.77,39.24,43229261.0
2024-01-31,39.16,39.45,38.74,38.76,65780855.0
